吉祥	lucky; auspicious; lucky; auspicious; propitious
出汗	sweat; sweating; to perspire; to sweat
预备	prepare; get ready; preparation; to prepare; to make ready; preparation; preparatory
竞赛	to compete; to race; contest; competition; match; race
值班	Be on duty; to work a shift; on duty
站住	stop; halt; to stand
大妈	aunt; father’s elder brother’s wife; father's elder brother's wife; aunt (affectionate term for an elderly woman)
热点	hot spot; hot point; hot spot; point of special interest
十足	100 percent; ample; complete; hundred percent; a pure shade (of some color)
娃娃	A doll; baby; small child; doll
好转	get better; improve; to improve; to take a turn for the better; improvement
密	thick; secret; close; dense; name of an ancient state; secret; confidential; close; thick; dense; surname Mi
制约	restrict; to restrict; condition
身高	height; (a person's) height
征服	Conquer; to conquer; to subdue; to vanquish
从没	never;  never did; never (in the past)/never did
慰问	Condolences; to express sympathy, greetings, consolation etc
倒闭	Collapse; to go bankrupt; to close down
联盟	alliance; union; coalition
病	illness; disease; to fall ill; defect; CL:场[cháng]
面条儿	noodles
自杀	suicide; commit suicide; to kill oneself; to commit suicide; to attempt suicide
但	but; however; but; yet; however; still; merely; only; just
渡	cross; ferry; tide over; ferry across; crossing; to cross; to pass through; to ferry
渴望	Yearn; to thirst for; to long for
注射	injection; to inject
就是说	that is; in other words; namely; in other words; that is
奶牛	cow; dairy cattle; milk cow; milk cow; dairy cow
父母	father and mother; parents; father and mother; parents
如下	as follows; as below; as follows
在内	including; inside; internally; (included) in it; among them
窗子	window
器官	organ; (physiology) organ; apparatus
相比	compare; compare to; to compare
一贯	consistent; constant; from start to finish; all along; persistent
不错	not bad; pretty good; correct; right; not bad; pretty good
寺	temple; mosque; government office (old); Buddhist temple
兴趣	interest; interest (desire to know about sth)/interest (thing in which one is interested); hobby/CL:个[gè]
言语	speech; parole; verbal; words; speech; (spoken) language||to speak; to tell
网上	online
想法	idea; opinion;thought; way of thinking; opinion; notion; to think of a way (to do sth); CL:个[gè]
巧	opportunely; skilful; deceitful; opportunely; coincidentally; as it happens; skillful; timely
中年	middle age; middle-aged; middle age
败	defeat; beat; fail; lose; to defeat; to damage; to lose (to an opponent); to fail; to wither
写字台	writing desk; desk; writing desk
口试	oral examination; oral test; oral examination; oral test
一部分	a part; a portion; portion; part of; subset
梦见	see in a dream; dream about; dream; to dream about (sth or sb)/to see in a dream
为止	up to; till; until/(used in combination with words like 到[dào] or 至[zhì] in constructs of the form 到...為止|到...为止)
进去	go in; to go in
户外	outdoor
招生	enroll new students; recruit students; to enroll new students; to get students
奏	play; play music; to play music; to achieve; to present a memorial to the emperor (old)
晚会	evening party; evening party/CL:个[gè]
板	board; plank; shutter; board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious||see 老闆|老板, boss||to catch sight of in a doorway (old); CL:块[kuài]
轮	wheel; ring; take turns; wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn
过后	afterwards; later; after; after the event
台上	on the stage; on stage
当年	in those years; in those days; in those days; then; in those years; during that time||that very same year
图片	picture; photograph; picture; photograph/CL:张[zhāng]
步	step; stage; walk; foot; a step; a pace; walk; march; stages in a process; situation; surname Bu
次数	frequency; number of times; number of times; frequency; order number (in a series); power (math.); degree of a polynomial (math.)
首席	chief; seat of honor; chief (representative, correspondent etc)
退票	refund; return a ticket; to bounce (a check); to return a ticket; ticket refund
女	female; woman; daughter
装备	equipment; to equip; to outfit
跌	fall; to fall; to tumble; to trip; (of prices etc) to drop
玩儿	play; to play; to have fun; to hang out
外卖	takeaway; take out; (of a restaurant) to provide a takeout or home delivery meal; takeout (business); takeout (meal)
赢得	gain; win; to win; to gain
撑	prop; support; push with a pole; keep up; unfurl; brace; stay; to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support
公鸡	cock; rooster; cock; rooster
可	can; may; approve; be worth; suit; but; yet; (prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very||used in 可汗[kè hán]
只管	by all means; not hesitate; merely; just; solely engrossed in one thing; just (one thing, no need to worry about the rest); simply; by all means; please feel free; do not hesitate (to ask for sth)
来到	come; arrive; to arrive; to come
整	whole; all; entire; complete; (bound form) whole; complete; entire; (before a measure word) whole; (before or after number + measure word) exactly/(bound form) in good order; tidy; neat/(bound form) to put in order; to straighten/(bound form) to repair; to mend; to renovate/(coll.) to fix sb; to give sb a hard time; to mess with sb/(dialect) to tinker with; to do sth to
文娱	cultural recreation; entertainment; cultural recreation; entertainment
箱子	chest; bin; box; case; trunk; suitcase; chest; box; case; trunk; CL:只[zhī],个[gè]
体检	physical examination; abbr. for 體格檢查|体格检查[tǐ gé jiǎn chá]
眼泪	tear; eyedrop; tears; crying; CL:滴[dī]
加速	speed up; accelerate; quicken; to speed up; to expedite
石油	oil; petroleum
遍地	everywhere; all around; everywhere; all over
大于	be greater than; more than; greater than; bigger than; more than
窗口	window; wicket; window; opening providing restricted access (e.g. customer service window); computer operating system window; fig. medium; intermediary; showpiece; testing ground
一口气	one breath; in one breath; one breath; in one breath; at a stretch
宝石	gemstone; gem; cameo; precious stone; precious stone; gem/CL:枚[méi],颗[kē]
虎	tiger; tiger/CL:只[zhī]
干涉	to interfere; to meddle; interference
不久	not long (after); before too long; soon; soon after
焦点	focus; focal point; focus (lit. and fig.)
旅店	inn; hostel; hotel; inn; small hotel
签字	sign; affix one’s signature; sign a signature; to sign (one's name)/signature
完了	come to an end; be over; completion of a term; to be finished; to be done for; ruined; gone to the dogs; oh no
赛场	arena; competition terrain; racetrack; field (for athletics competition)
食品	food; foodstuff; foodstuff; food; provisions/CL:种[zhǒng]
卷	volume; file; roll, curly, reel; to roll up; roll; classifier for small rolled things (wad of paper money, movie reel etc)||scroll; book; volume; chapter; examination paper; classifier for books, paintings: volume, scroll||to roll up; to sweep up; to carry along; a roll; classifier for rolls, spools etc
相声	comic dialogue; sketch; crosstalk
中等	medium; moderate; medium
杰出	outstanding; distinguished; remarkable; prominent; illustrious
评	comment; review; criticize; judge; to discuss; to comment; to criticize; to judge; to choose (by public appraisal)
直升机	helicopter; helicopter/CL:架[jià]
有用	useful
品	savour; taste; judge; blow; species; grade; (bound form) article; commodity; product; goods; (bound form) grade; rank; kind; type; variety; character; disposition; nature; temperament; to taste sth; to sample; to criticize; to comment; to judge; to size up; fret (on a guitar or lute)
体积	volume; bulk; CL:个[gè]
排行榜	leaderboard; ranking list; the charts (of best-sellers)/table of ranking
修复	repair; to restore; to renovate/(computing) to repair (a corrupted file etc)
内地	inland; interior; mainland; mainland China (PRC excluding Hong Kong and Macau, but including islands such as Hainan); inland; interior; hinterland; Japan (used in Taiwan during Japanese colonization)
请教	Consult; to ask for guidance; to consult
一点点	a little bit
柜子	cupboard; cabinet; chest; cupboard; cabinet
看出	see; find out; perceive; espy; to make out; to see
真相	fact; truth; the truth about sth; the actual facts
夺取	seize; wrest; strive for; snatch; taking; to seize; to capture; to wrest control of
铁路	railway; railroad; railroad; railway; CL:条[tiáo]
读书	reading; study; to read a book; to study; to attend school
皮包	purse; briefcase; portfolio; handbag; briefcase
军人	soldier; serviceman; serviceman; soldier; military personnel
短片	short film; video clip
混合	blend; to mix; to blend; hybrid; composite
保密	secrecy; to keep sth confidential; to maintain secrecy
绝	cut off; exhausted; desperate; unique; extremely; most; absolutely; to cut short; extinct; to disappear; to vanish; absolutely; by no means
小孩儿	child; kid; child/CL:个[gè]
生活费	living expenses; cost of living; alimony; cost of living; living expenses; alimony
努力💪	Work hard 💪; 
冷水	cold water; unboiled water; cold water; unboiled water; fig. not yet ready (of plans)
话	word; words; dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:种[zhǒng],席[xí],句[jù],口[kǒu],番[fān]
衣架	hanger; clothes stand; clothes tree; clothes hanger; clothes rack
总	always; consistently; general; overall; to sum up; in every case; always; invariably; anyway; after all; eventually; sooner or later; surely; (after a person's name) abbr. for 總經理|总经理[zǒng jīng lǐ] or 總編|总编[zǒng biān] etc
话剧	drama; stage play; modern drama; CL:台[tái],部[bù]
领带	necktie; tie; necktie/CL:条[tiáo]
门诊	outpatient service
列	arrange; line up; list; to arrange; to line up; file; series; (in data tables) column; (Tw) row
登	ascend; mount; scale; step on; pedal; publish; to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on; to put on (shoes or trousers) (dialect); to be gathered and taken to the threshing ground (old)
铺	spread; to spread; to display; to set up; (old) holder for door-knocker||plank bed; place to sleep; shop; store; (old) relay station
愤怒	anger; angry; indignant; wrath; ire
地面	ground; floor; surface; floor; ground; surface
期	period; time; term; expect; a period of time; phase; stage; classifier for issues of a periodical, courses of study; time; term; period; to hope
创立	Found; to establish; to set up; to found
拉开	pull open; undraw; zip; to pull open; to pull apart; to space out; to increase
人间	Human world; the human world; the earth
逼	compel; force; drive; exert; press on; close; narrow; to force (sb to do sth); to compel; to press for; to extort; to press on towards; to press up to; to close in on; euphemistic variant of 屄[bī]
不便	inconvenient; unsuitable; be short of cash; inconvenient; inappropriate; unsuitable; short of cash
那么	like that; in that way; like that; in that way; or so; so; so very much; about; in that case
地带	zone; district; region; zone/CL:个[gè]
办事处	office; agency; office; agency
高尚	noble; lofty; refined; exquisite
海边	coast; seaside; seashore; beach
低温	Low temperature; hypothermia; microtherm; low temperature
风度	Manner; elegance (for men); elegant demeanor; grace; poise
强大	powerful; formidable; strong; big and strong; formidable; powerful
不免	unavoidable; inevitably
山谷	valley; ravine
高度	altitude; height; high; highly; height; altitude; elevation; high degree; highly; CL:个[gè]
凉水	cold water; unboiled water; cool water; unboiled water
学年	school year; academic year; academic year
声	sound; voice; reputation; tone; sound; voice; tone; noise; reputation; classifier for sounds
一流	First-class; top quality; front ranking
代 	to replace ; 
分解	decompose; to resolve; to decompose; to break down
悲惨	miserable; tragic
诚信	honesty; integrity; honesty; trustworthiness; good faith
横	harsh and unreasonable; perverse; horizontal; across; crosswise; horizontal stroke (in Chinese characters); to place (sth) flat (on a surface); to cross (a river, etc); in a jumble; chaotic; (in fixed expressions) harsh and unreasonable; violent||harsh and unreasonable; unexpected
增强	strengthen; enhance; heighten; to increase; to strengthen
清洁	clean; to clean
无限	infinite; limitless; unlimited; unlimited; unbounded
合并	merge; to merge; to annex
学者	scholar; learned man; man of learning; scholar
火车	train; train/CL:列[liè],节[jié],班[bān],趟[tàng]
响声	sound; noise; noise
凶	fierce; ominous; terrible; murder; terrible; fearful; vicious; fierce; ominous; inauspicious; famine; variant of 凶[xiōng]
援助	help; support; aid; back up; to help; to support; to aid; aid; assistance
物业	property; real estate; abbr. for 物業管理|物业管理[wù yè guǎn lǐ], property management
争	contend; dispute; fight; strive; vie; to strive for; to vie for; to argue or debate; deficient or lacking (dialect); how or what (literary)
拥有	Have; to have; to possess
康复	recovery; rehabilitation; to recuperate; to recover (health); to convalesce
查	search; check; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary); surname Zha||to research
动物园	zoo; zoo/CL:个[gè]
坡	slope; sloping; slanted; CL:个[gè]
薄弱	weak; frail
等候	Wait; to wait; to wait for
补习	take lessons after school or work; to take extra lessons in a cram school or with a private tutor
住房	housing; lodging; housing
场面	scene; spectacle; occasion; situation
难看	ugly; unsightly
个体	individual
刷子	brush; scrub; brush; scrub; CL:把[bǎ]
就是	precisely; exactly; just like; exactly; precisely; only; simply; just; (used correlatively with 也[yě]) even; even if
想到	think of; call to mind; have at heart; to think of; to call to mind; to anticipate
大爷	uncle; father’s elder brother; arrogant idler; self-centered show-off||(coll.) father's older brother; uncle; term of respect for older man
船只	ship; vessel; craft; ship; boat; vessel
开幕	open; inaugurate; rising of a curtain; to open (a conference)/to inaugurate
气温	air temperature; air temperature/CL:个[gè]
转动	turn; run; twirl; roll; revolve; turn; move; turn round; to turn sth around; to swivel||to rotate (about an axis); to revolve; to turn; to move in a circle; to gyrate
迷信	superstition; to have a superstitious belief (in sth)
从不	never; never ever; never
晚点	late; behind schedule; (of trains etc) late; delayed; behind schedule; light dinner
签名	signature; sign one’s name; autograph; to sign (one's name with a pen etc); to autograph; signature
不成	won’t do; fail; won't do; unable to; (at the end of a rhetorical question) can that be?
心里	in the heart; at heart; chest; heart; mind
职工	staff; worker; workers; staff/CL:个[gè]
有害	harmful; pernicious; detrimental; destructive; harmful; damaging
西北	northwest; Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)
悲伤	sad; sorrowful; sad; sorrowful
银牌	silver medal; silver medal/CL:枚[méi]
周	to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; week; weekly; variant of 周[zhōu]; surname Zhou; Zhou Dynasty (1046-256 BC)
北部	north; northern part
好多	many; a lot of; many; quite a lot; much better
边境	border; frontier; frontier; border
挣钱	make money; earn money; to make money
吊	crane; to suspend; to hang up; to hang a person; a string of 100 cash (arch.); to lament; to condole with; variant of 吊[diào]
行李	luggage; baggage; luggage/CL:件[jiàn]
地下	underground; subterranean; secret; underground; subterranean; covert
节奏	rhythm; tempo; musical pulse; cadence; beat
葡萄酒	wine; grape wine; (grape) wine
藏	hide; conceal; store; lay by; abbr. for Xizang or Tibet Autonomous Region 西藏[xī zàng]||to conceal; to hide away; to harbor; to store; to collect||storehouse; depository; Tibet; Buddhist or Taoist scripture
稿子	manuscript; draft; sketch; draft of a document; script; manuscript; mental plan; precedent
药水	liquid medicine; potion; medicine in liquid form; bottled medicine; lotion; Yaksu in North Korea, near the border with Liaoning and Jiling province
心	heart; feeling; centre; core; heart; mind; intention; center; core; CL:颗[kē],个[gè]
风暴	storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)
国外	foreign; oversea; abroad; abroad; external (affairs); overseas; foreign
在家	at home; to be at home/(at a workplace) to be in (as opposed to being away on official business 出差[chu1chāi])/(Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1jiā])
早晨	morning; 
前景	prospect; foreground; vista; (future) prospects; perspective
称为	call; be called; be known as; to be called; to be known as; to call it "..."
战略	strategy
前提	premise; precondition; prerequisite
祖国	motherland
付	pay; commit; hand over; to pay; to hand over to; classifier for pairs or sets of things; surname Fu
研究所	research institute; graduate school; research institute; graduate studies; graduate school; CL:个[gè]
高层	high level; high class; high-rise; high-rise; high level; high class
登录	Sign in; to register; to log in
那里	there; that place; there; that place
听众	audience; listeners; audience; listeners
从小	from childhood; from a young age
开通	open; clear; dredge; open-minded; liberal; to open (a new road or railway line); to set up (a hotline); to launch (a service); to subscribe to (a members-only service)||open-minded
异常	unusual; abnormal; extremely; exceptionally
疗养	recuperate; convalesce; to get well; to heal; to recuperate; to convalesce; convalescence; to nurse
哈哈	ha-ha; (onom.) laughing out loud
长度	length; extent; length
唱片	record; disc; phonogram; gramophone record/LP/music CD/musical album/CL:张[zhāng]
教育部	Ministry of Education
争议	controversy; dispute; to dispute
传出	efferent; come out; come through; to transmit outwards; to disseminate; efferent (nerve)
变形	deform; be out of shape; deformation; morph; to become deformed; to change shape; to morph
下班	get off work; to finish work; to get off work
离不开	can’t do without; inseparable; inevitably linked to
乡	country; countryside; village; rural area; home village; country or countryside; native place; home village or town; township (PRC administrative unit)
炒作	hype; to hype; to promote (in the media)
胜负	victory and defeat; victory or defeat; the outcome of a battle
带有	with; have; bear; to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a pathogen, connotation etc)
慢车	slow train; local; slow train; local bus or train; slow train with many stops
学时	class hour; period; class hour; period
多次	repeatedly; many a time; many times; repeatedly
拐	abduct; kidnap; turn; crutch; to turn (a corner etc); to kidnap; to swindle; to misappropriate; seven (used as a substitute for 七[qī]); variant of 拐[guǎi]; cane; walking stick; crutch; old man's staff
倒是	on the contrary; contrariwise; actually; contrary to what one might expect; actually; contrariwise; why don't you
贺卡	greeting card; congratulation card
队伍	ranks; troops; queue; line; procession; CL:个[gè],支[zhī],条[tiáo]
停下	stop; to stop
车主	car owner; vehicle owner
科研	research; scientific research; (scientific) research
大使	ambassador; envoy; ambassador; envoy; CL:名[míng],位[wèi]
公共	public; common; community; public; common; communal
配	match; mix; join; fit; to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate
山	mountain; hill (CL:座[zuò]); (coll.) small bundle of straw for silkworms to spin cocoons on; surname Shan
大多数	most; great majority; (great) majority
降温	lower the temperature; drop in temperature; to become cooler; to lower the temperature; cooling; (of interest, activity etc) to decline
取款	withdrawal; to withdraw money from a bank
收取	charge; to receive; to collect
干什么	What to do; what are you doing?/what's he up to?
水分	moisture; moisture content; (fig.) overstatement; padding
电视台	TV station; television station/CL:个[gè]
再也	never; anymore; no longer; (not) any more
战斗	to fight; to engage in combat; struggle; battle; CL:场[cháng],次[cì]
养老	pension; provide for the aged; to provide for the elderly (family members)/to enjoy a life in retirement
强度	strength; intensity; strength; intensity; CL:个[gè]
恩人	benefactor; a benefactor; a person who has significantly helped sb else
图	picture; chart; drawing; scheme; intention; diagram; picture; drawing; chart; map; to plan; to scheme; to attempt; to pursue; to seek; CL:张[zhāng]
渐渐	gradually; step by step; gradually
零｜〇	zero; 
晚饭	evening meal; dinner; supper; CL:份[fèn],顿[dùn],次[cì],餐[cān]
狂	mad; crazy; violent; wild; unrestrained; mad; wild; violent
钱包	purse; wallet
小于	less than; less than, <
宽度	breadth; width; width
对抗	Combat; to withstand; to resist; to stand off; antagonism; confrontation
发放	provide; grant; extend; give out; issue; to provide; to give; to grant
孤儿	orphan
肿	swollen; bloat; swelling; to swell; swelling; swollen
看来	it seems; it appears; apparently; it seems that
上市	appear on the market; listed; to hit the market (of a new product)/to float (a company on the stock market)
有关	related; concerning; relate; concern; to have sth to do with; to relate to; related to; to concern; concerning
回报	Return; (in) return; reciprocation; payback; retaliation; to report back; to reciprocate
东方	the East; the Orient; two-character surname Dongfang; east
较	compare; comparatively; relatively; fairly; quite; rather; (bound form) to compare; (literary) to dispute; compared to; (before an adjective) relatively; comparatively; rather
身上	body; on one’s body; on the body; at hand; among
不止	incessantly; without end; more than; not limited to
围栏	fencing; railings; fence
新年	New Year; New Year/CL:个[gè]
延期	Delay; to delay; to extend; to postpone; to defer
部队	army; armed forces; troop; unit; army; armed forces; troops; force; unit; CL:个[gè]
试点	pilot; launch a pilot project; test point; to carry out trial; pilot scheme
不料	unexpectedly; to one's surprise
即将	soon; on the eve of; to be about to; to be on the verge of
初	beginning; start; basis; at the beginning of; at first; (at the) beginning; first; junior; basic
基金	fund
果酱	jam; squish; marmalade; jam
交代	hand over; to transfer (duties to sb else); to give instructions; to tell (sb to do sth); to explain; to give an account; to brief; to confess; to account for oneself; (jocular) to come to a bad end
姐妹	sisters; siblings; sister (school, city etc)
听见	hear; to hear
便于	easy to; convenient for
保养	maintain; to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance
伤亡	injuries and deaths; casualties; casualties; injuries and deaths
危机	crisis; crisis/CL:个[gè]
味儿	flavor; taste; taste
之中	in; in the midst of; among; inside; among; in the midst of (doing sth); during
绝望	Despair; to despair; to give up all hope; desperate; desperation
发起	initiate; sponsor; start; launch; to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time)
武器	weapon; arms; CL:种[zhǒng]
中学生	middle School student; middle-school student; high school student
中医	Chinese Medicine; traditional Chinese medical science; a doctor trained in Chinese medicine
南极	South Pole; Antarctic Pole; south pole
签约	sign up; sign a contract; to sign a contract or agreement
书法	calligraphy; handwriting; penmanship
钢笔	pen; fountain pen; fountain pen/CL:支[zhī]
新型	new type; new kind; new type; new kind
令	make; cause; order; command; decree; season; used in 脊令[jí líng]; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); type of short song or poem
胖子	fat person; fatty; fat person; fatty
混	mix; confuse; pass off; muddle along; get along with sb.; muddy; turbid (variant of 浑[hún]); brainless; foolish (variant of 浑[hún]); to mingle; muddled; to drift along; to muddle along; to pass for; to get along with sb; thoughtless; reckless
分工	division of labor; divide the work; to divide up the work; division of labor
