好的	OK
里边	inside
而是	rather
一首歌	a song
歌手	singer
番茄	tomato
见到	to see
礼拜天	Sunday
流利	fluent
总是	always
律师	lawyer
会员	member
公众	public
化石	fossil
孤儿	orphan
老是	always
网上	online
复活节	Easter
精力	energy
街头	street
有用	useful
动脉	artery
人们	people
慢慢	slowly
瑞典	Sweden
凉鞋	sandal
领袖	leader
一棵树	a tree
一场雨	A rain
一场雪	A snow
校园	campus
一万	10,000
信号	signal
一顿饭	a meal
球拍	racket
酸奶	yogurt
抽屉	drawer
一条鱼	a fish
胆小鬼	coward
岛屿	island
连帽衫	hoodie
夏季	summer
歐楂	medlar
污水	sewage
一张纸条	a memo
一个梗	a meme
监狱	prison
小扁豆	lentil
氧气	oxygen
心水	salary
中等	medium
赌场	casino
一个湖	A lake
清真寺	mosque
穆斯林	Muslim
棉花	cotton
以色列	Israel
蜘蛛	spider
配偶	spouse
舞蹈家	dancer
乞丐	beggar
强奸犯	rapist
贪心	greedy
俄罗斯	Russia
贪钱	greedy
神殿	shrine
隧道	tunnel
面筋	gluten
麸质	gluten
犹太洁食	kosher
主教	bishop
狭窄	narrow
虚荣	vanity
旋律	melody
液体	liquid
预算	budget
枕头	pillow
殖民地	colony
语法	grammar
百分之	percent
已经	already
被动	passive
找到	to find
车辆	vehicle
出租	to rent
面条	noodles
天气	weather
下雨	to rain
卡拉OK	Karaoke
一张照片	a photo
海鲜	seafood
打印机	printer
网站	website
公民	citizen
公式	formula
一只眼睛	one eye
周末	weekend
歌唱	to sing
一件衬衫	a shirt
急忙	hastily
听到	to hear
听见	to hear
加热	to heat
蛋白质	protein
户外	outdoor
灯笼	lantern
极端	extreme
地质	geology
混乱的	chaotic
一个想法	An idea
孔雀	peacock
利润	profits
纠纷	dispute
没用	useless
无怒如何	anyways
打字	to type
非法	illegal
飞跃	to leap
肥沃	fertile
疫苗	vaccine
气球	balloon
俘虏	captive
下雪	to snow
一场比赛	a match
一场考试	An exam
一列火车	A train
一把刀	a knife
一把椅子	a chair
一张桌子	a table
失去	to lose
一篇日记	A diary
惭愧	ashamed
停下	to stop
一条蛇	A snake
台风	typhoon
T恤	t-shirt
完美	perfect
住房	housing
一棵植物	A plant
甜品	dessert
天然	natural
顽皮	naughty
维生素	vitamin
反义词	antonym
学者	scholar
晓得	to know
遇见	to meet
沿海	coastal
小清新	hipster
中性	neutral
战术	tactics
哭泣	to weep
大洋洲	Oceania
祝愿	to wish
爱尔兰	Ireland
捆绑	to bind
物理	physics
山顶	hilltop
同义词	synonym
埋葬	to bury
放牛	to herd
冰川	glacier
耐用	durable
插头🔌	charger
卡通片	cartoon
屏障	barrier
一栋房子	a house
羞愧	ashamed
强奸	to rape
毛毯	blanket
卖艺	to busk
人质	hostage
圈内人	insider
生态	ecology
村子	village
丹麦	Denmark
诉讼	lawsuit
统统	totally
文凭	diploma
指南针	compass
令人激动	exciting
看电视	watch TV
不用	need not
猫粮	Cat food
毕业生	graduate
明天	tomorrow
物料	material
女儿	daughter
本能	instinct
跳舞	to dance
房东	landlord
得分	to score
购物	shopping
工业	industry
互联网	Internet
进去	to go in
室友	roommate
键盘	keyboard
假期	vacation
月亮	the moon
浪漫	romantic
佛教	Buddhism
红酒	red wine
海水	seawater
航空	aviation
公主	princess
汽油	gasoline
海浪	sea wave
大意	careless
诞辰	birthday
间接	indirect
盗窃	to steal
可靠	reliable
酒鬼	drunkard
千克	kilogram
栗子	chestnut
压力	pressure
奶茶	milk tea
在一起	together
宗教	religion
范畴	category
蓝天	blue sky
肩膀	shoulder
英俊	handsome
预报	forecast
明日	tomorrow
流汗	to sweat
覆盖	to cover
打鼾	to snore
上去	to go up
如同	like; as
一件外套	a jacket
欺负	to bully
药店	pharmacy
实力	strength
音节	syllable
功效	efficacy
共和国	republic
台上	on stage
掉东西	drop sth
书柜	bookcase
山坡	hillside
站住	to stand
途中	en route
长裤	trousers
外交官	diplomat
食欲	appetite
走进	to enter
一对情侣	A couple
生肉	raw meat
吸烟	to smoke
触手	tentacle
华丽	gorgeous
温和	lukewarm
荒凉	desolate
头疼	headache
热可可	hot coco
消费者	consumer
杏仁膏	marzipan
讥笑	to sneer
网页	web page
惊悚片	thriller
笑声	laughter
硬件	hardware
月球	the moon
西兰花	broccoli
一道	together
仪式	ceremony
纽约	New York
一同	together
界限	boundary
音乐家	musician
湾区	bay area
珍贵	precious
众多	numerous
战略	strategy
可行	feasible
词汇表	glossary
矿产	minerals
临床	clinical
照常	as usual
吓我一跳	scare me
呕吐	to vomit
绦虫	tapeworm
料子	material
圈外人	Outsider
浪漫的	Romantic
地标	landmark
浴袍	bathrobe
亭子	pavilion
威望	prestige
文献	document
直径	diameter
忠实	faithful
罪犯	criminal
冰激凌	ice cream
被告	defendant
去年	last year
出去	to go out
昨天	yesterday
不停	incessant
宠物	house pet
一节课	one class
不值	not worth
背叛	to betray
次要	secondary
说错	Say wrong
东亚	East Asia
乘客	passenger
蓝莓	blueberry
煎鸡蛋	Fried egg
东北	northeast
东南	southeast
辞职	to resign
公里	kilometer
补救	to remedy
此次	this time
爱说话	Talkative
盒子	box; case
今年	this year
一张图片	a picture
豪华	luxurious
苍白	pale; wan
忘记	to forget
赌博	to gamble
酱油	soy sauce
明年	next year
世界杯	World Cup
戴口罩	wear mask
男朋友	boyfriend
跟随	to follow
美丽	beautiful
好运	good luck
上次	last time
有美感	Aesthetic
古典	classical
坏习惯	bad habit
极其	extremely
海湾	bay; gulf
渐渐	gradually
下次	next time
堤坝	dam; dike
脚印	footprint
工作计划	Work Plan
通勤	commuting
上周	last week
恶化	to worsen
考场	exam room
百度地图	Baidu map
秘书	secretary
空军	air force
挺好	very good
进这里来	Come here
西北	northwest
西南	southwest
民主	democracy
时区	time zone
辐射	radiation
下周	next week
抢救	to rescue
有毒	poisonous
红肉橙	cara cara
释迦果	Cherimoya
热水	hot water
降落伞	parachute
童年	childhood
打喷嚏	to sneeze
地理	geography
天文	astronomy
噩梦	nightmare
后勤	logistics
软化	to soften
火药	gunpowder
牛角包	croissant
单词卡	flashcard
民法	civil law
水很深	deceiving
形容词	adjective
没事了	nevermind
志愿者	volunteer
劳驾	excuse me
心水很高	well-paid
逐渐	gradually
影星	film star
游人	a tourist
佩服	to admire
宇航员	astronaut
家庭教育	parenting
助理	assistant
庭院	courtyard
自愿	voluntary
澳大利亚	Australia
扩充	to expand
蜻蜓	dragonfly
里程碑	milestone
礼节	etiquette
早点	breakfast
领事馆	consulate
领土	territory
犹太会堂	synagogue
冒犯	to offend
基督徒	Christian
前排	front row
巴勒斯坦	Palestine
扶手电梯	escalator
蟑螂	cockroach
频率	frequency
有效果	effective
没效果	no effect
瀑布	waterfall
有出息	promising
一台手机	One phone
好莱坞	Hollywood
筛选	to filter
忘性很大	forgetful
绅士	gentleman
阿根廷	Argentina
通货膨胀	inflation
相差	to differ
崭新	brand new
庄稼	farm crop
半决赛	semifinals
必将	inevitably
出生	to be born
不免	inevitably
排队	to line up
弹钢琴	play piano
到处	everywhere
两年后	in 2 years
大海	sea; ocean
你身边	around you
单调	monotonous
加州	California
昌盛	prosperous
地震	earthquake
春季	springtime
车展	motor show
出版	to publish
煮鸡蛋	boiled egg
厨师	cook; chef
大奖赛	grand prix
放音乐	play music
进来	to come in
诞生	to be born
楼下	downstairs
撤退	to retreat
多媒体	multimedia
零下	below zero
儿科	pediatrics
烤鸭	roast duck
一共	altogether
高价	high price
个体	individual
控制	to control
女朋友	girlfriend
毫米	millimeter
毫升	milliliter
呼吸	to breathe
广阔	wide; vast
全部	whole; all
他们	they; them
主观	subjective
纪律	discipline
程序员	programmer
导航	navigation
北方人	Northerner
南方人	Southerner
监测	to monitor
离婚	to divorce
学习计划	study plan
厘米	centimeter
东岸	east coast
西岸	west coast
收到	to receive
轮椅	wheelchair
要是	(coll.) if
谷歌地图	Google Map
它们	they; them
南极	south pole
询问	to inquire
一再	repeatedly
上个月	last month
如下	as follows
诗人	bard; poet
舒适	cozy; snug
西柚	grapefruit
池塘	pool; pond
伤口	wound; cut
长大	to grow up
双手	both hands
四周	all around
随后	soon after
中年	middle age
卫衣	sweatshirt
一台电脑	a computer
一对一	one on one
喉咙	the throat
下个月	next month
相比	to compare
唯一	only; sole
化肥	fertilizer
效率	efficiency
真实	true; real
平底煎锅	frying pan
践踏	to trample
一代	generation
冷笑话	corny joke
搬到	to move to
校外	off campus
指甲	fingernail
再那块儿	over there
南极洲	Antarctica
懒惰	idle; lazy
祖国	motherland
抢工作	steal jobs
良心	conscience
密封	to seal up
枪击案	a shooting
百分比	percentage
气色	complexion
洽谈	to discuss
尖脸	sharp face
日常生活	Daily life
敲字	type words
药妆店	Drug store
一幅画	A painting
山寨品	fake goods
生理	physiology
火警	fire alarm
镇静	calm; cool
半年	half a year
悲观	pessimistic
比如说	for example
别的	else; other
潮湿	damp; moist
薄弱	weak; frail
不在乎	not to care
做好	finish well
干净	clean; neat
刮风	to be windy
地毯	carpet; rug
记得	to remember
生病	to fall ill
蒸鸡蛋	Steamed egg
理论上说	technically
国籍	nationality
果汁	fruit juice
队员	team member
大厅	hall; lobby
此事	this matter
加油站	gas station
数学	mathematics
柴油	diesel fuel
分类	to classify
分离	to separate
信用卡	credit card
隔开	to separate
迟疑	to hesitate
电子表格	spreadsheet
脆弱	weak; frail
旅游计划	Travel plan
塑料袋	plastic bag
待办事项	to-do items
陡峭	precipitous
全体	all; entire
打游戏	Play a game
惊人	astonishing
立即	immediately
性别	gender; sex
发财	to get rich
开通	open-minded
坐下	to sit down
夏令营	summer camp
手臂	arm; helper
闹钟	alarm clock
样式	type; style
坟墓	grave; tomb
期末	end of term
油炸	to deep fry
馒头	steamed bun
拼写检查	Spell Check
一架飞机	an airplane
一楼	First floor
一把伞	an umbrella
接她下班	Pick up her
从商	do business
工位	workstation
树叶	tree leaves
这次爬山	this hiking
体重	body weight
灌溉	to irrigate
岁月	years; time
太空	outer space
天然气	natural gas
系列	series; set
亚运会	Asian Games
乌云	black cloud
X以上	More than X
坚硬	hard; solid
整整	whole; full
简化	to simplify
犹豫	to hesitate
泡茶	to make tea
诊断	to diagnose
园地	garden area
局部	part; local
刊物	publication
考古	archaeology
菜市场	food market
空白	blank space
口腔	oral cavity
风铃	wind chimes
思想开放	Open-minded
白塔	White tower
中东	Middle East
一家三口	family of 3
让人分心	distracting
收起来	to put away
气味	odor; scent
奢侈品	luxury good
溶解	to dissolve
新西兰	New Zealand
乡郊野外	Countryside
揉面团	Knead dough
坍塌	to collapse
水龙头	faucet; tap
天主教	Catholicism
性丑闻	Sex scandal
寻觅	to look for
挣扎	to struggle
主权	sovereignty
自发	spontaneous
冰雪	ice and snow
付钱	to pay money
道歉	to apologize
非常欢迎	Very welcome
但是	but; however
固定搭配	collocations
心理状态	mental state
并非	really isn't
风险	risk; hazard
二十年	Twenty years
鼓励	to encourage
回到	to return to
当天	the same day
发怒	to get angry
发言人	spokesperson
法庭	court of law
你们	you (plural)
国庆	National Day
前男友	ex-boyfriend
爱干净	a neat freak
港口	port; harbor
艾特	at symbol, @
别的事情	Other things
蓝色	blue (color)
成年人	adult person
交费	to pay a fee
稍微	a little bit
宏大	great; grand
庆祝	to celebrate
看成	to regard as
丢人	to lose face
全家	whole family
独裁	dictatorship
老婆	(coll.) wife
暖心	Heartwarming
德国猪肘	Schweinhaxen
葡萄酒	(grape) wine
盲人	blind person
愿望	desire; wish
面对面	face to face
秋季	autumn; fall
拿走	to take away
电动汽车	electric car
陪同	to accompany
平方米	square meter
一条裙子	dress/ skirt
散文	prose; essay
企业家	entrepreneur
一点点	a little bit
摄像	to videotape
吃的	(coll.) food
缺陷	defect; flaw
能力很差	Poor ability
热水器	water heater
人权	human rights
正是	is precisely
棒球棒	baseball bat
时节	season; time
航天	space flight
组长	group leader
司长	bureau chief
西部	western part
太阳能	solar energy
熟成	ripe (fruit)
没那么乱	Not so messy
胸部	chest; bosom
火焰	blaze; flame
外头	outside; out
杏仁糊	almond paste
芝麻糊	Sesame paste
爱情片	romance film
刑法	criminal law
仅仅因为	only because
加剧	to intensify
共同爱好	mutual hobby
共同敌人	mutual enemy
一带	region; area
小于	less than, <
写字台	writing desk
薪水	salary; wage
原料	raw material
僵硬	stiff; rigid
古罗马	ancient Rome
角落	nook; corner
阶层	social class
口头	oral; verbal
种种	all kinds of
牢固	firm; secure
灵魂	soul; spirit
勉励	to encourage
打印出来	print it out
后排	the back row
租房子	Rent a house
最低工资	minimum wage
直男	straight guy
迫害	to persecute
一套房子	an apartment
旗帜	ensign; flag
内在美	inner beauty
对…敏感	sensitive to
缺席	to be absent
养老院	nursing home
柔和	gentle; soft
撒谎	to tell lies
时代广场	Times Square
开派对	have a party
堕落天使	Fallen angel
事项	matter; item
书籍	books; works
挑剔	picky; fussy
芥菜种	mustard seed
家族	family; clan
投降	to surrender
种姓制度	caste system
推翻	to overthrow
座右铭	motto; maxim
有面子	feeling proud
宝宝	darling; baby
北部	northern part
小费	tip; gratuity
长途	long distance
公斤	kilogram (kg)
从而	thus; thereby
米饭	(cooked) rice
火车站	train station
登机牌	boarding pass
过去	(verb suffix)
车主	vehicle owner
长假	long vacation
动画片	animated film
休息	rest; to rest
车牌	license plate
快乐	happy; joyful
国际	international
古代	ancient times
皮鞋	leather shoes
大米	(husked) rice
大赛	grand contest
过去	(verb suffix)
好久	quite a while
陈旧	old-fashioned
生日卡	birthday card
过去	(verb suffix)
钱包	purse; wallet
千与千寻	Spirited Away
岗位	a post; a job
公鸡	cock; rooster
我不确定	I am not sure
汇率	exchange rate
赔偿	to compensate
肌肉	muscle; flesh
打猎	to go hunting
核心	core; nucleus
名单	list of names
洪水	deluge; flood
健全	robust; sound
机动车	motor vehicle
生动	vivid; lively
做好工作	Do a good job
大便事项	to-poop items
工作顺利	work smoothly
朗读	to read aloud
着火	to catch fire
旅行社	travel agency
男子	a man; a male
看管	to look after
南部	southern part
没想到	didn't expect
考题	exam question
谷歌点评	Google Review
女子	woman; female
休息室	lobby; lounge
清晨	early morning
奶粉	powdered milk
如今	nowadays; now
难忘	unforgettable
送她回家	send her home
为她想	Think for her
高楼大厦	tall building
搜索引擎	search engine
在街上	on the street
拉丁美洲	Latin America
向我跑来	Running to me
飯制	adj. Fan-made
急救箱	first-aid kit
特价	special price
越来越	more and more
省钱	to save money
市民	city resident
死亡	to die; death
又爱又恨	Love and hate
投票	to vote; vote
学分	course credit
学年	academic year
“照骗”	catfish photo
网吧	Internet café
急剧	rapid; sudden
吸毒	to take drugs
戏曲	Chinese opera
共同朋友	mutual friend
共同生活	live together
戒指	(finger) ring
心脏病	heart disease
远处	distant place
口音	voice; accent
流泪	to shed tears
公厕	public toilet
挣钱	to make money
缘故	reason; cause
晕车	to be carsick
周期	period; cycle
生活习惯	living habits
北美洲	North America
南美洲	South America
邮差	(old) postman
军事基地	military base
垄断	to monopolize
遛狗	to walk a dog
社会问题	Social Issues
推开门	open the door
日食	solar eclipse
秘密武器	Secret weapon
参加活动	attend events
清澈	clear; limpid
过分了	to go too far
情理	reason; sense
视线	line of sight
合唱团	chorus; choir
新教	Protestantism
喜悦	happy; joyous
愚蠢	silly; stupid
元首	head of state
壮烈	brave; heroic
办事处	office; agency
悲伤	sad; sorrowful
迟到	to arrive late
本事	ability; skill
到他跟前	walk up to him
长城	the Great Wall
唱歌	to sing a song
变为	to change into
传真	fax; facsimile
财富	wealth; riches
彩票	lottery ticket
匆忙	hasty; hurried
残酷	cruel; cruelty
差距	disparity; gap
迸发	to burst forth
对我很好	treats me well
成效	effect; result
纯净水	purified water
炒鸡蛋	scrambled eggs
地铁站	subway station
手控	manual control
多数	majority; most
传言	rumor; hearsay
回家	to return home
说真话	Tell the truth
的确	really; indeed
开车	to drive a car
花钱	to spend money
减肥	to lose weight
或许	perhaps; maybe
插座	socket; outlet
隔夜燕麦	Overnight oats
简直	simply; really
法制	made in France
印度菜	Indian cuisine
丰收	bumper harvest
握手	to shake hands
飞行员	pilot; aviator
迟缓	slow; sluggish
峰会	summit meeting
一双眼睛	a pair of eyes
父子	father and son
更是	even more (so)
其次	next; secondly
机器人	robot; android
脚步	footstep; step
家园	home; homeland
讲课	teach; lecture
节假日	public holiday
球鞋	athletic shoes
联合国	United Nations
玩具	plaything; toy
繁忙	busy; bustling
美金	US dollar; USD
钥匙	key; CL:把[ba3]
也许	perhaps; maybe
相似	similar; alike
男士	man; gentleman
培训班	training class
流感	flu; influenza
平稳	smooth; steady
勇气	courage; valor
元旦	New Year's Day
作者	author; writer
主题	theme; subject
上楼	to go upstairs
深厚	deep; profound
起点	starting point
石油	oil; petroleum
扇子	fan; CL:把[ba3]
睡着	to fall asleep
操心	to worry about
古董	curio; antique
乳制品	dairy products
山谷	valley; ravine
怎样	how; what kind
数目	amount; number
伤员	wounded person
通知书	written notice
深深	deep; profound
生日聚会	Birthday party
果断	firm; decisive
海滨	shore; seaside
泰国	Thailand; Thai
题材	subject matter
没礼貌	impolite/ rude
轮滑	roller skating
阳台	balcony; porch
严厉	severe; strict
细胞	cell (biology)
支付	to pay (money)
简要	concise; brief
用来	to be used for
古希腊	ancient Greece
资金	funds; capital
再也	(not) any more
之内	inside; within
健身房	gym; gymnasium
职能	function; role
中毒	to be poisoned
宽敞	spacious; wide
疼爱	to love dearly
黎明	dawn; daybreak
接待客人	receive guests
少数族裔	minority (USA)
一年四季	all year round
忙碌	busy; bustling
气候变化	climate change
疲倦	to tire; tired
张个儿	to grow taller
股票跌了	the stock fell
乱象	chaos; madness
输入密码	enter password
散布	to disseminate
山脊	mountain ridge
日剧	Japanese drama
游乐园	amusement park
温带	temperate zone
嗅觉	sense of smell
血压	blood pressure
舆论	public opinion
招标	to invite bids
主义	-ism; ideology
办学	to run a school
奥秘	secret; mystery
叉子	fork; CL:把[ba3]
常用	in common usage
场所	location; place
残疾人	disabled person
充电器	battery charger
初级	junior; primary
健康	health; healthy
窗帘	window curtains
留学	to study abroad
方便面	instant noodles
空气	air; atmosphere
公平	fair; impartial
大脑	brain; cerebrum
寒假	winter vacation
豆腐	tofu; bean curd
操练	drill; practice
低温	low temperature
坚强	staunch; strong
歌迷	fan of a singer
中国菜	Chinese cuisine
篮球队	basketball team
饮料	drink; beverage
高铁	high speed rail
和平	peace; peaceful
列车	(railway) train
丑恶	ugly; repulsive
船舶	shipping; boats
雌雄	male and female
次序	sequence; order
我睡了	I'm gonna sleep
获奖	to win an award
国歌	national anthem
圣诞快乐	Merry Christmas
过后	after the event
趋势	trend; tendency
明星	star; celebrity
适合	to fit; to suit
难看	ugly; unsightly
顺序	sequence; order
平等	equal; equality
年末	end of the year
快活	happy; cheerful
金钱	money; currency
泪水	teardrop; tears
这边	this side; here
日报	daily newspaper
相同	identical; same
酒水	beverage; drink
就算	(coll.) even if
美好	beautiful; fine
美女	beautiful woman
农民	peasant; farmer
名片	(business) card
字面意思	literal meaning
强烈	strong; intense
打开窗子	Open the window
丰盛	rich; sumptuous
亲密	intimate; close
咨询室	Consulting room
一把钥匙	A bunch of keys
一条裤子	a pair of pants
商标	trademark; logo
公道	fair; equitable
清洁	clean; to clean
收费	to charge a fee
步骤	procedure; step
迟早	sooner or later
山峰	(mountain) peak
板棍	stick (hurling)
图案	design; pattern
柔道棕带	Judo brown belt
集训课	Training course
下面	to boil noodles
农贸市场	farmer's market
花蕾	bud; flower bud
向前	forward; onward
招待客人	to treat guests
一方面	on the one hand
基因	gene (loanword)
物品	articles; goods
细菌	bacterium; germ
蜜月期	honeymoon phase
慢性病	chronic disease
赢得	to win; to gain
有限	limited; finite
写字楼	office building
泡面	instant noodles
翻译笔	translation pen
基佬	(slang) gay guy
零件	part; component
远远	distant; by far
欧元	euro (currency)
梳子	comb; CL:把[ba3]
最终	final; ultimate
中美洲	Central America
最后一秒	the last second
辽阔	vast; extensive
生活质量	Quality of Life
美满	happy; blissful
执照	license; permit
展示能力	Display ability
瑜伽	yoga (loanword)
偏差	bias; deviation
偏见	prejudice; bias
品德	moral character
造句	sentence-making
高颧骨	high cheekbones
咬肌	masseter muscle
抢劫	to rob; looting
村里	village; hamlet
清晰	clear; distinct
深情厚谊	deep friendship
外行	layman; amateur
蔚蓝	azure; sky blue
乌黑	jet-black; dark
物资	goods; supplies
欣慰	to be gratified
刑事	criminal; penal
遥远	distant; remote
衣裳	(coll.) clothes
英明	wise; brilliant
债券	bond; debenture
种族	race; ethnicity
百分点	percentage point
闭幕式	closing ceremony
不要	don't!; must not
边境	frontier; border
拨打	to call; to dial
感兴趣	to be interested
大多数	(great) majority
厂长	factory director
边界	boundary; border
促销	to promote sales
动物园	zoo; CL:個|个[ge4]
好听	pleasant to hear
此时	now; this moment
赶快	quickly; at once
动人	touching; moving
胆小	cowardice; timid
负责人	person in charge
低于	to be lower than
加班	to work overtime
嘈杂	noisy; clamorous
地下室	basement; cellar
好事	to be meddlesome
法官	judge (in court)
阅读	to read; reading
都市	city; metropolis
正式	formal; official
高温	high temperature
诚挚	sincere; cordial
办签证	Apply for a visa
中文	Chinese language
请进	"please come in"
感人	touching; moving
免费	free (of charge)
过于	excessively; too
脱帽子	Take off the hat
华语	Chinese language
孤独	lonely; solitary
里头	inside; interior
火腿	ham; CL:個|个[ge4]
气氛	atmosphere; mood
技巧	skill; technique
海外	overseas; abroad
合约	treaty; contract
驾照	driver's license
权力	power; authority
炒蔬菜	Fried vegetables
感恩节	Thanksgiving Day
紧紧	closely; tightly
近来	recently; lately
开幕式	opening ceremony
手工	handwork; manual
客户	client; customer
快递	express delivery
丝绸	silk cloth; silk
杜绝	to put an end to
人数	number of people
脸色	complexion; look
完整	complete; intact
逻辑	logic (loanword)
看得见	can see; visible
意大利面	spaghetti; pasta
永远	forever; eternal
依然	still; as before
迫切	urgent; pressing
旅店	inn; small hotel
期中	interim; midterm
接电话	Answer the phone
墨水	ink; CL:瓶[ping2]
前方	ahead; the front
收益	earnings; profit
公关	public relations
冷萃咖啡	cold brew coffee
适用	to be applicable
神情	look; expression
天气预报	weather forecast
规章	rule; regulation
国防	national defense
图画	drawing; picture
识字	to learn to read
种菜	plant vegetables
糖果	candy; CL:粒[li4]
下楼	to go downstairs
化妆	to put on makeup
天堂	paradise; heaven
外币	foreign currency
应当	should; ought to
望见	to espy; to spot
急切	eager; impatient
西班牙语	Spanish language
依旧	as before; still
一辈子	(for) a lifetime
小麦	wheat; CL:粒[li4]
用途	use; application
简陋	simple and crude
月底	end of the month
焦急	anxiety; anxious
原有	original; former
紧迫	pressing; urgent
音量	loudness; volume
资产	property; assets
靠拢	to draw close to
恳切	earnest; sincere
雷达	radar (loanword)
胃口	appetite; liking
罪恶	crime; evil; sin
作战	combat; to fight
汉族	Han ethnic group
原版	original version
凄凉	desolate (place)
坐牢	to be imprisoned
人手不足	Lack of manpower
敏感话题	sensitive topics
让你退学	Let you drop out
审理	to hear (a case)
声誉	reputation; fame
视力	vision; eyesight
洗手液	liquid hand soap
律法	laws and decrees
教会	Christian church
往常	usual; customary
委员	committee member
文雅	elegant; refined
畜牧	to raise animals
学说	theory; doctrine
样品	sample; specimen
犹如	similar to; like
宇宙	universe; cosmos
嘴唇	lip; CL:片[pian4]
作息	to work and rest
昂贵	expensive; costly
比例	proportion; scale
悲惨	miserable; tragic
常常	frequently; often
偶遇	to meet by chance
小时	hour; CL:個|个[ge4]
妻子	wife; CL:個|个[ge4]
羊肉	mutton; goat meat
大夫	doctor; physician
短信	text message; SMS
长久	(for a) long time
没关系	it doesn't matter
游泳	swimming; to swim
带领	to guide; to lead
漂亮	pretty; beautiful
财务	financial affairs
爆款	(retail) hot item
地带	zone; CL:個|个[ge4]
课文	text; CL:篇[pian1]
司机	chauffeur; driver
燕麦粥	oatmeal; porridge
经济	economy; economic
紧急	urgent; emergency
谨慎	cautious; prudent
那里	there; that place
法语	French (language)
观看	to watch; to view
助手	assistant; helper
高跟鞋	high-heeled shoes
吃苦	to bear hardships
辣椒	hot pepper; chili
一副眼镜	A pair of glasses
崇高	majestic; sublime
连忙	promptly; at once
柜子	cupboard; cabinet
日期	date; CL:個|个[ge4]
国王	king; CL:個|个[ge4]
然而	however; but; yet
旅客	traveler; tourist
拿到	to get; to obtain
患者	patient; sufferer
难题	difficult problem
绘画	to draw; to paint
紧密	inseparably close
鼠标	mouse (computing)
口袋	pocket; bag; sack
危险	danger; dangerous
旅馆	hotel; CL:家[jia1]
绝大多数	the vast majority
反常	unusual; abnormal
一群人	A group of people
勇敢	brave; courageous
方言	topolect; dialect
脖子	neck; CL:個|个[ge4]
拍照	to take a picture
胖子	fat person; fatty
骗子	swindler; a cheat
粉末	fine powder; dust
频繁	frequently; often
身份证	identity card; ID
座位	seat; CL:個|个[ge4]
群体	community; colony
姿势	posture; position
字幕	caption; subtitle
扶手	handrail; armrest
上涨	to rise; to go up
尷尬癌	n. Chagrin+cancer
事实	fact; CL:個|个[ge4]
公务	official business
时常	often; frequently
益虫	beneficial insect
日语	Japanese language
怎么办	what's to be done
躲起来	hide (oneself) up
球棍	(sport) club; bat
过滤	to filter; filter
时时	often; constantly
罕见	rare; rarely seen
送礼	to give a present
特大	exceptionally big
新郎	bridegroom; groom
现状	current situation
贿赂	to bribe; a bribe
邮件	mail; post; email
医疗	medical treatment
言语	to speak; to tell
以内	within; less than
香菜籽	coriander (seeds)
由此	hereby; from this
民国时期	Republic of China
冷淡	cold; indifferent
原理	principle; theory
一行	party; delegation
英雄	hero; CL:個|个[ge4]
精确	accurate; precise
优质	excellent quality
敬礼	to salute; salute
自治县	autonomous county
钟头	hour; CL:個|个[ge4]
文化冲突	cultural conflict
立交桥	overpass; flyover
放烟花	set off fireworks
粤菜	Cantonese cuisine
好的关系	Good relationship
全局	overall situation
坦然	calm; undisturbed
触动神经	to strike a nerve
画画	to draw; to paint
呻吟	to moan; to groan
