癌症	/cancer/
冲击	/to attack/to batter/(of waves) to pound against/shock/impact/
冲突	/conflict/to conflict/clash of opposing forces/collision (of interests)/contention/
充当	/to serve as/to act as/to play the role of/
充沛	/abundant; plentiful/
充实	/rich/full/substantial/to enrich/to augment/to substantiate (an argument)/
充足	/adequate/sufficient/abundant/
崇拜	/to worship/adoration/
崇高	/majestic/sublime/
崇敬	/to revere/to venerate/high esteem/
重叠	/to overlap/to superimpose/to telescope/to run together/to duplicate/one over another/superposition/an overlap/redundancy/reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)/
筹备	/preparations/to get ready for sth/
稠密	/dense/
丑恶	/ugly/repulsive/
出路	/a way out (lit. and fig.)/opportunity for advancement; a way forward/outlet (for one's products)/
出卖	/to offer for sale; to sell/to sell out; to betray/
出身	/to be born of/to come from/family background/class origin/
出神	/spellbound/entranced/lost in thought/
出息	/future prospects/profit/to mature/to grow up/
初步	/initial/preliminary/tentative/
储备	/to store up/reserves/
储存	/stockpile/to store/to stockpile/storage/
储蓄	/to save money (in a bank)/savings/
处分	/to discipline sb/to punish/disciplinary action/to deal with (a matter)/CL:個|个[ge4]/
处境	/situation (of a person)/
处置	/to handle/to take care of/to punish/
触犯	/to violate/to offend/
穿越	/to pass through/to traverse/to cross/
川流不息	/the stream flows without stopping (idiom); unending flow/
船舶	/shipping/boats/
传达	/to pass on/to convey/to relay/to transmit/transmission/
传单	/leaflet; flier; pamphlet/
传授	/to impart; to pass on; to teach/
喘气	/to breathe deeply; to pant; to gasp/to take a breather; to catch one's breath/
床单	/bed sheet/CL:條|条[tiao2],件[jian4],張|张[zhang1],床[chuang2]/
创立	/to establish; to set up; to found/
创新	/to bring forth new ideas; to blaze new trails/innovation/
创业	/to begin an undertaking; to start an enterprise/entrepreneurship/
创作	/to create; to produce; to write/a creative work; a creation/
吹牛	/to talk big/to shoot off one's mouth/to chat (dialect)/
吹捧	/to flatter/to laud sb's accomplishments/adulation/
炊烟	/smoke from kitchen chimneys/
垂直	/perpendicular; vertical/
纯粹	/pure/unadulterated/purely/completely/
纯洁	/pure/clean and honest/to purify/
磁带	/magnetic tape/CL:盤|盘[pan2],盒[he2]/
慈祥	/kindly/benevolent (often of older person)/
慈善	/benevolent/charitable/
雌雄	/male and female/
次品	/substandard products/defective/seconds/
次序	/sequence; order/
伺候	/to serve; to wait upon/
从容	/to go easy/unhurried/calm/Taiwan pr. [cong1 rong2]/
凑合	/to bring together/to make do in a bad situation/to just get by/to improvise/passable/not too bad/
粗鲁	/coarse/crude (in one's manner)/boorish/
摧残	/to ravage/to ruin/
脆弱	/weak/frail/
磋商	/to consult/to discuss seriously/to negotiate/to confer/negotiations/consultations/
挫折	/setback/reverse/check/defeat/frustration/disappointment/to frustrate/to discourage/to set sb back/to blunt/to subdue/
搭档	/to cooperate/partner/
搭配	/to pair up/to match/to arrange in pairs/to add sth into a group/
答辩	/to reply (to an accusation)/to defend one's dissertation/
答复	/to answer/to reply/Reply to: (in email header)/
达成	/to reach (an agreement)/to accomplish/
打包	/to wrap; to pack/to put leftovers in a doggy bag for take-out/(computing) to package (i.e. create an archive file)/
打官司	/to file a lawsuit/to sue/to dispute/
打击	/to hit/to strike/to attack/to crack down on sth/blow/(psychological) shock/percussion (music)/
打架	/to fight/to scuffle/to come to blows/CL:場|场[chang2]/
打量	/to size sb up/to look sb up and down/to take the measure of/to suppose/to reckon/
打猎	/to go hunting/
打仗	/to fight a battle/to go to war/
大不了	/at worst; if worst comes to worst/(usu. in the negative) serious; alarming/
大臣	/chancellor (of a monarchy)/cabinet minister/
大伙儿	/erhua variant of 大伙[da4 huo3]/
大肆	/wantonly/without restraint (of enemy or malefactor)/unbridled/
大体	/in general; more or less; in rough terms; basically; on the whole/overall situation; the big picture/cadaver for dissection in training medical students/
大意	/careless/
大致	/more or less; roughly; approximately/
歹徒	/evildoer/malefactor/gangster/hoodlum/
带领	/to guide/to lead/
代价	/price/cost/consideration (in share dealing)/
代理	/to act on behalf of sb in a responsible position/to act as an agent or proxy/surrogate/(computing) proxy/
逮捕	/to arrest/to apprehend/an arrest/
怠慢	/to slight/to neglect/
担保	/to guarantee/to vouch for/
胆怯	/timidity/timid/cowardly/
淡季	/off season/slow business season/see also 旺季[wang4 ji4]/
淡水	/potable water (water with low salt content)/fresh water/
蛋白质	/protein/
诞辰	/birthday/
诞生	/to be born/
当场	/at the scene; on the spot/
当初	/at that time/originally/
当代	/the present age/the contemporary era/
当面	/to sb's face/in sb's presence/
当前	/the present time/to be faced with/
当事人	/persons involved or implicated; party (to an affair)/
当务之急	/(idiom) top priority job; matter of vital importance/
当选	/to be elected/to be selected/
档案	/file; record; archive/
档次	/grade/class/quality/level/
倒闭	/to go bankrupt/to close down/
导弹	/(guided) missile/CL:枚[mei2]/
导航	/navigation/
导向	/to be oriented towards/orientation/
捣乱	/to disturb/to look for trouble/to stir up a row/to bother sb intentionally/
稻谷	/unhusked rice/paddy/
盗窃	/to steal/
得不偿失	/the gains do not make up for the losses (idiom)/
得力	/able/capable/competent/efficient/
得天独厚	/blessed by heaven (idiom)/enjoying exceptional advantages/favored by nature/
得罪	/to offend sb/to make a faux pas/a faux pas/see also 得罪[de2 zui4]/
灯笼	/lantern/
登陆	/to land/to come ashore/to make landfall (of typhoon etc)/to log in (frequently used erroneous variant of 登錄|登录[deng1 lu4])/
登录	/to register/to log in/
等候	/to wait/to wait for/
等级	/grade/rank/status/
堤坝	/dam/dike/
敌视	/hostile/malevolence/antagonism/to view as enemy/to stand against/
抵达	/to arrive/to reach (a destination)/
抵抗	/to resist/resistance/
抵制	/to resist/to boycott/to refuse (to cooperate)/to reject/resistance/refusal/
递增	/to increase by degrees/in increasing order/incremental/progressive/
地步	/stage; degree (to which a situation has evolved)/a (usu. bad) situation/leeway/
地势	/terrain/topography relief/
地质	/geology/
颠簸	/to be jolted around (car on a bumpy road, boat on a rough sea, aircraft experiencing turbulence)/(fig.) to undergo a rough experience/
颠倒	/to turn upside down/to reverse/back to front/confused/deranged/crazy/
点缀	/to decorate/to adorn/sprinkled/studded/only for show/
典礼	/ceremony; celebration/
典型	/model/typical case/archetype/typical/representative/
电源	/electric power source/
奠定	/to establish/to fix/to settle/
惦记	/to think of/to keep thinking about/to be concerned about/
雕刻	/to carve/to engrave/carving/
雕塑	/a statue/a Buddhist image/sculpture/to carve/
调动	/to transfer/to maneuver (troops etc)/movement of personnel/to mobilize/to bring into play/
叮嘱	/to warn repeatedly/to urge/to exhort again and again/
定期	/at set dates/at regular intervals/periodic/limited to a fixed period of time/fixed term/
定义	/definition/to define/
丢人	/to lose face/
丢三落四	/forgetful/empty-headed/
东道主	/host/official host (e.g. venue for games or a conference)/
东张西望	/to look in all directions (idiom)/to glance around/
董事长	/chairman of the board of directors/
冻结	/to freeze (water etc)/(fig.) to freeze (assets, prices etc)/
动荡	/unrest (social or political)/turmoil/upheaval/commotion/
动机	/motive; motivation/
动静	/(detectable) movement; (sign of) activity/movement and stillness/
动力	/motive power/force/(fig.) motivation/impetus/
动脉	/artery/
动身	/to go on a journey/to leave/
动手	/to set about (a task)/to hit/to punch/to touch/
动态	/movement/motion/development/trend/dynamic (science)/
动员	/to mobilize/mobilization/CL:次[ci4]/
陡峭	/precipitous/
斗争	/a struggle/fight/battle/
督促	/to supervise and urge completion of a task/to urge on/
独裁	/dictatorship/
毒品	/drugs/narcotics/poison/
赌博	/to gamble/
堵塞	/to clog up/blockage/
杜绝	/to put an end to/
端午节	/Dragon Boat Festival (5th day of the 5th lunar month)/
端正	/upright/regular/proper/correct/
短促	/short in time/fleeting/brief/gasping (breath)/curt (tone of voice)/
断定	/to conclude/to determine/to come to a judgment/
断绝	/to sever; to break off/
堆积	/to pile up/to heap/accumulation/
对策	/countermeasure for dealing with a situation/
对称	/symmetry/symmetrical/
对付	/to handle; to deal with; to tackle/to get by with; to make do/(dialect) (usu. used in the negative) to get along with (sb)/
对抗	/to withstand/to resist/to stand off/antagonism/confrontation/
对立	/to oppose/to set sth against/to be antagonistic to/antithetical/relative opposite/opposing/diametrical/
对联	/rhyming couplet/pair of lines of verse written vertically down the sides of a doorway/CL:副[fu4],幅[fu2]/
对应	/to correspond (to); to be equivalent to; to be a counterpart to/
对照	/to contrast/to compare/to place side by side for comparison (as parallel texts)/to check/
兑现	/(of a check etc) to cash/to honor a commitment/
队伍	/ranks/troops/queue/line/procession/CL:個|个[ge4],支[zhi1],條|条[tiao2]/
顿时	/immediately/suddenly/
多元化	/diversification/pluralism/to diversify/
哆嗦	/to tremble/to shiver/uncontrolled shaking of the body/
堕落	/to degrade/to degenerate/to become depraved/corrupt/a fall from grace/
额外	/extra/added/additional/
恶心	/bad habit/vicious habit/vice/
恶化	/to worsen/
遏制	/to check/to contain/to hold back/to keep within limits/to constrain/to restrain/
恩怨	/gratitude and grudges/resentment/grudges/grievances/
而已	/that's all/nothing more/
二氧化碳	/carbon dioxide CO2/
发布	/to release/to issue/to announce/to distribute/
发财	/to get rich/
发呆	/to stare blankly/to be stunned/to be lost in thought/
发动	/to start/to launch/to unleash/to mobilize/to arouse/
发觉	/to become aware/to detect/to realize/to perceive/
发射	/to shoot (a projectile)/to fire (a rocket)/to launch/to emit (a particle)/to discharge/emanation/emission/
发誓	/to vow/to pledge/to swear/
发行	/to publish; to issue; to release; to distribute/
发炎	/to become inflamed/inflammation/
发扬	/to develop/to make full use of/
发育	/to develop/to mature/growth/development/(sexually) mature/
法人	/legal person/corporation/see also 自然人[zi4 ran2 ren2]/
繁华	/flourishing/bustling/
繁忙	/busy/bustling/
繁体字	/traditional Chinese character/
繁殖	/to breed/to reproduce/to propagate/
凡是	/each and every; every; all; any/
反驳	/to retort/to refute/
反常	/unusual/abnormal/
反感	/to be disgusted with/to dislike/bad reaction/antipathy/
反抗	/to resist/to rebel/
反馈	/to send back information/feedback/
反面	/reverse side/backside/the other side (of a problem etc)/negative/bad/
反射	/to reflect/reflection (from a mirror etc)/reflex (i.e. automatic reaction of organism)/
反思	/to think back over sth/to review/to revisit/to rethink/reflection/reassessment/
反问	/to ask (a question) in reply/to answer a question with a question/rhetorical question/
反之	/on the other hand.../conversely.../
范畴	/category/
泛滥	/to be in flood/to overflow (the banks)/to inundate/to spread unchecked/
贩卖	/to sell/to peddle/to traffic/
方位	/direction/points of the compass/bearing/position/azimuth/
方言	/topolect/dialect/
方圆	/perimeter/range/(within) a radius of .../
方针	/policy/guidelines/CL:個|个[ge4]/
防守	/to defend/to protect (against)/
防御	/defense/to defend/
防止	/to prevent/to guard against/to take precautions/
防治	/to prevent and cure/prevention and cure/
访问	/to visit/to call on/to interview/CL:次[ci4]/
纺织	/spinning and weaving/
放大	/to enlarge/to magnify/
放射	/to radiate/radioactive/
非法	/illegal/
飞禽走兽	/birds and animals/the beasts of the field and the birds of the air/
飞翔	/to circle in the air/to soar/
飞跃	/to leap/
肥沃	/fertile/
诽谤	/to slander/to libel/
废除	/to abolish/to abrogate/to repeal/
废墟	/ruins/
废寝忘食	/(idiom) to skip one's sleep and meals; to be completely wrapped up in one's work/
沸腾	/(of a liquid) to boil/(of sentiments etc) to boil over/to flare up/to be impassioned/
分辨	/to distinguish; to differentiate/to resolve/
分寸	/propriety/appropriate behavior/proper speech or action/within the norms/
分红	/dividend/to award a bonus/
分解	/to resolve/to decompose/to break down/
分裂	/to split up/to divide/to break up/fission/schism/
分泌	/to secrete/secretion/
分明	/clear/distinct/evidently/clearly/
分歧	/divergent/difference (of opinion, position); disagreement/(math.) bifurcation/
分散	/to scatter/to disperse/to distribute/
吩咐	/to tell; to instruct; to command/
坟墓	/grave/tomb/
粉末	/fine powder/dust/
粉色	/pink/white/erotic/beautiful woman/powdered (with make-up)/
粉碎	/to crush; to smash; to shatter/
分量	/quantity/weight/measure/
愤怒	/angry/indignant/wrath/ire/
风暴	/storm/violent commotion/fig. crisis (e.g. revolution, uprising, financial crisis etc)/
风度	/elegance (for men)/elegant demeanor/grace/poise/
风光	/scene/view/sight/landscape/to be well-regarded/to be well-off/grand (dialect)/impressive (dialect)/
风气	/general mood/atmosphere/common practice/
风趣	/charm/humor/wit/humorous/witty/
风土人情	/local conditions and customs (idiom)/
风味	/distinctive flavor/distinctive style/
封闭	/to close; to seal off/to close down (an illegal venue)/closed (i.e. isolated from outside input)/
封建	/system of enfeoffment/feudalism/feudal/feudalistic/
封锁	/to blockade/to seal off/to lock down/
丰满	/ample/well developed/fully rounded/
丰盛	/rich/sumptuous/
丰收	/bumper harvest/
锋利	/sharp (e.g. knife blade)/incisive/to the point/
奉献	/to offer respectfully/to consecrate/to dedicate/to devote/
否决	/to veto/to overrule/
夫妇	/a (married) couple/husband and wife/CL:對|对[dui4]/
夫人	/lady/madam/Mrs./CL:位[wei4]/
敷衍	/to elaborate (on a theme)/to expound (the classics)/perfunctory/to skimp/to botch/to do sth half-heartedly or just for show/barely enough to get by/
幅度	/width/extent/range/scope/
服从	/to obey (an order)/to comply/to defer/
服气	/to be convinced/to accept/
符号	/symbol; mark; sign/
福利	/material benefit/benefit in kind/(social) welfare/
福气	/good fortune/a blessing/
俘虏	/captive/
辐射	/radiation/
腐败	/corruption/to corrupt/to rot/rotten/
腐烂	/to rot/to putrefy/(fig.) corrupt/
腐蚀	/corrosion/to corrode (degrade chemically)/to rot/corruption/
腐朽	/rotten/decayed/decadent/degenerate/
辅助	/to assist; to aid/supplementary; auxiliary/
抚养	/to foster/to bring up/to raise/
抚摸	/to gently caress and stroke/to pet/to fondle/
俯视	/to overlook/to look down at/
富裕	/prosperous; well-to-do; well-off/
负担	/to bear (an expense, a responsibility etc)/burden/
覆盖	/to cover/
附和	/to agree/to go along with/to echo (what sb says)/
附件	/appendix (in a document)/enclosure (accompanying a document)/(email) attachment/accessory (for a car, computer etc)/(anatomy) adnexa/
附属	/subsidiary/auxiliary/attached/affiliated/subordinate/subordinating/
复活	/to revive/(lit. and fig.) to come back to life/(religion) resurrection/
复兴	/to revive/to rejuvenate/
腹泻	/diarrhea/to have the runs/
赋予	/to assign/to entrust (a task)/to give/to bestow/
改良	/to improve (sth)/to reform (a system)/
盖章	/to affix a seal/to stamp (a document)/to sign off on sth/
干旱	/drought/arid/dry/
干扰	/to disturb/to interfere/perturbation/interference (physics)/
干涉	/to interfere/to meddle/interference/
干预	/to meddle/to intervene/intervention/
尴尬	/awkward; embarrassed/
感慨	/to sigh with sorrow, regret etc/rueful/deeply moved/
感染	/to infect; infection/(fig.) to influence/
干劲	/enthusiasm for doing sth/
纲领	/program (i.e. plan of action)/guiding principle/
港口	/port/harbor/
港湾	/bay serving as a harbor/
岗位	/a post; a job/
杠杆	/lever/pry bar/crowbar/financial leverage/
高超	/excellent/superlative/
高潮	/high tide; high water/upsurge; peak of activity/climax (of a story, a competition etc)/to have an orgasm/
高峰	/peak/summit/height/
高明	/brilliant; superior; wise/
高尚	/noble/lofty/refined/exquisite/
高涨	/to surge up/to rise/(of tensions etc) to run high/
稿件	/piece of writing submitted for publication; manuscript; article/
告辞	/to say goodbye/to take one's leave/
告诫	/to warn/to admonish/
疙瘩	/swelling or lump on skin; pimple/knot; lump/preoccupation; problem/
歌颂	/to sing the praises of/to extol/to eulogize/
鸽子	/pigeon/dove/various birds of the family Columbidae/
隔阂	/misunderstanding/estrangement/(language etc) barrier/
隔离	/to separate/to isolate/
格局	/structure/pattern/layout/
格式	/form/specification/format/
革命	/to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)/revolution/revolutionary/to revolt (against sb or sth)/to revolutionize (sth)/(separable verb sometimes used in the pattern 革noun的命)/CL:次[ci4]/
个体	/individual/
各抒己见	/everyone gives their own view/
根深蒂固	/deep-rooted (problem etc)/
根源	/origin/root (cause)/
跟前	/(of children, parents etc) at one's side; living with one/
跟随	/to follow/
