叮	to sting or bite; to say repeatedly; to urge insistently; to ask repeatedly; to stick to a point; tinkling or jingling sound; tinkling or jingling sound
楠	variant of 楠[nan2]; Machilus nanmu; Chinese cedar; Chinese giant redwood
腐	decay; rotten
谅	to show understanding; to excuse; to presume; to expect
泊	to anchor; touch at; to moor; lake; Taiwan pr. [bo2]
怀	surname Huai; bosom; heart; mind; to think of; to harbor in one's mind; to conceive
怖	terror; terrified; afraid; frightened
搭	to put up; to build; to hang; to connect; to join; to arrange in pairs; to match; to add; to throw in; to take
松	surname Song; pine; loose; to loosen; to relax; floss
扒	to peel; to skin; to tear; to pull down; to cling to; to dig; to rake up; to steal; to braise; to crawl
圾	used in 垃圾[la1 ji1]; Taiwan pr. [se4]
喉	throat; larynx
在	to exist; to be alive; to beat; 
枯	withered; dried up; dull; boring; residue of pressed oilseeds
震	to shake; to vibrate; to jolt; to quake; excited; shocked; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder; ☳
龄	age; length of experience, membership etc
低	low; beneath; to lower; to let droop; to hang down; to incline
返	to return
旧	old; opposite: new 新; former; worn
骗	to cheat; to swindle; to deceive; to get onby swinging one leg over
能	surname Neng; can; to be able to; might possibly; ability; energy
济	used in place names associated with the Ji River 濟水|济水[Ji3 Shui3]; surname Ji; used in 濟濟|济济[ji3 ji3]; to cross a river; to aid or relieve; to be of help; large number of people
蛮	barbarian; bullying; very; quite; rough; reckless
徙	to change one's residence
溪	creek; rivulet
科	branch of study; administrative section; division; field; branch; stage directions; family; rules; laws; to mete out; to levy; to fine sb
中	China; Chinese; surname Zhong; within; among; in; middle; center; while; during; OK; all right; to hit; to be hit by; to suffer; to win; middling; average; impartial; secondary school that uses Chinese as the medium of instruction
营	camp; barracks; battalion; to build; to operate; to manage; to strive for
毒	poison; to poison; poisonous; malicious; cruel; fierce; narcotics
吧	bar; to puff; bang; abbr. for 貼吧|贴吧[tie1 ba1]; ; ...right?; ...OK?; ...I presume.; smack!
春	surname Chun; spring; gay; joyful; youthful; love; lust; life
嘲	to ridicule; to mock; used in 嘲哳[zhao1 zha1]
必	certainly; must; will; necessarily
啾	wailing of child; chirp; kiss
基	base; foundation; radical; gay
占	to observe; to divine; to take possession of; to occupy; to take up
赞	variant of 贊|赞[zan4]; to praise; to patronize; to support; to praise; to like
腰	waist; lower back; pocket; middle; loins
沿	along; to follow; to carry on; to trim; border; edge
婪	avaricious
衫	garment; jacket with open slits in place of sleeves
疙	pimple; wart
翻	to turn over; to flip over; to overturn; to rummage through; to translate; to decode; to double; to climb over or into; to cross
例	example; precedent; rule; case; instance
跌	to fall; to tumble; to trip; to drop; Taiwan pr. [die2]
栽	to plant; to grow; to insert; to erect; to impose sth on sb; to stumble; to fall down
卸	to unload; to unhitch; to remove or strip; to get rid of
柜	Salix multinervis; cupboard; cabinet; wardrobe
佬	male; man
包	surname Bao; to cover; to wrap; to hold; to include; to take charge of; to contract; package; wrapper; container; bag; to hold or embrace; bundle; packet; bag or purse etc; small bump or pimple; hillock
找	to try to find; to look for; to call on sb; to find; to seek; to return; to give change
歉	to apologize; to regret; deficient
滑	surname Hua; to slip; to slide; slippery; smooth; sly; slippery; not to be trusted
鼠	rat; mouse
盆	basin; flower pot; unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters
叠	variant of 疊|叠[die2]; to fold; to fold over in layers; to furl; to layer; to pile up; to repeat; to duplicate
泌	used in 泌陽|泌阳[Bi4 yang2]; to secrete
搂	to draw towards oneself; to gather; to gather up; to grab; to extort; to hug; to embrace; to hold in one's arms
闹	noisy; cacophonous; to make noise; to disturb; to vent; to fall ill; to have an attack; to go in; to joke
炉	stove; furnace
液	liquid; fluid; Taiwan pr. [yi4]
沸	to boil
萝	radish
响	echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises
飘	to float; to flutter; to waft; complacent; frivolous; weak; shaky; wobbly; to float about; to flutter; gay guy; ghost
仇	surname Qiu; hatred; animosity; enmity; foe; enemy; to feel animosity toward; spouse; companion; variant of 仇[chou2]
恶	used in 惡心|恶心[e3 xin1]; evil; fierce; vicious; ugly; coarse; to harm; to hate; to loathe; ashamed; to fear; to slander
祖	surname Zu; ancestor; forefather; grandparents
洲	continent; island in a river
阅	to inspect; to review; to read; to peruse; to go through; to experience
激	to arouse; to incite; to excite; to stimulate; sharp; fierce; violent
么	exclamatory final particle; interrogative final particle; suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; kissing sound
疾	disease; ailment; swift; to hate; to abhor
吗	what?; used in 嗎啡|吗啡[ma3 fei1]; 
减	to lower; to decrease; to reduce; to subtract; to diminish
形	to appear; to look; form; shape
块	lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; classifier for money and currency units
额	forehead; horizontal tablet or inscribed board; specified number or amount
爸	father; dad; pa; papa; father; dad
讯	to question; to ask; to interrogate; rapid; speedy; fast; news; information
甚	what; very; extremely; any
袭	to raid; to attack; to continue the pattern; to perpetuate; classifier for suits of clothing or sets of bedding
扩	to enlarge
娃	baby; doll; baby; small child; doll
夕	dusk; evening; Taiwan pr. [xi4]
宰	to slaughter; to butcher; to kill; to fleece; to rip off; to overcharge; to govern; to rule; 
岁	years old; classifier for years; year; year
纷	numerous; confused; disorderly; one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell
时	surname Shi; o'clock; time; when; hour; season; period; often; constantly
像	to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping
妻	wife; to marry off
胳	armpit
晾	to dry in the air; to cold-shoulder
所	actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive
菊	chrysanthemum
当	dong; ding dong; ding dong; to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at; on the spot; right; just at; at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; to fail; Dangdang; to pawn
舌	used in 喇舌[la3 ji1] to transcribe the Taiwanese word for "tongue"; tongue
豫	abbr. for Henan province 河南 in central China; happy; carefree; at one's ease; old variant of 與|与[yu4]
唇	lip
祸	disaster; misfortune; calamity
快	rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp; forthright; plainspoken; gratified; pleased; pleasant
押	to mortgage; to pawn; to detain in custody; to escort and protect; to sign
颁	to promulgate; to send out; to issue; to grant or confer
膛	hollow space
囊	sack; purse; pocket
解	surname Xie; to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection; to transport under guard; acrobatic display
吁	sh; hush; to pant; to gasp for breath; to implore
苍	surname Cang; dark blue; deep green; ash-gray; ash gray; vast and hazy; flourishing
枚	surname Mei; classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip; wooden peg, used as a gag for marching soldiers
志	aspiration; ambition; the will; sign; mark; to record; to write a footnote
替	to substitute for; to take the place of; to replace; for; on behalf of; to stand in for
裤	underpants; trousers; pants
签	to sign one's name; to write brief comments on a document; visa; inscribed bamboo stick; small wood sliver; label; tag
谊	friendship; also pr. [yi2]
这	this; these; this; the; this; these
姬	surname Ji; family name of the Zhou Dynasty 周代[Zhou1 dai4]; woman; concubine; female entertainer
廷	palace courtyard
炸	to deep fry; to blanch; Taiwan pr. [zha4]; to burst; to explode; to blow up; to bomb; to fly into a rage; to scamper off; to scatter
瘫	paralyzed
抚	to comfort; to console; to stroke; to caress; an old term for province or provincial governor
进	to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; base of a number system; classifier for sections in a building or residential compound
迅	rapid; fast
闻	surname Wen; to hear; news; well-known; famous; reputation; fame; to smell; to sniff at
网	net; network
惫	exhausted
丛	cluster; collection; collection of books; thicket
六	six; 6
逮	to catch; to seize; to arrest; to seize; to overtake; until
驾	surname Jia; to harness; to draw; to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect
恤	anxiety; sympathy; to sympathize; to give relief; to compensate; anxiety; sympathy; to sympathize; to give relief; to compensate
斗	abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1]; dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4]; decaliter; peck; cup or dipper shaped object; to fight; to struggle; to condemn; to censure; to contend; to put together; coming together; variant of 鬥|斗[dou4]
鸭	duck; male prostitute
又	again; also; both... and...; and yet; anyway
沙	surname Sha; granule; hoarse; raspy; sand; powder; abbr. for Tsar or Tsarist Russia; rustle
荐	to recommend; to offer sacrifice; grass; straw mat
兜	pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor; an undergarment covering chest and abdomen
杏	apricot; almond
滨	water's edge; bank; shore; to border on
横	horizontal; across; crosswise; horizontal stroke; to placeflat; to cross; in a jumble; chaotic; harsh and unreasonable; violent; harsh and unreasonable; unexpected
评	to discuss; to comment; to criticize; to judge; to choose
积	to amass; to accumulate; to store up; product; constipation; indigestion
信	letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random
馆	building; shop; term for certain service establishments; embassy or consulate; schoolroom
半	half; semi-; incomplete; and a half
疑	to doubt; to suspect
涂	to apply; to smear; to daub; to blot out; to scribble; to scrawl; mud; street; surname Tu
应	surname Ying; Taiwan pr. [Ying4]; to agree; should; ought to; must; shall; to answer; to respond; to comply with; to deal or cope with
添	to add; to increase; to replenish
昏	muddle-headed; twilight; to faint; to lose consciousness
度	to pass; to spend; measure; limit; extent; degree of intensity; degree; kilowatt-hour; classifier for events and occurrences; to estimate; Taiwan pr. [duo4]
校	to check; to collate; to proofread; school; college; field officer
江	surname Jiang; river
幅	width; roll; classifier for textiles or pictures
饱	to eat till full; satisfied
道	road; path; way; reason; principle; a skill; an art; a specialization; the Way; the Dao; to say; to express; to extend; classifier for long thin things, barriers, questions, commands, courses in a meal, steps in a process; circuit
卑	low; base; vulgar; inferior; humble
坍	to collapse
批	to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier
瘸	lame
吸	to breathe; to suck in; to absorb; to inhale
文	surname Wen; language; culture; writing; formal; literary; gentle; classifier for coins; Kangxi radical 67
馈	to make an offering to the gods; food; to make a present
胸	chest; bosom; heart; mind; thorax
斩	to behead; to chop
遛	to stroll; to walk
粘	to glue; to paste; to adhere; to stick to
纪	surname Ji; also pr. [Ji4]; order; discipline; age; era; period; to chronicle
啪	bang; pop; pow
晶	crystal; glistening; gleaming; lustrous
封	surname Feng; to confer; to grant; to bestow a title; to seal; classifier for sealed objects, esp. letters
把	to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; ; handle
泥	mud; clay; paste; pulp; restrained
村	village
汪	surname Wang; expanse of water; ooze; bark; classifier for liquids: pool, puddle; gleaming with tears; woof woof; broad and deep
袜	socks; stockings; variant of 襪|袜[wa4]
膏	ointment; paste; to moisten; to grease; to apply; to dip a brush in ink; to anoint
亲	parent; one's own; relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; dear; parents-in-law of one's offspring; dear one; to kiss; friendly
陆	surname Lu; six; land
尘	dust; dirt; earth
切	to cut; to slice; to carve; tangential; definitely; absolutely; Yeah, right.; Tut!; to grind; close to; eager; to correspond to; ; urgently; eagerly; worried; be sure to; it is absolutely essential to
摇	surname Yao; to shake; to rock; to row; to crank
缉	to seize; to arrest; Taiwan pr. [qi4]; to stitch finely
媒	medium; intermediary; matchmaker; go-between; abbr. for 媒體|媒体[mei2 ti3], media, esp. news media
畏	to fear
肖	surname Xiao; Taiwan pr. [Xiao4]; similar; resembling; to resemble; to be like
规	compass; a rule; regulation; to admonish; to plan; to scheme
耐	to bear; to endure; to withstand
析	to separate; to divide; to analyze
剂	dose
死	to die; impassable; uncrossable; inflexible; rigid; extremely; damned; rigid; unwavering; unbendable; firm; tenacious
随	surname Sui; to follow; to comply with; varying according to...; to allow; subsequently
香	fragrant; sweet smelling; aromatic; savory or appetizing; with relish; sound; perfume or spice; joss or incense stick
嘿	hey; he he; mischievous laughter
拣	to choose; to pick; to sort out; to pick up
救	to save; to assist; to rescue
港	Hong Kong; surname Gang; harbor; port
伸	to stretch; to extend
腿	leg; hip bone
股	thigh; part of a whole; portion of a sum; share; strand of a thread; low-level administrative unit, translated as "section" or "department" etc, ranked below 科[ke1]; classifier for long winding things like ropes, rivers etc; classifier for smoke, smells etc: thread, puff, whiff; classifier for bands of people, gangs etc; classifier for sudden forceful actions
落	to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; colloquial reading for 落[luo4] in certain compounds; to fall or drop; to set; to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement
锁	to lock; to lock up; a lock
伺	used in 伺候[ci4 hou5]; to watch; to wait; to examine; to spy
矶	breakwater; jetty
蛋	egg; oval-shaped thing; balls
除	to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including
纸	paper; classifier for documents, letter etc
陷	pitfall; trap; to get stuck; to sink; to cave in; to frame; to capture; to fall; defect
沦	to sink; to be reduced to
杀	to kill; to slay; to murder; to attack; to weaken; to reduce; to smart; extremely
叶	to be in harmony; surname Ye; leaf; page; lobe; period; classifier for small boats
割	to cut; to cut apart
纤	boatman's tow-rope; fine; delicate; minute; slim; slender
热	to warm up; to heat up; hot; heat; fervent
化	to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]
烘	to bake; to heat by fire; to set off by contrast
罗	surname Luo; gauze; to collect; to gather; to catch; to sift
叛	to betray; to rebel; to revolt
抗	to resist; to fight; to defy; anti-
副	secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs, sets of things & facial expressions
各	each; every
滋	to grow; to nourish; to increase; to cause; juice; taste; to spout; to spurt
勾	surname Gou; to attract; to arouse; to tick; to strike out; to delineate; to collude; used in 勾當|勾当[gou4 dang4]
蕾	bud
擅	without authority; to usurp; to arrogate to oneself; to monopolize; expert in; to be good at
友	friend
忙	busy; hurriedly; to hurry; to rush
肥	fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure
便	plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; used in 便宜|便宜[pian2 yi5]; used in 便便[pian2 pian2]; used in 便嬛[pian2 xuan1]; to poo poo; also pr. [bian3 bian3]; obese; bulging
晋	surname Jin; the Jin Dynasties; Western Jin 西晉|西晋[Xi1 Jin4], Eastern Jin 東晉|东晋[Dong1 Jin4]and Later Jin Dynasty; short name for Shanxi province 山西[Shan1 xi1]; to move forward; to promote; to advance
翘	outstanding; to raise; to stick up; to rise on one end; to tilt
卫	surname Wei; vassal state during the Zhou Dynasty, located in present day Henan and Hebei Provinces; to guard; to protect; to defend; abbr. for 衛生|卫生, hygiene; health; abbr. for 衛生間|卫生间, toilet
俏	good-looking; charming; in great demand; to season
滤	to strain; to filter
惚	indistinct
哄	roar of laughter; hubbub; to roar; to deceive; to coax; to amuse; tumult; uproar; commotion; disturbance
慢	slow; slowly
咬	to bite; to nip
乞	to beg
较	to compare; to dispute; compared to; relatively; comparatively; rather; also pr. [jiao3]
冠	surname Guan; hat; crown; crest; cap; to put on a hat; to be first; to dub
际	border; edge; boundary; interval; between; inter-; to meet; time; occasion; to meet with
沟	ditch; gutter; groove; gully; ravine
恭	respectful
订	to agree; to conclude; to draw up; to subscribe to; to order
散	scattered; loose; to come loose; to fall apart; leisurely; powdered medicine; to scatter; to break up; to disperse; to disseminate; to dispel; to sack
七	seven; 7
线	thread; string; wire; line; tier
亿	100 million
感	to feel; to move; to touch; to affect; feeling; emotion; sense of ~
虫	lower form of animal life, including insects, insect larvae, worms and similar creatures; person with a particular undesirable characteristic
眉	eyebrow; upper margin
的	of; ~'s; ; ; ; also pr. [di4] or [di5] in poetry and songs; a taxi; a cab; really and truly; bull's-eye; target
寞	lonesome
瞎	blind; groundlessly; foolishly; to no purpose
概	general; approximate
为	as; to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by; because of; for; to; variant of 為|为[wei4]
薪	firewood; fuel; salary
诊	to examine or treat medically
失	to lose; to miss; to fail
妨	to hinder; harm; harm
雄	male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence
侮	to insult; to ridicule; to disgrace
迎	to welcome; to meet; to forge ahead; to meet face to face
券	bond; contract; deed; ticket; voucher; certificate
麅	/variant of 狍[pao2]/
戚	grief; sorrow; sorrowful; distressed; surname Qi; relatives; kin; grief; sorrow; battle-axe; intimate; closely related; sorrowful; distressed
准	to allow; to grant; in accordance with; in the light of; accurate; standard; definitely; certainly; about to become; quasi-; para-
倡	to initiate; to instigate; to introduce; to lead
羡	to envy
魄	soul; mortal soul
秒	second; arc second; instantly
微	surname Wei; ancient Chinese state near present day Chongqing; Taiwan pr. [Wei2]; tiny; miniature; slightly; profound; abtruse; to decline; one millionth part of; micro-; Taiwan pr. [wei2]; slight; faint; humble
〇	zero
欢	joyous; happy; pleased; hubbub; clamor; a breed of horse
胃	stomach
害	to do harm to; to cause trouble to; harm; evil; calamity
贤	worthy or virtuous person; honorific used for a person of the same or a younger generation
聋	deaf
昨	yesterday
浪	wave; breaker; unrestrained; dissipated; to stroll; to ramble
哆	quiver; woolen cloth
梨	pear
绘	to draw; to paint; to depict; to portray
纫	to thread; to sew; to stitch; very grateful
青	abbr. for 青海[Qing1 hai3], Qinghai Province; green; blue; black; youth; young
蔽	to cover; to shield; to screen; to conceal
厕	restroom; toilet; lavatory; to be mingled with; to be involved in; used in 茅廁|茅厕[mao2 si5]
肯	to agree; to consent; to be willing to
塘	dyke; embankment; pool or pond; hot-water bathing pool
秤	steelyard; Roman balance
运	to move; to transport; to use; to apply; fortune; luck; fate
瘾	addiction; craving
隙	crack; crevice; gap or interval; loophole; discord; rift
改	to change; to alter; to transform; to correct
伞	umbrella; parasol; damask silk
痒	to itch; to tickle; to itch; to tickle; to itch; to tickle
矮	low; short
登	to scale; to ascend; to mount; to publish or record; to enter; to press down with the foot; to step or tread on; to put on; to be gathered and taken to the threshing ground
绍	surname Shao; to continue; to carry on
尸	person representing the dead; to put a corpse on display; corpse; corpse
汤	surname Tang; rushing current; soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled
骑	saddle horse; mounted soldier; to sit astride; to ride; classifier for saddle horses
厢	box; side room; side
仰	surname Yang; to face upward; to look up; to admire; to rely on
扫	to sweep; broom
畔	side; edge; boundary
由	to follow; from; because of; due to; by; via; through; it is for ... to ...
