几	少
赶快	赶;就
干活儿	打工
个人	个别;私人
各自	各
公开	开放;睁;公布;开;展开
工业	行业
沟通	交流
乖	良好;好
怪不得	难怪
观念	概念
光滑	顺利
光明	浅;轻;清淡;淡;光
规律	法律;规则;规定
规则	规律;规矩;规定
果实	水果
何必	为什么
合作	配合
恨	讨厌
后背	背
壶	锅
糊涂	慌张
怀念	想念;小姐
慌张	糊涂
灰	灰尘
活跃	主动;活泼;热闹;积极;生动
伙伴	对象
或许	也许;大概;说不定
及格	过（动词）
记忆	回忆
纪录	记录
假如	要是;如果
假装	装
坚强	结实;强烈;坚决;硬;重;浓
艰苦	难;硬
捡	接;摘
简直	干脆
建筑	结构
讲座	教训
浇	水
交换	兑换
交往	关系;感情
教训	讲座;课
接待	受到;收;招待
结实	坚强;重;浓;强烈
节省	保存;救;节约;存
结构	建筑
结合	组合
紧急	迫切
进步	完善;改善;改进
精神	精力
经典	古典
救	保存;节约;节省;存
舅舅	叔叔
具备	有;只好;不得不;得（助动词）
开放	睁;公开;开;展开
砍	切
看不起	轻视
可怕	糟糕
客观	目的
口味	味道;尝
夸	表扬;赞美;称赞
扩大	发展
烂	破
劳动	作品;干;工作;打工
老鼠	鼠标
姥姥	奶奶
理由	道理;原因
立刻	立即
力量	权力
利息	权利;利益
利用	用;用途;使用
连忙	赶紧;及时
列车	培训;训练
临时	暂时
领域	面积
流传	传播
录取	招聘
落后	退步
骂	喊
面对	脸
明确	表明
命令	指挥;叫;称
摸	碰;感觉;感想
某	一定;些;的确
哪怕	即使
脑袋	首
嫩	温柔
年纪	年龄;时代
派	发;寄
培养	文化
配合	合作
平常	平时;通常
平方	方
期待	盼望
启发	鼓舞
气氛	心情;情绪
谦虚	虚心
签	标志
浅	轻;光明;清淡;淡;光
抢	抓
瞧	照顾;样子;看;寻找;当心
巧妙	聪明
亲切	善良
勤奋	刻苦;用功
轻视	看不起
请求	征求
去世	死
权力	力量
劝	催;促使;说服
缺乏	缺少
群	团;组
绕	移动;转;围绕;搬
热心	热情;热烈
人生	生命;生活;日子
人物	文字;字;性格
如何	怎么
嗓子	声音
晒	太阳
商务	企业;生意;商业
伤害	疼;危害
深刻	深;厚
生动	热闹;活跃;活泼
生长	发达;发挥;长（动词）;成长;发展
时代	年纪;年龄;遍;倍;次
实验	测验
事物	东西;对象
手续	程序
首	脑袋
输入	进口
鼠标	老鼠
数据	资料
摔倒	甩;丢
说服	劝
随身	进行
碎	破
台阶	步骤
逃	逃避
淘气	调皮
特色	特征;特点;性质
提倡	促进;宣传;推广;主张
题目	题
体贴	周到
体验	经历
天真	老实
通常	平时;平常
痛快	幸福;愉快;开心;快乐;高兴
突出	优秀;出色
推辞	拒绝
推荐	建议
外公	爷爷
完整	完成
维修	修理
围绕	转;绕
未必	不见得
温柔	轻;嫩;轻松
勿	别
物质	事情
系统	制度
戏剧	播放;表演;玩
显然	明白;清楚
相当	很;挺
想念	怀念;小姐
象征	标志
消极	否定
写作	文字
行为	指挥;举办;进行
形容	描写
形势	条件;状况;情景;情况
形状	形式
虚心	谦虚
宣布	公布
询问	打听
训练	培训;列车
押金	存
样式	风格
夜	晚上
依然	还;仍然;而;倒;却;不过;还是
一旦	曾经;假设
一致	赞成
一再	反复;再三
疑问	怀疑
以来	自从;既然;由于
议论	讨论
硬	坚强;坚决;艰苦
应用	运用;申请;使用
用功	勤奋;刻苦
优势	优点
悠久	长;盼望;久
预防	阻止
运用	应用;申请
在乎	爱护;关心
再三	一再;反复
赞成	批准;一致
糟糕	可怕
造成	使;原因;制作;引起;导致;创造
展开	开放;公开;开;睁
掌握	主人
珍惜	价值;爱惜;重视
阵	前面
睁	开放;公开;开;展开
争取	努力
整个	全部
整齐	整理;收拾
正	直;刚才;正确;刚;改正
支票	报到
指导	辅导
制定	交;使;制作;挣;组成;搞;弄
制造	生产;制作
中旬	中间
周到	彻底;体贴
逐步	逐渐
主持	主人
主任	总裁;导演
抓	抢
转告	告诉
装	安装;假装
状况	状态;形势;地位;情况;情景;条件
追	追求;跑步
资格	条件
资料	信息;数据
姿势	位;位置
自由	空闲
综合	全面
总算	究竟;终于
组成	制定;形式;表格;交;使;构成;制作;挣;搞;弄
爱护	在乎;宝贝;关心
爱惜	珍惜
安装	装
把握	抓紧
摆	发挥;安排;展览
办理	过程;处理
包裹	包
薄	瘦
宝贝	爱护
报道	报告
报社	报纸
背	后背
本质	性质
彼此	互相
毕竟	究竟;到底
便	然后
表明	表示;明确
播放	戏剧;广播;表演;玩
布	衣服
不得了	严重;非常;严肃;十分
步骤	台阶;阶段
参与	参加
测验	实验
曾经	一旦
差距	区别;距离
朝	向
称呼	地址
成果	成绩;成就
成就	成绩;成果
成长	生长;发展;长（动词）
出版	公布;发表
出色	优秀;突出
传播	流传
创造	制作;造成
促进	提倡;宣传;推广
催	劝;促使
答应	同意
打听	询问
呆	留
代替	反而
单纯	简单
单元	单位
当地	地方
当心	手表;小心;样子;照顾;看;瞧;寻找
挡	拦;阻止;妨碍
导演	总裁;主任
导致	造成;引起;使;原因
到达	到
等待	等;等 （动）
的确	一定;确实;某
地位	状况
点心	小吃;零食
钓	鱼
断	违反;破
对象	伙伴;事物
兑换	交换
反复	一再;再三
反映	照;体现;思考
方	平方
非	错
分配	分布
纷纷	陆续
奋斗	挣
风格	样式
风俗	海关
否定	消极
辅导	教练;指导
妇女	女人
改善	完善;改进;进步
盖	被
概念	主意;观念
干脆	简直
干燥	干
感激	感谢;欣赏
感受	感觉;感情
赶紧	连忙
搞	制定;干;交;使;制作;挣;组成;起来;做;弄;起床;获得
格外	尤其;专门;特别
个别	具体;个人
个性	性格
公布	宣布;出版;公开;发表
恭喜	祝贺
构成	组成;表格;形式
古典	经典
鼓舞	启发
股票	份
挂号	登记;报到;注册
拐弯	转
关闭	近;关
观点	看法
广泛	宽
规矩	规则
规模	范围
归纳	促使
锅	壶
哈	呀;啊
海关	风俗
喊	骂
行业	工业
核心	中心
忽然	突然
灰尘	灰
恢复	简历
火柴	比赛
激烈	厉害;强烈
极其	十分;极
急忙	匆忙
记录	纪录
假设	一旦
嫁	结婚
价值	珍惜;重视
坚决	坚强;硬
简历	恢复
建立	成立
交际	交流
教练	辅导
接触	遇到
阶段	步骤
戒指	响
进口	输入
精力	精神
经商	贸易;商业
经营	管理
居然	其实;倒;竟然;实在
具体	个别
开发	发展
看望	参观;游览
课程	过程
刻苦	勤奋;用功
空闲	自由
宽	广泛
拦	阻止;挡;停
朗读	念
老实	天真;诚实
老婆	太太;妻子
类型	种类
冷淡	冷
立即	立刻
利益	权利;收获;利息;好处
连续	不断
恋爱	爱心;爱;爱情;喜欢
良好	乖;好
零件	部分
零食	点心;小吃
陆续	纷纷
毛病	麻烦;打扰
贸易	商业;经商
面积	领域
描写	形容
陌生	奇怪
难怪	怪不得
念	朗读
浓	坚强;结实;重;强烈
盼望	长;悠久;期待;久
培训	列车;训练
碰	摸;符合;见面;迎接
批准	赞成
匹	马
迫切	紧急
期间	时期
其余	休息;别人;歇;在于
企业	商业;生意;商务
强烈	坚强;结实;激烈;重;浓
切	砍
青	绿;年轻
轻易	容易
清淡	浅;轻;光明;淡;光
情景	形势;状况;情况
情绪	心情;气氛
全面	综合
权利	马上;利益;正确;利息;对;右边
热烈	暖和;温暖;热心
日期	约会;日
日子	生命;生活;人生
如今	现在
软	轻
色彩	颜色
善良	亲切
商业	生意;商务;贸易;经商;企业
上当	当
设备	设施
设施	设备
射击	火
升	涨
生产	制造;制作;产生
失去	丢;输
时刻	时候;刻;趟;遍;时间
时期	期间
实话	道理
实践	练习
事先	提前
收获	利益;好处
手指	指
舒适	舒服
甩	摔倒;丢
说不定	或许;也许
思考	反映
私人	个人
所	位置
太太	老婆;妻子
逃避	逃
特征	特点;特色;性质
体现	包含;照;反映
调皮	淘气
土地	降落
团	组;群
推广	提倡;宣传;促进
退步	落后
完善	改善;改进;进步
往返	还（动词）;回
网络	互联网
危害	伤害
微笑	笑
违反	断;破
唯一	光;只（副词）
伟大	重大;棒
位置	姿势;所;座;位;座位
温暖	暖和;热烈
闻	味道
文字	人物;写作;字;性格
屋子	房间
系	部门
显得	出现
显示	展览
相对	亲戚
项目	计划
销售	售货员
歇	其余;休息;在于
欣赏	感激
行动	动作
形式	组成;表格;形状;构成
形象	像
性质	特征;特点;特色;本质
宣传	提倡;推广;促进
学问	知识
寻找	照顾;样子;看;瞧;当心
严肃	严重;不得了
要不	否则;怎么样;不然
移动	绕;搬
遗憾	后悔
乙	秒
意义	意思
因而	于是;因此;从而
印刷	打印
迎接	碰;见面;符合;欢迎
拥抱	抱
用途	用;目的;利用;使用
优美	晴;罚款
游览	参观;看望
预订	书
在于	其余;休息;歇
赞美	表扬;夸;称赞
则	可是;成为;而;却;然而;不过
摘	接;捡
展览	摆;发挥;显示
涨	升
招待	受到;收;接待
真实	真正
针对	目的
争论	辩论
征求	请求;问
挣	制定;使;交;奋斗;制作;组成;赚;搞;弄
直	正
执照	允许
指挥	命令;行为;举办;进行
制度	系统
制作	制定;交;使;造成;制造;生产;挣;组成;创造;搞;弄
中心	核心
种类	班;类型
重大	伟大;棒
逐渐	逐步
主动	积极;活跃
主人	掌握;主持
主张	提倡;意见
注册	登记;挂号;报到
抓紧	把握
转变	零钱;换;变化;改变
状态	状况;条件
追求	追
资金	首都
自从	以来;既然;由于
自豪	骄傲
总裁	主任;导演
组	团;群
组合	结合
阻止	拦;挡;预防
最初	第一;先
尊敬	尊重
作品	劳动;干;工作;打工
挨	推迟;熬;拖延;忍受;受罪;延期;耽误;接着;其次
暧昧	含糊;模糊;隐约
安宁	安详;沉着;平静;镇定;镇静
安详	沉着;安宁;平静
安置	摆;包装;布置;筹备;搭;安排
暗示	建议;含义;倡议;提议;提示;示意
案件	事故
案例	盒子
按摩	揉
昂贵	贵
熬	遭受;挨;忍受;受到;受罪
奥秘	秘密;机密
扒	挖掘;条;拉;拨;攀登;牵;掏;撤退
巴不得	长;渴望;盼望;久;思念;期待;展望;悠久;向往
巴结	讨好
把手	办理;处置;辫子;对付;处理
霸道	坚强;结实;强烈;坚固;健全;重;浓;扎实
罢工	打击;敲
摆脱	解除;排除;脱离;除;清除
拜访	访问;呼吁;看望
败坏	糟蹋;摧残;毁灭;腐败
颁布	发布;发表;课题;散发;发行;宣扬;颁发
颁发	发布;颁布;发表;课题;散发;发行;授予
版本	发布;释放;发行
伴侣	伙伴;搭档;对象;配偶
伴随	跟随;陪;盘旋;触犯;去;盯;遵循
扮演	举动;演习;充当;玩意儿
榜样	模型;模特;典型;模范;塑造;比方
包庇	港口;扣;覆盖;掩护;掩盖;盖;被
包袱	分量;锤;重量
包围	围绕
包装	制定;交;使;制作;安置;捏;包裹;挣;组成;化妆;补偿;搭;包;打包;搞;弄
保管	保障;确保;自然;担保;留神;维护;肯定;处置;关照;保卫;保证;当心;捍卫
保姆	护士;哺乳
保守	维持;遮挡;防止;守护;保持;捍卫
保卫	辩护;保障;维护;辩解;防守;保管;捍卫
保养	认定;维修;维护;维持;保持
保障	确保;担保;维护;保卫;保管;保证;捍卫
抱负	野心;志气
报仇	报复
报酬	奖励;奖赏
报答	偿还;回报
报复	回报;报仇
报销	擦;除
爆发	违反;粉碎;分裂;磨合;折;破;迸发;断;断绝;爆炸;中断
爆炸	爆发;打击;吹
曝光	暴露;揭露
暴力	逼迫;动力;剧烈;猛烈;强迫
暴露	曝光;流露;揭露;展示
卑鄙	意味着;基地;残忍;吝啬;底;小气;基础
背叛	辜负
本钱	资产;首都;资本;资金
本人	私自;个人;人家;我;私人
本事	本领;手法;技术;才干;能力;技巧
笨拙	尴尬;别扭;愚蠢;拘束;笨
崩溃	倒闭;解体;塌;瓦解
蹦	跳跃;踊跃;飞跃
迸发	爆发
逼迫	强迫;动力;暴力
比方	榜样
比重	比例
鄙视	蔑视;看不起;藐视;轻视;唾弃
臂	胳膊;武装
弊病	贼;弊端
弊端	糟蹋;弊病;虐待
闭塞	将近;濒临;关闭;跟前;截止;拦;阻拦;近;堵塞;终止;亲密;刹车;停;偏僻;精密;制止
编织	创作;制作;造成;辫子;创造
边界	境界;界限;边境
边境	边界
边缘	周边;界限
扁	平坦;平
贬低	蔑视
遍布	浑身
便利	方便;轻;便于
便于	方便;轻;便利
变故	事故;意外
变质	腐朽;恶化
辩护	维护;辩解;防守;保卫;捍卫
辩解	辩护;解释;维护;说明;交代;防守;保卫;捍卫
辩证	探讨;审查;考察;追究
辨认	认定;分辨;鉴别;区分;鉴定;识别
辫子	编织;办理;把手;处置;排队;对付;处理
标本	品尝;样品
标记	符号;标志;签;手势;登录;痕迹;迹象;签署;象征
标题	题目;称号;科目
表彰	名誉;尊严;引用;表扬;面子
憋	算数;抱;克制;把;压制;举行;容纳;占领;遏制;拘束;约束;举办;占据;盛;扶
别墅	帐篷
别致	空前绝后;唯独;特殊;反常
别扭	笨拙;难;尴尬;艰苦;难受;艰难;拘束
濒临	将近;跟前;关闭;截止;近;亲密;闭塞;精密
冰雹	种子
并列	平行
拨	支配;扒;批;配备
波浪	挥;飘扬
剥削	开拓;开采
搏斗	打架;战斗;斗争;拼搏;挣扎;争取;奋斗;挣;掐;争夺
伯母	阿姨
薄弱	脆弱;弱
不顾	计较;无论
不料	恰巧;竟然;愣;居然
不像话	岂有此理;震撼
补偿	赔偿;制定;交;使;包装;制作;捏;挣;组成;化妆;搞;弄
补救	弥补;挽救
补贴	资助
哺乳	保姆;护士
捕捉	染;抓;攻克
不得已	无奈;不得不;拥有;有;只好;得（助动词）;具备;必须;务必
不禁	不由得
不堪	十分;贼;极其;要命;极;彻底;无比;万分
不免	未免;难免
不时	时常;经常;往往;频繁
不由得	不禁
布告	宣布;发布;通知;须知;公告;启事;公布
布局	批发;整理;格局;分布;孔;布置;分配;作文;安排;条理
布置	布局;摆;整理;安置;筹备;清理;装饰;修理;奠定;点缀;部署;安排;条理
步伐	台阶;步骤
部署	布置;处置
部位	窝;姿势;立场;所;局部;位置;场所;节;方位;寄托;搁;位;职位;职务;阵地;部分;零件;片断
才干	本领;天才;天赋;本事;能力
财政	金融
裁判	华侨;领袖;判断;判决
采集	集合;收;收藏;收获;拾
采纳	将就;接受;服气;采取
参照	指
残酷	残忍
残留	剩;遗留;仍旧;多余
残忍	意味着;残酷;吝啬;卑鄙;小气
灿烂	辉煌;英明;高明;光辉;卓越;美妙
仓促	匆忙;连忙;赶紧
操劳	模样;神态;气色;照顾;力争;样子;东张西望;看;寻觅;瞧;寻找;关照;目光;当心
操练	演习;实践;练习
操纵	治理;克制;控制;节制;支配;牵制;经营;操作;监督
操作	运算;操纵;干;打工;作品;劳动;经营;手术;致力;工作;事务
嘈杂	吵
草案	制定;拟定;起草
草率	马虎;粗心;胡乱;大意
策划	计划;打算;工程师;情节;规划;阴谋
策略	政策;方针;战术
测量	认定;调查;断定;确定;分量
侧面	局面;方面
层次	阶段;淘汰;局面;步骤
差别	误差;信誉;差距;区别;分歧;卓越
查获	揭露
岔	枝;拐弯;转;折;分歧;支;中断
诧异	惊讶
搀	赞助;混合;遭受;夹杂;混淆;支撑;串;拥护;搅拌;支援;携带;做主;支持
馋	贪婪
缠绕	绕;打扰
产业	工业;行业;资产;财产
阐述	敷衍;对待;精心;处置
颤抖	摇;晃;震撼;哆嗦;颠簸;发抖
昌盛	兴旺;隆重;兴隆;繁荣
尝试	试;企图;尝;审理;试图
偿还	报答
场合	局势;格局;形势;状况;情况;事态;时机;地步;局面;情形;场面;情景
场面	场合;现场;镜头;风光;时机;情景
场所	窝;所;位置;寄托;搁;部位;地点
敞开	开放;睁;公开;瞪;开辟;开阔;开展;开;展开
倡导	提倡;倡议;传授;提议;主张;启蒙;创业
倡议	暗示;建议;传授;提议;倡导;启蒙;创业
超越	超过
潮流	当前;趋势;倾向;动态
嘲笑	讥笑;开玩笑
巢穴	窝
撤退	退;扒;拉;牵;拽
撤销	废除
沉淀	和解;奠定
沉闷	压抑;沮丧;沉重;重;忧郁
沉思	琢磨;思索;思考
沉重	严重;大不了;正经;坚固;严肃;沉闷;艰苦;郑重;艰难;重;硬;不得了;坚硬;严峻
沉着	稳定;安详;安宁;坚定
陈列	摆;展示;显示;发挥;展览;施展
陈述	宣布;境界;状态;局势;状况;提;州;提示;呈现;当前;申报;送;地步
衬托	着手;镶嵌;成立;树立;设置;出发;设立;开辟
称心如意	随意
称号	标题;名字
盛	算数;抱;蕴藏;把;举行;容纳;占领;遏制;憋;举办;勺子;占据;扶;包含
乘	趁;乘坐;骑;使用
承办	承包
承包	合同;承办;收缩
承诺	答应;出息
成效	效果;结晶;成果;功效;作用;致使
成心	故意;斟酌
惩罚	制裁;处分;处置
诚挚	认真;诚恳;恳切;衷心;踏实;真挚
澄清	清楚;清晰;清理;明白;清澈;显然
呈现	展现;显得;出现;示范;提示;示威;陈述;送;当前
吃苦	承受;苦;忍受;生育;受罪;承担
迟钝	迟缓
迟缓	迟钝;慢
迟疑	犹豫;徘徊
持久	执着;固执;为期;一贯
赤字	亏损
冲动	声势
冲击	震撼;袭击;震惊;进攻;攻击;打击
冲突	摩擦;争端
充当	担任;扮演;作为
充沛	丰富;丰满;神气;朝气蓬勃;雄厚;富裕;充足
充实	富;丰富;丰满;油腻;雄厚;实惠;丰盛
充足	丰富;雄厚;富裕;充沛
崇高	壮观;壮丽;雄伟;耸;高尚
崇敬	尊重;瞻仰;尊敬
重叠	复制
筹备	摆;准备;布置;安置;安排
稠密	浓厚;浓;厚
丑恶	可恶;丑;庸俗
出身	出生
出息	良好;精通;前景;好;乖;前途;未来;拿手;答应;承诺
初步	最初
除	解除;拆;消灭;报销;消除;分裂;淘汰;排除;摆脱;除了;划分;排斥;间隔;清除;擦
储备	商店;储存
储存	商店;储备
储蓄	救;保存;银行;岸;节省;存;挽救;畔;挽回;节约;攒
处分	制裁;惩罚;处置
处境	地步
处置	惩罚;阐述;制裁;对待;留神;办理;处理;把手;处分;关照;辫子;部署;保管;对付;当心
触犯	伴随;违反;盘旋;去;冒犯;侵犯;得罪;违背
穿越	克服;交叉;及格;过（动词）
传达	转达;遗传;传授;转告
传授	倡议;转达;教;传达;倡导;启蒙;创业
串	漂浮;混合;混淆;夹杂;搀;流浪;搅拌
创立	确立;起源;成立;树立;奠定;设立;建立
创业	雕塑;雕刻;倡议;传授;倡导;启蒙
创作	编织;制作;造成;生产;抹杀;产生;著作;写;创造
吹牛	夸;聊天
吹捧	过奖;捧
锤	分量;包袱;重量
纯粹	清真;单纯;纯洁
纯洁	清真;提炼;单纯;纯粹
慈祥	和蔼;仁慈;慈善
慈善	仁慈;慈祥;宽容
刺	扎
次序	指令;顺序;条理
伺候	等候;等待;等;等 （动）
丛	束
粗鲁	粗糙
窜	逃
摧残	糟蹋;毁灭;败坏
脆弱	薄弱;弱
磋商	交涉;协商;谈判;咨询;授予;请教
挫折	麻痹;扭转;将军;颠倒;失望;周折;秃;征服;遏制;清理;刹车;支票;打击;制止;制服;报到;对照
搭	取;增添;悬挂;包装;安置;开辟;增加;补充;起飞;拿;修建;比赛;建设;火柴;攻克;吊;搭配;沟通;挂;采取;统计
搭档	对象;合伙;伙伴;伴侣;合作
搭配	比赛;搭;火柴
答辩	答案;答复;回答;响应
答复	答案;答辩;回答;响应
达成	抵达;达到
打包	包装
打官司	纠纷;争端;是非;争议;投诉
打击	冲击;周折;殴打;吹;砸;袭击;敲;进攻;罢工;攻击;爆炸;撞;挫折
打架	战斗;斗争;搏斗;殴打;争取;掐;争夺
打量	合算
大不了	严重;正经;严肃;沉重;郑重;不得了;严峻
大伙儿	大家;诸位
大肆	肆无忌惮
大体	差不多;大致
大意	马虎;粗心;草率;胡乱
大致	大概;大约;差不多;左右;大体
歹徒	流氓;无赖
带领	领先;引导;婴儿;向导;主导;引起;导向;导致;率领
代价	耗费;价格
逮捕	扣
怠慢	疏忽;忽视;忽略
担保	保障;确保;保管;保证
胆怯	恐惧;害怕;胆小鬼;畏惧
诞辰	生日
诞生	出生
当初	原先;本来;当时;起初;原来;原始
当前	现代;提示;呈现;送;陈述;潮流
当事人	聚会;党;客户
当选	展现;出;问世;来
党	当事人;俱乐部;协会;联想;棍棒;聚会;社会
档案	纪录;文件;记载;记录
档次	平坦;等级;品质;水平;班;级别;年级;种类;质量
倒闭	解体;封闭;瓦解;崩溃;破产;塌
导航	航行
导向	向导;带领;倾向;引导
捣乱	骚扰;打扰;扰乱;惊动
盗窃	偷
得力	能干;智能
得罪	触犯;冒犯
蹬	踩
登陆	土地;降落
登录	符号;登记;标志;挂号;签;手势;迹象;标记;签署;报到;注册
等候	伺候;等待;等;等 （动）
等级	速度;档次;程度;级别;年级
瞪	开放;睁;公开;敞开;开辟;开阔;盯;开展;凝视;开;展开
敌视	对抗;立足
抵达	达成;降临;达到;到;到达
抵抗	抵制;反抗;对抗
抵制	推辞;否决;反抗;排斥;对抗;抵抗;拒绝
地步	境界;场合;状态;处境;局势;格局;形势;状况;州;制约;情况;事态;局面;幅度;情形;陈述;情景;条件
地势	形势
颠簸	摇;碰;晃;震撼;颤抖
颠倒	扭转;疯狂;糊涂;慌张;挫折
点缀	装饰;布置
典礼	仪式
典型	模型;榜样;模特;代表;模范;塑造
奠定	确立;成立;和解;创立;树立;布置;修理;设立;建立;沉淀
惦记	想念;思念;怀念;小姐
雕刻	雕塑;创业
雕塑	雕刻;创业
吊	挂;搭;悬挂
调动	转移;装卸;转让;机动
跌	坠;滴;掉;衰退
丁	男人
盯	注视;伴随;跟随;瞪;目光;凝视;遵循
叮嘱	劝;催;促使;激励
东张西望	模样;神态;操劳;气色;照顾;样子;看;寻觅;瞧;寻找;关照;目光;当心
栋	幢;建筑
冻结	冻;凝固
动机	意图;动力;激励;心眼儿;机动;内涵;意向
动静	举动;动作;行动;动态
动力	逼迫;激励;权力;动机;暴力;强迫;力量;势力
动身	离开;留
动手	摸;碰
动态	举动;发育;开发;趋势;行动;潮流;倾向;动作;发展;动静
动员	激发;鼓动;发动
陡峭	浸泡
斗争	打架;战斗;战役;拼搏;搏斗;挣扎;争取;奋斗;挣;掐;争夺
堵塞	拦;截止;阻拦;终止;挡;阻碍;刹车;闭塞;阻止;停;制止
杜绝	消灭
端	实施;端正;正规;事项;携带;开展;实行;扛;戴;贯彻;梢;终点;提;结束;执行;港口;完毕;挎;落实
端正	妥当;正;妥善;正经;更正;正当;端;正确;纠正;正规;改正
断定	身材;测量;认定;肯定;确定;断绝
断绝	身材;爆发;违反;粉碎;分裂;磨合;肯定;破;折;断;断定;中断
堆积	堆;积累
对付	办理;把手;处置;应付;辫子;处理
对抗	立足;抵制;敌视;反抗;抵抗
对立	反对
对应	相应
对照	将军;比较;对比;遏制;清理;刹车;支票;制止;制服;报到;挫折
