"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"便⠀";"biàn||pián";"/used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]//plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就[jiù]: then; in that case; even if; soon afterwards||used in 便宜|便宜[pián yi]; used in 便便[pián pián]; used in 便嬛[pián xuān]";"便 (convenient)";"Other words using this character: 便宜 (cheap); 方便 (convenient); 顺便 (conveniently); 随便 (as one wishes)";"❈ 她的笑容很便嬛。";"<i>tā de xiàoróng hěn biàn hái.</i><br></br>Her smile is very charming.";"❈ 宝宝拉了一泡便便。";"<i>bǎobǎo lā le yīpào biàn biàn.</i><br></br>The baby pooped.";"❈ 这件衣服很便宜。";"<i>zhèjiàn yīfú hěn piányi.</i><br></br>This piece of clothing is very cheap.";"🐇 江澄一便看出了魏无羡的意图。";"<i>jiāngchéng yībiàn kànchū le wèiwúxiàn de yìtú.</i><br></br>Jiang Cheng immediately saw through Wei Wuxian's intentions.";"♻❈ 这个地带的交通很便利。";"<i>zhège dìdài de jiāotōng hěn biànlì.</i><br></br>The transportation in this zone is very convenient."
"标点⠀";"biāodiǎn";"/punctuation/a punctuation mark/to punctuate/CL:個|个[ge4]//punctuation/a punctuation mark/to punctuate/CL:个[gè]";"标 (mark)";"Other words using this character: 标准 (standard); 标志 (sign); 目标 (target); 鼠标 (mouse)";"点 (point)";"Other words using this character: 一点儿 (a little); 点 (point); 地点 (place); 缺点 (shortcoming); 特点 (characteristic); 优点 (merit); 重点 (focus); 点心 (pastry); 观点 (viewpoint)";"❈ 这篇文章需要加上标点符号。";"<i>zhè piānwénzhāng xūyào jiāshàng biāodiǎnfúhào.</i><br></br>This article needs punctuation marks.";"❈ 老师要求我们标点要准确。";"<i>lǎoshī yāoqiú wǒmen biāodiǎn yào zhǔnquè.</i><br></br>The teacher requires us to punctuate accurately.";"❈ 标点符号在中文写作中非常重要。";"<i>biāodiǎnfúhào zài zhōngwén xiězuò zhōng fēicháng zhòngyào.</i><br></br>Punctuation marks are very important in Chinese writing.";"🐇 温宁的书信标点整齐，字迹工整。";"<i>wēnníng de shūxìn biāodiǎn zhěngqí, zìjì gōngzhěng.</i><br></br>Wen Ning's letters have neat punctuation and tidy handwriting.";"♻❈ 这篇文章的标点符号用得很准确。";"<i>zhè piānwénzhāng de biāodiǎnfúhào yòng dé hěn zhǔnquè.</i><br></br>The punctuation marks in this article are used very accurately."
"表明⠀";"biǎomíng";"/to make clear/to make known/to state clearly/to indicate/known//to make clear/to make known/to state clearly/to indicate/known";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance); 表扬 (praise); 表达 (express); 表面 (surface); 表情 (expression); 表现 (to show); 代表 (representative)";"明 (bright)";"Other words using this character: 明天 (tomorrow); 聪明 (intelligent); 明白 (clear); 说明 (explain); 证明 (proof); 光明 (light); 明确 (clear-cut); 明显 (clear); 发明 (invent); 明星 (celebrity)";"❈ 这封信表明了她的立场。";"<i>zhè fēngxìn biǎomíng le tā de lìchǎng.</i><br></br>This letter makes her position clear.";"❈ 这个数据表明了市场的变化。";"<i>zhège shùjù biǎomíng le shìchǎng de biànhuà.</i><br></br>This data indicates the changes in the market.";"❈ 他的行动表明了他的决心。";"<i>tā de xíngdòng biǎomíng le tā de juéxīn.</i><br></br>His actions indicate his determination.";"🐇 魏无羡的话表明他对蓝忘机的了解。";"<i>wèiwúxiàn dehuà biǎomíng tā duì lánwàngjī de liǎojiě.</i><br></br>Wei Wuxian's words indicate his understanding of Lan Wangji.";"♻❈ 证据表明这是一个事实。";"<i>zhèngjù biǎomíng zhèshì yīgè shìshí.</i><br></br>Evidence shows that this is a fact."
"病毒⠀";"bìngdú";"/virus//virus";"病 (illness)";"Other words using this character: 生病 (fall ill); 毛病 (fault)";"毒 (poison)";"There are no other HSK words in this level (or before) using this character.";"❈ 病毒的传播速度很快。";"<i>bìngdú de chuánbōsùdù hěnkuài.</i><br></br>Viruses spread very quickly.";"❈ 这个病毒对人体有很大危害。";"<i>zhège bìngdú duì réntǐ yǒu hěndà wēihài.</i><br></br>This virus poses a great threat to the human body.";"❈ 电脑中了病毒，需要及时清除。";"<i>diànnǎo zhōng le bìngdú, xūyào jíshí qīngchú.</i><br></br>The computer has a virus and needs to be removed in time.";"🐇 蓝忘机用灵蛇解决了病毒的传播。";"<i>lánwàng jīyòng língshé jiějué le bìngdú de chuánbō.</i><br></br>Lan Wangji used the spirit snake to stop the spread of the virus.";"♻❈ 她的病毒传染给了其他人。";"<i>tā de bìngdú chuánrǎngěi le qítārén.</i><br></br>Her virus infected others."
"播放⠀";"bōfàng";"/to broadcast; to transmit (by radio or TV)//to broadcast; to transmit (by radio or TV)";"播 (sow)";"Other words using this character: 广播 (broadcast); 传播 (disseminate)";"放 (release)";"Other words using this character: 放 (release); 放心 (reassured); 放弃 (abandon); 放暑假 (summer vacation); 放松 (relax); 开放 (open-minded)";"❈ 他们将会播放我们的音乐。";"<i>tāmen jiānghuì bōfàng wǒmen de yīnyuè.</i><br></br>They will broadcast our music.";"❈ 电视台每天都会播放新闻。";"<i>diànshìtái měitiān dōu huì bōfàng xīnwén.</i><br></br>The TV station broadcasts news every day.";"❈ 这个电台播放的音乐很受欢迎。";"<i>zhège diàntái bōfàng de yīnyuè hěn shòuhuānyíng.</i><br></br>The music broadcasted by this radio station is very popular.";"🐇 温宁的忠诚被播放在整个修真界。";"<i>wēnníng de zhōngchéng bèi bōfàng zài zhěnggè xiūzhēnjiè.</i><br></br>Wen Ning's loyalty was broadcasted throughout the entire cultivation world.";"♻❈ 他们在电视上播放了一档買家秀。";"<i>tāmen zài diànshì shàng bōfàng le yīdàng mǎijiāxiù.</i><br></br>They aired a customer's demo on TV."
"脖子⠀";"bózi";"/neck/CL:個|个[ge4]//neck/CL:个[gè]";"脖 (neck)";"There are no other HSK words in this level (or before) using this character.";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 她的脖子很长。";"<i>tā de bózi hěncháng.</i><br></br>Her neck is very long.";"❈ 他戴着一条项链挂在脖子上。";"<i>tā dài zhe yītiáo xiàngliàn guà zài bózi shàng.</i><br></br>He wore a necklace around his neck.";"❈ 他摔倒了，摔伤了脖子。";"<i>tā shuāidǎo le, shuāishāng le bózi.</i><br></br>He fell and hurt his neck.";"❈ 她戴着一条项链，露出了白皙的脖子。";"<i>tā dài zhe yītiáo xiàngliàn, lùchū le báixī de bózi.</i><br></br>She wore a necklace, revealing her fair neck."
"不要紧⠀";"bùyàojǐn";"/unimportant/not serious/it doesn't matter/never mind/it looks all right, but//unimportant/not serious/it doesn't matter/never mind/it looks all right, but";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"要 (demand)";"Other words using this character: 要 (demand); 需要 (need); 要求 (requirement); 重要 (important); 主要 (main); 要是 (if); 只要 (if only); 必要 (essential); 次要 (secondary); 要不 (otherwise)";"紧 (tight)";"Other words using this character: 紧张 (tense); 紧急 (urgent); 赶紧 (hurriedly); 抓紧 (pay close attention)";"❈ 他的表演虽然不够完美，但不要紧。";"<i>tā de biǎoyǎn suīrán bùgòu wánměi, dàn bùyàojǐn.</i><br></br>Although his performance is not perfect, it's okay.";"❈ 你迟到了，没关系，不要紧。";"<i>nǐ chídào le, méiguānxi, bùyàojǐn.</i><br></br>You're late, it's okay, it doesn't matter.";"❈ 这件事情不要紧。";"<i>zhèjiàn shìqing bùyàojǐn.</i><br></br>This matter is not serious.";"🐇 温情的安危对蓝曦臣来说并不是不要紧的事。";"<i>wēnqíng de ānwēi duì lánxīchén láishuō bìng bùshì bùyàojǐn de shì.</i><br></br>Wen Qing's safety is not unimportant to Lan Xichen."
"布⠀";"bù";"/cloth/to declare/to announce/to spread/to make known//cloth; to declare; to announce; to spread; to make known";"布 (cloth)";"Other words using this character: 分布 (distribute); 宣布 (announce); 公布 (announce)";"❈ 这块布的颜色很漂亮。";"<i>zhèkuài bù de yánsè hěnpiāoliàng.</i><br></br>The color of this cloth is very beautiful.";"❈ 他们布了一则公告。";"<i>tāmen bù le yīzé gōnggào.</i><br></br>They announced a notice.";"❈ 他们布散了一些传单。";"<i>tāmen bùsàn le yīxiē chuándān.</i><br></br>They spread some flyers.";"🐇 魏无羡用布包裹着一本古籍。";"<i>wèiwúxiàn yòngbù bāoguǒ zhe yìběn gǔjí.</i><br></br>Wei Wuxian wrapped an ancient book in cloth.";"♻❈ 乌云密布，暗示着暴风雨即将来临。";"<i>wūyúnmìbù, ànshìzhe bàofēngyǔ jíjiāngláilín.</i><br></br>The dark clouds indicate that a storm is coming."
"不安⠀";"bùān";"/unpeaceful/unstable/uneasy/disturbed/restless/worried//unpeaceful/unstable/uneasy/disturbed/restless/worried";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"安 (calm)";"Other words using this character: 安静 (quiet); 安排 (arrange); 安全 (safety); 安慰 (comfort); 安装 (install); 平安 (safe)";"❈ 这个地区一直都很不安。";"<i>zhège dìqū yīzhí dōu hěn bùān.</i><br></br>This area has always been very unstable.";"❈ 她的表情显得有些不安。";"<i>tā de biǎoqíng xiǎnde yǒuxiē bùān.</i><br></br>Her expression seemed a bit uneasy.";"❈ 他的话让我感到不安。";"<i>tā dehuà ràng wǒ gǎndào bùān.</i><br></br>His words made me feel worried.";"♻🐇 魏无羡坐立不安，看起来很烦躁。";"<i>wèiwúxiàn zuòlìbùān, kànqǐlai hěn fánzào.</i><br></br>Wei Wuxian is restless and looks very jittery.";"♻❈ 他的态度含糊，让人感到不安。";"<i>tā de tàidu hánhu, ràng rén gǎndào bùān.</i><br></br>His attitude is ambiguous, which makes people feel uneasy."
"不得了⠀";"bùdéliǎo";"/desperately serious/disastrous/extremely/exceedingly//desperately serious/disastrous/extremely/exceedingly";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"得 (obtain)";"Other words using this character: 得 (obtain); 觉得 (feel); 记得 (remember); 不得不 (have to); 得意 (proud); 获得 (obtain); 来得及 (in time); 值得 (worth); 不见得 (not necessarily); 怪不得 (no wonder)";"了 (finish)";"Other words using this character: 了 (finish); 除了 (besides); 了解 (understand); 为了 (for); 受不了 (unbearable); 了不起 (amazing)";"❈ 他的脾气真是不得了。";"<i>tā de píqi zhēnshi bùdéliǎo.</i><br></br>His temper is really out of control.";"❈ 这个消息不得了！";"<i>zhège xiāoxi bùdéliǎo!</i><br></br>This news is extremely serious!";"❈ 这场风暴造成了不得了的破坏。";"<i>zhèchǎng fēngbào zàochéng le bùdéliǎo de pòhuài.</i><br></br>This storm caused disastrous damage.";"🐇 魏无羡的聪明才智不得了，总是能够化解危机。";"<i>wèiwúxiàn de cōngmingcáizhì bùdéliǎo, zǒngshì nénggòu huàjiě wēijī.</i><br></br>Wei Wuxian's intelligence and wit are extremely remarkable, always able to resolve crises.";"♻🐇 金凌被草丛里的虫子咬了一口，痒得不得了。";"<i>jīnlíng bèi cǎocónglǐ de chóngzi yǎoleyīkǒu, yǎng dé bùdéliǎo.</i><br></br>Jin Ling was bitten by a bug in the grass, and it itched terribly."
"不如⠀";"bùrú";"/not equal to; not as good as; inferior to/it would be better to//not equal to; not as good as; inferior to/it would be better to";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"如 (as)";"Other words using this character: 如果 (if); 比如 (for example); 例如 (for example); 假如 (if); 如何 (how); 如今 (nowadays)";"❈ 他的成绩不如我。";"<i>tā de chéngjì bùrú wǒ.</i><br></br>His grades are not as good as mine.";"❈ 这个方案不如那个方案好。";"<i>zhège fāngàn bùrú nàgè fāngàn hǎo.</i><br></br>This plan is not as good as that one.";"❈ 不如我们改天再去吧。";"<i>bùrú wǒmen gǎitiān zài qù bā.</i><br></br>It would be better for us to go another day.";"🐇 温情的医术不如她师父那样高明。";"<i>wēnqíng de yīshù bùrú tā shīfu nàyàng gāomíng.</i><br></br>Wen Qing's medical skills are not as brilliant as her master's.";"♻❈ 这个问题解决起来并不如此简单。";"<i>zhège wèntí jiějué qǐlai bìng bù rúcǐ jiǎndān.</i><br></br>The solution to this problem is not so simple."
"步骤⠀";"bùzhòu";"/procedure/step//procedure/step";"步 (step)";"Other words using this character: 跑步 (run); 散步 (walk); 进步 (progress); 逐步 (progressively); 退步 (setback)";"骤 (sudden)";"There are no other HSK words in this level (or before) using this character.";"❈ 学习一门新技能需要一步步的步骤。";"<i>xuéxí yīmén xīnjìnéng xūyào yībùbù de bùzhòu.</i><br></br>Learning a new skill requires step-by-step procedures.";"❈ 请按照步骤来操作。";"<i>qǐng ànzhào bùzhòu lái cāozuò.</i><br></br>Please operate according to the procedure.";"❈ 这个工作需要按照步骤来进行。";"<i>zhège gōngzuò xūyào ànzhào bùzhòu lái jìnxíng.</i><br></br>This work needs to be carried out step by step.";"🐇 温情教授学生按照步骤进行实验。";"<i>wēnqíng jiàoshòu xuésheng ànzhào bùzhòu jìnxíng shíyàn.</i><br></br>Wen Qing teaches students to conduct experiments step by step.";"♻❈ 为了简化流程，我们省略了一些步骤。";"<i>wèile jiǎnhuà liúchéng, wǒmen shěnglüè le yīxiē bùzhòu.</i><br></br>To simplify the process, we omitted some steps."
