"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"背景⠀";"bèijǐng";"/background; backdrop; context/(fig.) powerful backer/CL:種|种[zhong3]//background; backdrop; context/(fig.) powerful backer/CL:种[zhǒng]";"背 (back)";"Other words using this character: 后背 (the back); 背 (back)";"景 (scenery)";"Other words using this character: 景色 (scenery); 风景 (scenery); 情景 (scene)";"❈ 了解历史背景对于理解这个问题很重要。";"<i>liǎojiě lìshǐbèijǐng duìyú lǐjiě zhège wèntí hěn zhòngyào.</i><br></br>Understanding the historical background is important for understanding this issue.";"❈ 他在政界有很强的背景支持。";"<i>tā zài zhèngjiè yǒu hěn qiáng de bèijǐng zhīchí.</i><br></br>He has strong backing in the political arena.";"❈ 这幅画的背景很美。";"<i>zhèfú huà de bèijǐng hěn měi.</i><br></br>The background of this painting is very beautiful.";"🐇 魏无羡的成长背景让他对正义有着深刻的理解。";"<i>wèiwúxiàn de chéngzhǎng bèijǐng ràng tā duì zhèngyì yǒuzhe shēnkè de lǐjiě.</i><br></br>Wei Wuxian's background of growth gives him a profound understanding of justice.";"♻❈ 首先，你要了解这个问题的背景。";"<i>shǒuxiān, nǐ yào liǎojiě zhège wèntí de bèijǐng.</i><br></br>First of all, you need to understand the background of this issue."
"被子⠀";"bèizi";"/quilt/CL:床[chuang2]//quilt/CL:床[chuáng]";"被 (cover)";"Other words using this character: 被 (cover)";"子 (son)";"Other words using this character: 儿子 (son); 杯子 (cup); 桌子 (table); 椅子 (chair); 妻子 (wife); 孩子 (child); 鼻子 (nose); 电子邮件 (email); 个子 (height); 句子 (sentence)";"❈ 这床被子很暖和。";"<i>zhèchuáng bèizi hěn nuǎnhuo.</i><br></br>This quilt is very warm.";"❈ 被子可以给人温暖和安全感。";"<i>bèizi kěyǐ gěi rén wēnnuǎn hé ānquángǎn.</i><br></br>A quilt can give people warmth and a sense of security.";"❈ 她在被子里睡得很香。";"<i>tā zài bèizi lǐ shuì dé hěn xiāng.</i><br></br>She sleeps soundly under the quilt.";"🐇 温情的被子上绣着精美的花鸟图案，温馨而典雅。";"<i>wēnqíng de bèizi shàng xiù zhe jīngměi de huāniǎo túàn, wēnxīn ér diǎnyǎ.</i><br></br>There are exquisite flower and bird patterns embroidered on Wen Ning's quilt, warm and elegant.";"♻🐇 温情为伤员添上了厚厚的被子，让他们感到温暖。";"<i>wēnqíng wéi shāngyuán tiānshàng le hòuhòude bèizi, ràng tāmen gǎndào wēnnuǎn.</i><br></br>Wen Qing added thick blankets for the wounded, making them feel warm."
"本科⠀";"běnkē";"/undergraduate course/undergraduate (attributive)//undergraduate course/undergraduate (attributive)";"本 (origin)";"Other words using this character: 本 (origin); 笔记本 (notebook); 本来 (original); 本领 (skill); 根本 (fundamental); 基本 (basic); 本质 (essence)";"科 (branch)";"Other words using this character: 科学 (science); 内科 (internal medicine)";"❈ 本科教育是非常重要的。";"<i>běnkē jiàoyù shì fēicháng zhòngyào de.</i><br></br>Undergraduate education is very important.";"❈ 他正在读本科。";"<i>tā zhèngzài dú běnkē.</i><br></br>He is studying for his undergraduate degree.";"❈ 我在本科时学习了很多知识。";"<i>wǒ zài běnkē shí xuéxí le hěnduō zhīshi.</i><br></br>I learned a lot during my undergraduate studies.";"🐇 蓝曦臣在云深不知处开设了一门本科课程。";"<i>lánxīchén zài yúnshēn bùzhī chù kāishè le yīmén běnkēkèchéng.</i><br></br>Lan Xichen established an undergraduate course in the Cloud Recesses.";"♻❈ 这本书是一本科普读物。";"<i>zhè běnshū shì yìběn kēpǔdúwù.</i><br></br>This book is a popular science reading material."
"本领⠀";"běnlǐng";"/skill/ability/capability/CL:項|项[xiang4],個|个[ge4]//skill/ability/capability/CL:项[xiàng],个[gè]";"本 (origin)";"Other words using this character: 本 (origin); 笔记本 (notebook); 本来 (original); 本科 (undergraduate); 根本 (fundamental); 基本 (basic); 本质 (essence)";"领 (lead)";"Other words using this character: 领域 (domain); 系领带 (wear a tie); 领导 (lead)";"❈ 他有很强的领导本领。";"<i>tā yǒu hěn qiáng de lǐngdǎo běnlǐng.</i><br></br>He has strong leadership skills.";"❈ 这需要一定的本领才能完成。";"<i>zhè xūyào yīdìng de běnlǐng cáinéng wánchéng.</i><br></br>This requires certain skills to accomplish.";"❈ 她在这方面有很高的本领。";"<i>tā zài zhèfāngmiàn yǒu hěn gāo de běnlǐng.</i><br></br>She has high ability in this area.";"🐇 蓝曦臣的治家本领备受尊敬。";"<i>lánxīchén de zhìjiā běnlǐng bèishòu zūnjìng.</i><br></br>Lan Xichen's household management skills are highly respected.";"♻🐇 温情的本领很高，她懂得很多医术上的知识。";"<i>wēnqíng de běnlǐng hěn gāo, tā dǒngde hěnduō yīshù shàng de zhīshi.</i><br></br>Wen Qing's skills are very high; she knows a lot of medical knowledge."
"比例⠀";"bǐlì";"/proportion/scale//proportion/scale";"比 (to compare)";"Other words using this character: 比 (to compare); 比较 (comparatively); 比赛 (competition); 比如 (for example); 对比 (contrast)";"例 (example)";"Other words using this character: 例如 (for example)";"❈ 我们需要控制好原料的比例。";"<i>wǒmen xūyào kòngzhì hǎo yuánliào de bǐlì.</i><br></br>We need to control the proportion of the raw materials.";"❈ 这个城市的建筑比例很和谐。";"<i>zhège chéngshì de jiànzhù bǐlì hěn héxié.</i><br></br>The scale of the buildings in this city is very harmonious.";"❈ 这个模型的比例很精确。";"<i>zhège móxíng de bǐlì hěn jīngquè.</i><br></br>The scale of this model is very accurate.";"🐇 金凌的身高和体重比例匀称，是个标准的少年。";"<i>jīnlíng de shēngāo hé tǐzhòng bǐlì yúnchèn, shì gè biāozhǔn de shàonián.</i><br></br>Jin Ling's height and weight are in proportion, making him a standard young man.";"♻❈ 他在设计中考虑了产品的尺寸和比例。";"<i>tā zài shèjì zhōng kǎolǜ le chǎnpǐn de chǐcùn hé bǐlì.</i><br></br>He considered the size and proportion of the product in the design."
"必然⠀";"bìrán";"/inevitable/certain/necessity//inevitable/certain/necessity";"必 (certainly)";"Other words using this character: 必须 (must); 必要 (essential); 何必 (there is no need); 未必 (not necessarily)";"然 (correct)";"Other words using this character: 当然 (certainly); 然后 (Then); 突然 (sudden); 既然 (since); 竟然 (unexpectedly); 然而 (however); 仍然 (still); 自然 (natural); 不然 (otherwise); 显然 (clearly)";"❈ 这是一个必然的结果。";"<i>zhèshì yīgè bìrán de jiéguǒ.</i><br></br>This is an inevitable result.";"❈ 这个结论是必然的。";"<i>zhège jiélùn shì bìrán de.</i><br></br>This conclusion is inevitable.";"❈ 成功是必然的。";"<i>chénggōng shì bìrán de.</i><br></br>Success is certain.";"🐇 蓝曦臣的领导地位是必然的选择。";"<i>lánxīchén de lǐngdǎo dìwèi shì bìrán de xuǎnzé.</i><br></br>Lan Xichen's leadership position is an inevitable choice.";"♻❈ 朝代的更替是历史的必然。";"<i>cháodài de gēngtì shì lìshǐ de bìrán.</i><br></br>The change of dynasties is inevitable in history."
"必要⠀";"bìyào";"/necessary/essential/indispensable/required//necessary/essential/indispensable/required";"必 (certainly)";"Other words using this character: 必须 (must); 必然 (inevitable); 何必 (there is no need); 未必 (not necessarily)";"要 (demand)";"Other words using this character: 要 (demand); 需要 (need); 要求 (requirement); 重要 (important); 主要 (main); 要是 (if); 只要 (if only); 次要 (secondary); 不要紧 (unimportant); 要不 (otherwise)";"❈ 这个训练对他的成长是必要的。";"<i>zhège xùnliàn duì tā de chéngzhǎng shì bìyào de.</i><br></br>This training is essential for his growth.";"❈ 这是必要的步骤。";"<i>zhèshì bìyào de bùzhòu.</i><br></br>This is a necessary step.";"❈ 这些文件对我们的工作是必要的。";"<i>zhèxiē wénjiàn duì wǒmen de gōngzuò shì bìyào de.</i><br></br>These documents are required for our work.";"🐇 魏无羡认为学习魔道对他来说是必要的。";"<i>wèiwúxiàn rènwéi xuéxí módào duì tā láishuō shì bìyào de.</i><br></br>Wei Wuxian thinks that studying demonic cultivation is essential for him.";"♻❈ 这是必要的。";"<i>zhèshì bìyào de.</i><br></br>This is necessary."
"鞭炮⠀";"biānpào";"/firecrackers/string of small firecrackers/CL:枚[mei2]//firecrackers/string of small firecrackers/CL:枚[méi]";"鞭 (whip)";"There are no other HSK words in this level (or before) using this character.";"炮 (cannon)";"There are no other HSK words in this level (or before) using this character.";"❈ 他买了一串鞭炮。";"<i>tā mǎi le yīchuàn biānpào.</i><br></br>He bought a string of firecrackers.";"❈ 孩子们喜欢放鞭炮。";"<i>háizi men xǐhuan fàngbiānpào.</i><br></br>The children like to set off firecrackers.";"❈ 春节的时候，我们会放鞭炮。";"<i>chūnjié de shíhou, wǒmen huì fàngbiānpào.</i><br></br>We will set off firecrackers during the Spring Festival.";"🐇 蓝忘机的音乐如同春节的鞭炮，让人心情愉悦。";"<i>lánwàngjī de yīnyuè rútóng chūnjié de biānpào, ràng rén xīnqíng yúyuè.</i><br></br>Lan Wangji's music is like the firecrackers of the Spring Festival, bringing joy to people's hearts.";"♻❈ 春节的传统包括吃饺子和放鞭炮。";"<i>chūnjié de chuántǒng bāokuò chījiǎozi hé fàngbiānpào.</i><br></br>Traditions of the Spring Festival include eating dumplings and setting off firecrackers."
"辩论⠀";"biànlùn";"/debate/argument/to argue over/CL:場|场[chang3],次[ci4]//debate/argument/to argue over/CL:场[chǎng],次[cì]";"辩 (dispute)";"There are no other HSK words in this level (or before) using this character.";"论 (opinion)";"Other words using this character: 讨论 (discuss); 无论 (regardless); 结论 (conclusion); 理论 (theory); 论文 (paper); 议论 (comment); 争论 (argue)";"❈ 这个问题引发了很多辩论。";"<i>zhège wèntí yǐnfā le hěnduō biànlùn.</i><br></br>This issue has sparked a lot of debate.";"❈ 他们正在进行一场激烈的辩论。";"<i>tāmen zhèngzài jìnxíng yīcháng jīliè de biànlùn.</i><br></br>They are having a heated debate.";"❈ 他们辩论了很久，最终还是没有达成一致。";"<i>tāmen biànlùn le hěn jiǔ, zuìzhōng háishi méiyǒu dáchéng yīzhì.</i><br></br>They debated for a long time, but still didn't reach an agreement.";"🐇 蓝忘机不喜欢辩论，总是默默守护着自己的信念。";"<i>lánwàngjī bù xǐhuan biànlùn, zǒngshì mòmò shǒuhù zhe zìjǐ de xìnniàn.</i><br></br>Lan Wangji doesn't like to debate, always silently guarding his beliefs.";"♻❈ 这个问题引发了激烈的辩论，燃起了大家的热情。";"<i>zhège wèntí yǐnfā le jīliè de biànlùn, ránqǐ le dàjiā de rèqíng.</i><br></br>This issue sparked a heated debate and raised everyone's enthusiasm."
"标志⠀";"biāozhì";"/sign; mark; symbol; logo/to symbolize; to indicate; to mark//sign; mark; symbol; logo/to symbolize; to indicate; to mark";"标 (mark)";"Other words using this character: 标准 (standard); 目标 (target); 鼠标 (mouse); 标点 (punctuation)";"志 (aspiration)";"Other words using this character: 杂志 (magazine); 志愿者 (volunteer)";"❈ 这个标志代表着和平。";"<i>zhège biāozhì dàibiǎo zhe hépíng.</i><br></br>This symbol represents peace.";"❈ 这个标志告诉我们要注意安全。";"<i>zhège biāozhì gàosu wǒmen yào zhùyìānquán.</i><br></br>This sign tells us to pay attention to safety.";"❈ 他们在地图上标志了重要的地点。";"<i>tāmen zài dìtú shàng biāozhì le zhòngyào de dìdiǎn.</i><br></br>They marked the important locations on the map.";"🐇 蓝忘机的手腕上戴着一只玉佩，是云梦江氏的家族标志。";"<i>lánwàngjī de shǒuwàn shàng dài zhe yīzhī yùpèi, shì yúnmèng jiāngshì de jiāzú biāozhì.</i><br></br>Lan Wangji wore a jade pendant on his wrist, the symbol of the Yunmeng Jiang Clan.";"♻❈ 金门大桥是旧金山的标志性建筑之一。";"<i>jīnméndàqiáo shì jiùjīnshān de biāozhìxìng jiànzhù zhīyī.</i><br></br>The Golden Gate Bridge is one of the iconic buildings in San Francisco."
