"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"出差⠀";"chūchāi";"/to go on an official or business trip//to go on an official or business trip";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出发 (set off); 出生 (born); 出现 (to appear); 演出 (perform)";"差 (difference)";"Other words using this character: 差 (difference); 差不多 (almost)";"❈ 公司要求经理经常出差。";"<i>gōngsī yāoqiú jīnglǐ jīngcháng chūchāi.</i><br></br>The company requires the manager to go on business trips frequently.";"❈ 他这个月要出差两次。";"<i>tā zhège yuè yào chūchāi liǎngcì.</i><br></br>He has to go on two business trips this month.";"❈ 出差期间，他会处理一些业务。";"<i>chūchāi qījiān, tāhuì chǔlǐ yīxiē yèwù.</i><br></br>During the business trip, he will handle some business.";"🐇 蓝曦臣出差时，总是会给家里带些礼物。";"<i>lánxīchén chūchāi shí, zǒngshì huì gěi jiālǐ dàixiē lǐwù.</i><br></br>Lan Xichen always brings back gifts for the family when he goes on business trips.";"🐇 金凌父亲经常出差，所以他很少能见到他。";"<i>jīnlíng fùqīn jīngcháng chūchāi, suǒyǐ tā hěnshǎo néng jiàndào tā.</i><br></br>Jin Ling's father often goes on business trips, so he rarely gets to see him.";"♻❈ 我将前往上海出差。";"<i>wǒ jiàng qiánwǎng shànghǎi chūchāi.</i><br></br>I will go to Shanghai for a business trip."
"出发⠀";"chūfā";"/to set off/to start (on a journey)//to set off/to start (on a journey)";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出生 (born); 出现 (to appear); 演出 (perform)";"发 (send)";"Other words using this character: 发 (send); 发烧 (have a fever); 发现 (discover); 头发 (hair); 发生 (occur); 发展 (development); 理发 (haircut); 沙发 (sofa)";"❈ 我们明天早上出发。";"<i>wǒmen míngtiān zǎoshang chūfā.</i><br></br>We will set off tomorrow morning.";"❈ 他们出发去旅行了。";"<i>tāmen chūfā qù lǚxíng le.</i><br></br>They started their journey.";"❈ 出发前要检查行李。";"<i>chūfā qiányào jiǎnchá xíngli.</i><br></br>Check the luggage before setting off.";"❈ 他们准备出发去旅行。";"<i>tāmen zhǔnbèi chūfā qù lǚxíng.</i><br></br>They are ready to set off on a trip.";"❈ 出发前，请检查一下行李。";"<i>chūfā qián, qǐng jiǎncháyīxià xíngli.</i><br></br>Before setting off, please check the luggage."
"出生⠀";"chūshēng";"/to be born//to be born";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出发 (set off); 出现 (to appear); 演出 (perform)";"生 (born)";"Other words using this character: 学生 (student); 医生 (doctor); 先生 (gentleman); 生日 (birthday); 生病 (fall ill); 生气 (angry); 发生 (occur); 生活 (life); 生命 (life); 生意 (business)";"🐇 魏无羡出生在忠烈堂，是蓝曦臣的师兄。";"<i>wèiwúxiàn chūshēng zài zhōngliè táng, shì lánxīchén de shīxiōng.</i><br></br>Wei Wuxian was born in the Zhongliang Temple and is Lan Xichen's senior.";"🐇 蓝忘机出生在云深不知处，是蓝家的二公子。";"<i>lánwàngjī chūshēng zài yúnshēn bùzhī chù, shì lánjiā de èr gōngzǐ.</i><br></br>Lan Wangji was born in the Cloud Recesses and is the second young master of the Lan family.";"♻❈ 他出生在一个大门世家。";"<i>tā chūshēng zài yīgè dàmén shìjiā.</i><br></br>He was born into a large and influential family.";"♻❈ 他在一个小镇出生。";"<i>tā zài yīgè xiǎozhèn chūshēng.</i><br></br>He was born in a small town.";"♻🐇 魏无羡和蓝忘机同期出生。";"<i>wèiwúxiàn hé lánwàngjī tóngqī chūshēng.</i><br></br>Wei Wuxian and Lan Wangji were born in the same period.";"♻🐇 蓝湛在石家庄出生。";"<i>lánzhàn zài shíjiāzhuāng chūshēng.</i><br></br>Lan Zhan was born in Shijiazhuang."
"出现⠀";"chūxiàn";"/to appear/to arise/to emerge/to show up//to appear/to arise/to emerge/to show up";"出 (go out)";"Other words using this character: 出租车 (taxi); 出 (go out); 出差 (business trip); 出发 (set off); 出生 (born); 演出 (perform)";"现 (present)";"Other words using this character: 现在 (now); 发现 (discover); 现金 (cash)";"❈ 他突然出现在门口。";"<i>tā tūrán chūxiàn zài ménkǒu.</i><br></br>He suddenly appeared at the door.";"❈ 这个问题出现了很多次。";"<i>zhège wèntí chūxiàn le hěn duōcì.</i><br></br>This problem has arisen many times.";"❈ 新的证据出现了。";"<i>xīn de zhèngjù chūxiàn le.</i><br></br>New evidence has emerged.";"🐇 温宁的身影出现在众人的视线中。";"<i>wēnníng de shēnyǐng chūxiàn zài zhòngrén de shìxiàn zhōng.</i><br></br>Wen Ning's figure appeared in everyone's sight.";"🐇 蓝忘机的身影出现在江澄的眼前。";"<i>lánwàngjī de shēnyǐng chūxiàn zài jiāngchéng de yǎnqián.</i><br></br>Lan Wangji's figure appeared before Jiang Cheng's eyes.";"♻❈ 这个问题频繁出现。";"<i>zhège wèntí pínfán chūxiàn.</i><br></br>This problem frequently occurs."
"厨房⠀";"chúfáng";"/kitchen/CL:間|间[jian1]//kitchen/CL:间[jiān]";"厨 (kitchen)";"There are no other HSK words in this level (or before) using this character.";"房 (house)";"Other words using this character: 房间 (room); 房东 (landlord)";"❈ 他在厨房里洗碗。";"<i>tā zài chúfáng lǐ xǐwǎn.</i><br></br>He is washing dishes in the kitchen.";"❈ 这个厨房很宽敞。";"<i>zhège chúfáng hěn kuānchang.</i><br></br>This kitchen is spacious.";"❈ 她在厨房里做饭。";"<i>tā zài chúfáng lǐ zuòfàn.</i><br></br>She is cooking in the kitchen.";"❈ 她在厨房做饭。";"<i>tā zài chúfáng zuòfàn.</i><br></br>She is cooking in the kitchen."
"传真⠀";"chuánzhēn";"/fax/facsimile//fax/facsimile";"传 (transmit)";"There are no other HSK words in this level (or before) using this character.";"真 (really)";"Other words using this character: 真 (really); 认真 (conscientious); 真正 (genuine)";"❈ 他用传真发送了重要的文件。";"<i>tā yòng chuánzhēn fāsòng le zhòngyào de wénjiàn.</i><br></br>He sent the important documents by fax.";"❈ 传真机坏了，我得去修一下。";"<i>chuánzhēnjī huài le, wǒ dé qù xiū yīxià.</i><br></br>The fax machine is broken, I need to get it fixed.";"❈ 我会把文件传真给你。";"<i>wǒhuì bǎ wénjiàn chuánzhēn gěi nǐ.</i><br></br>I will fax the documents to you.";"🐇 温情用传真给魏无羡发了一份地图，指引他前往目的地。";"<i>wēnqíng yòng chuánzhēn gěi wèiwúxiànfā le yífèn dìtú, zhǐyǐn tā qiánwǎng mùdìdì.</i><br></br>Wen Qing faxed a map to Wei Wuxian, guiding him to the destination.";"🐇 魏无羡收到了一份传真，上面是一封邀请函。";"<i>wèiwúxiàn shōudào le yífèn chuánzhēn, shàngmiàn shì yīfēng yāoqǐnghán.</i><br></br>Wei Wuxian received a fax, which was an invitation letter."
"窗户⠀";"chuānghu";"/window/CL:個|个[ge4],扇[shan4]//window/CL:个[gè],扇[shàn]";"窗 (window)";"There are no other HSK words in this level (or before) using this character.";"户 (household)";"There are no other HSK words in this level (or before) using this character.";"❈ 请把窗户打开。";"<i>qǐng bǎ chuānghù dǎkāi.</i><br></br>Please open the window.";"❈ 她坐在窗户旁边看书。";"<i>tā zuòzài chuānghù pángbiān kànshū.</i><br></br>She sits by the window and reads.";"❈ 这个房间有两个窗户。";"<i>zhège fángjiān yǒu liǎnggè chuānghù.</i><br></br>This room has two windows.";"🐇 金凌从窗户往外看，发现了一只可爱的小鸟。";"<i>jīnlíng cóng chuānghù wǎngwài kàn, fāxiàn le yīzhī kěài de xiǎoniǎo.</i><br></br>Jin Ling looked out of the window and spotted a lovely little bird.";"🐇 温情在窗户上贴了一些花朵的贴纸。";"<i>wēnqíng zài chuānghù shàng tiē le yīxiē huāduǒ de tiēzhǐ.</i><br></br>Wen Qing pasted some flower stickers on the window.";"♻❈ 太阳斜照在窗户上。";"<i>tàiyáng xiézhào zài chuānghù shàng.</i><br></br>The sun shines slantingly through the window."
"词语⠀";"cíyǔ";"/word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression//word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression";"词 (word)";"Other words using this character: 词典 (dictionary)";"语 (language)";"Other words using this character: 汉语 (Chinese language); 语法 (grammar); 语言 (language)";"❈ 这个词语的意思是什么？";"<i>zhège cíyǔ de yìsi shì shénme?</i><br></br>What is the meaning of this word?";"❈ 学习新的词语是学习语言的一部分。";"<i>xuéxí xīn de cíyǔ shì xuéxí yǔyán de yībùfen.</i><br></br>Learning new words is part of learning a language.";"❈ 在汉语中，有很多词语是由两个字组成的。";"<i>zài hànyǔ zhōng, yǒu hěnduō cíyǔ shì yóu liǎnggè zì zǔchéng de.</i><br></br>In Chinese, there are many words composed of two characters.";"🐇 温情善于运用词语，表达自己的观点。";"<i>wēnqíng shànyú yùnyòng cíyǔ, biǎodá zìjǐ de guāndiǎn.</i><br></br>Wen Qing is good at using words to express her opinions.";"🐇 蓝忘机对音乐领域的词语了如指掌。";"<i>lánwàngjī duì yīnyuè lǐngyù de cíyǔ liǎorúzhǐzhǎng.</i><br></br>Lan Wangji is familiar with the terms in the field of music.";"♻🐇 蓝曦臣形容着蓝忘机的美好，总是能用最动人的词语。";"<i>lánxīchén xíngróng zhe lánwàngjī de měihǎo, zǒngshì néngyòng zuì dòngrén de cíyǔ.</i><br></br>Lan Xichen describes Lan Wangji's beauty, always using the most touching words."
"从来⠀";"cónglái";"/always/at all times/never (if used in negative sentence)//always/at all times/never (if used in negative sentence)";"从 (from)";"Other words using this character: 从 (from)";"来 (come)";"Other words using this character: 来 (come); 后来 (afterwards); 起来 (beginning); 本来 (original); 将来 (future); 来自 (come from); 来不及 (there's not enough time); 来得及 (in time); 原来 (original)";"❈ 她从来都很守时。";"<i>tā cónglái dōu hěn shǒushí.</i><br></br>She is always very punctual.";"❈ 我从来没有见过如此美丽的风景。";"<i>wǒ cónglái méiyǒu jiànguò rúcǐ měilì de fēngjǐng.</i><br></br>I have never seen such a beautiful scenery.";"❈ 他从来不喜欢吃辣的食物。";"<i>tā cóngláibù xǐhuan chī là de shíwù.</i><br></br>He never likes to eat spicy food.";"🐇 江澄从来都是一个有责任心的人。";"<i>jiāngchéng cónglái dōu shì yīgè yǒu zérènxīn de rén.</i><br></br>Jiang Cheng has always been a responsible person.";"🐇 温宁从来都是忠心耿耿。";"<i>wēnníng cónglái dōu shì zhōngxīngěnggěng.</i><br></br>Wen Ning has always been loyal and devoted.";"♻❈ 我从来不后悔我的决定。";"<i>wǒ cóngláibù hòuhuǐ wǒ de juédìng.</i><br></br>I never regret my decisions."
"粗心⠀";"cūxīn";"/careless/thoughtless//careless/thoughtless";"粗 (coarse)";"There are no other HSK words in this level (or before) using this character.";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 粗心大意会导致很多问题。";"<i>cūxīndàyì huì dǎozhì hěnduō wèntí.</i><br></br>Carelessness can lead to many problems.";"❈ 她做事很粗心。";"<i>tā zuòshì hěn cūxīn.</i><br></br>She is very careless in doing things.";"❈ 他粗心地把钥匙忘在家里了。";"<i>tā cūxīndì bǎ yàoshi wàng zài jiālǐ le.</i><br></br>He carelessly forgot the keys at home.";"❈ 她是一个粗心大意的人。";"<i>tā shì yīgè cūxīndàyì de rén.</i><br></br>She is a careless person.";"❈ 他做事很粗心。";"<i>tā zuòshì hěn cūxīn.</i><br></br>He is very careless in doing things.";"❈ 粗心大意会导致错误。";"<i>cūxīndàyì huì dǎozhì cuòwù.</i><br></br>Carelessness can lead to mistakes."
"存⠀";"cún";"/to exist/to deposit/to store/to keep/to survive//to exist/to deposit/to store/to keep/to survive";"存 (exist)";"There are no other HSK words in this level (or before) using this character.";"❈ 这种植物可以在干燥的环境中存活。";"<i>zhèzhǒng zhíwù kěyǐ zài gānzào de huánjìng zhōng cúnhuó.</i><br></br>This plant can survive in a dry environment.";"❈ 这家银行可以存钱。";"<i>zhèjiā yínháng kěyǐ cúnqián.</i><br></br>You can deposit money in this bank.";"❈ 他存了很多食物以备不时之需。";"<i>tācún le hěnduō shíwù yǐbèi bùshízhīxū.</i><br></br>He stored a lot of food for emergencies.";"🐇 魏无羡的快乐存于心底。";"<i>wèiwúxiàn de kuàilè cúnyú xīndǐ.</i><br></br>Wei Wuxian's happiness exists deep in his heart.";"🐇 温情存下了一些药材，以备治疗伤员。";"<i>wēnqíng cúnxià le yīxiē yàocái, yǐbèi zhìliáo shāngyuán.</i><br></br>Wen Qing kept some medicinal herbs for treating the wounded.";"♻🐇 温情和温宁的关系紧密，相互依存。";"<i>wēnqíng hé wēnníng de guānxi jǐnmì, xiānghùyīcún.</i><br></br>Wen Qing and Wen Ning have a close relationship, relying on each other."
"错误⠀";"cuòwù";"/mistaken; false; wrong/error; mistake/CL:個|个[ge4]//mistaken; false; wrong/error; mistake/CL:个[gè]";"错 (mistake)";"Other words using this character: 错 (mistake)";"误 (mistake)";"Other words using this character: 误会 (misunderstand)";"❈ 他的答案是错误的。";"<i>tā de dáàn shì cuòwù de.</i><br></br>His answer is wrong.";"❈ 请纠正你的错误。";"<i>qǐng jiūzhèng nǐ de cuòwù.</i><br></br>Please correct your mistake.";"❈ 这是一个严重的错误。";"<i>zhèshì yīgè yánzhòng de cuòwù.</i><br></br>This is a serious mistake.";"🐇 金凌勇敢地承认了自己的错误，努力改正。";"<i>jīnlíng yǒnggǎn dì chéngrèn le zìjǐ de cuòwù, nǔlì gǎizhèng.</i><br></br>Jin Ling bravely admitted his mistake and worked hard to correct it.";"🐇 温情发现了实验中的错误，及时加以纠正。";"<i>wēnqíng fāxiàn le shíyàn zhōng de cuòwù, jíshí jiāyǐ jiūzhèng.</i><br></br>Wen Qing found the mistakes in the experiment and corrected them in time.";"♻🐇 温情在电视剧里看到的字幕出现了错误，她忍不住纠正了过来。";"<i>wēnqíng zài diànshìjù lǐ kàndào de zìmù chūxiàn le cuòwù, tā rěnbuzhù jiūzhèng le guòlái.</i><br></br>Wen Qing couldn't help but correct the subtitles that appeared wrong in the TV series."
"答案⠀";"dáàn";"/answer/solution/CL:個|个[ge4]//answer/solution/CL:个[gè]";"答 (answer)";"Other words using this character: 回答 (reply)";"案 (case)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个数学题的答案是多少？";"<i>zhège shùxuétí de dáàn shì duōshǎo?</i><br></br>What is the solution to this math problem?";"❈ 我找到了这个难题的答案。";"<i>wǒ zhǎodào le zhège nántí de dáàn.</i><br></br>I found the answer to this difficult problem.";"❈ 你知道这个问题的答案吗？";"<i>nǐ zhīdào zhège wèntí de dáàn ma?</i><br></br>Do you know the answer to this question?";"🐇 蓝忘机的眼神是所有问题的答案。";"<i>lánwàngjī de yǎnshén shì suǒyǒu wèntí de dáàn.</i><br></br>Lan Wangji's gaze is the answer to all problems.";"🐇 蓝曦臣的谈判技巧是所有纷争的答案。";"<i>lánxīchén de tánpàn jìqiǎo shì suǒyǒu fēnzhēng de dáàn.</i><br></br>Lan Xichen's negotiation skills are the answer to all disputes.";"🦝 石家庄的未来发展是什么？这个问题的答案是未知的。";"<i>shíjiāzhuāng de wèilái fāzhǎn shì shénme? zhège wèntí de dáàn shì wèizhī de.</i><br></br>What is the future development of Shijiazhuang? The answer to this question is unknown."
"打招呼⠀";"dǎzhāohu";"/to greet sb by word or action/to give prior notice//to greet sb by word or action/to give prior notice";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打扮 (decorate); 打扰 (disturb); 打印 (print); 打折 (discount); 打针 (injection)";"招 (to recruit)";"Other words using this character: 招聘 (recruit)";"呼 (to call)";"There are no other HSK words in this level (or before) using this character.";"❈ 在进入房间之前，你应该先打招呼。";"<i>zài jìnrù fángjiān zhīqián, nǐ yīnggāi xiān dǎzhāohu.</i><br></br>You should greet first before entering the room.";"❈ 他看到我时，向我打招呼。";"<i>tā kàndào wǒshí, xiàng wǒ dǎzhāohu.</i><br></br>He greeted me when he saw me.";"❈ 他经常忘记向邻居打招呼。";"<i>tā jīngcháng wàngjì xiàng línjū dǎzhāohu.</i><br></br>He often forgets to greet the neighbors.";"🐇 江澄走进教室，向同学们打招呼。";"<i>jiāngchéng zǒujìn jiàoshì, xiàng tóngxué men dǎzhāohu.</i><br></br>Jiang Cheng walked into the classroom and greeted his classmates.";"🐇 魏无羡看到蓝忘机，便向他打招呼。";"<i>wèiwúxiàn kàndào lánwàngjī, biàn xiàng tā dǎzhāohu.</i><br></br>Wei Wuxian greeted Lan Wangji when he saw him.";"♻🐇 蓝曦臣在校内图书馆看到了魏无羡，微笑着和他打招呼。";"<i>lánxīchén zài xiàonèi túshūguǎn kàndào le wèiwúxiàn, wēixiào zhe hé tā dǎzhāohu.</i><br></br>Lan Xichen saw Wei Wuxian in the on-campus library and greeted him with a smile."
"打扮⠀";"dǎban";"/to decorate/to dress/to make up/to adorn/manner of dressing/style of dress//to decorate/to dress/to make up/to adorn/manner of dressing/style of dress";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打招呼 (greet); 打扰 (disturb); 打印 (print); 打折 (discount); 打针 (injection)";"扮 (disguise)";"There are no other HSK words in this level (or before) using this character.";"❈ 今晚的晚会需要打扮得很正式。";"<i>jīnwǎn de wǎnhuì xūyào dǎbàn dé hěn zhèngshì.</i><br></br>Tonight's party requires dressing very formally.";"❈ 她喜欢打扮得很漂亮。";"<i>tā xǐhuan dǎbàn dé hěnpiāoliàng.</i><br></br>She likes to dress up beautifully.";"❈ 她的打扮引起了很多人的注意。";"<i>tā de dǎbàn yǐnqǐ le hěnduō rén de zhùyì.</i><br></br>Her style of dress attracted a lot of attention.";"❈ 她喜欢打扮得漂漂亮亮的。";"<i>tā xǐhuan dǎbàn dé piāopiāoliàngliàng de.</i><br></br>She likes to dress up beautifully.";"❈ 她打扮得很朴素。";"<i>tā dǎbàn dé hěn pǔsù.</i><br></br>She dresses very simply."
"打扰⠀";"dǎrǎo";"/to disturb/to bother/to trouble//to disturb/to bother/to trouble";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打招呼 (greet); 打扮 (decorate); 打印 (print); 打折 (discount); 打针 (injection)";"扰 (disturb)";"There are no other HSK words in this level (or before) using this character.";"❈ 打扰了，我想问一下这附近的超市在哪里？";"<i>dǎrǎo le, wǒ xiǎng wèn yīxià zhè fùjìn de chāoshì zài nǎlǐ?</i><br></br>Excuse me, I'd like to ask where the supermarket is around here.";"❈ 打扰了，请问这里有厕所吗？";"<i>dǎrǎo le, qǐngwèn zhèlǐ yǒu cèsuǒ ma?</i><br></br>Excuse me, is there a restroom here?";"❈ 不好意思，打扰一下，你知道这附近有咖啡店吗？";"<i>bùhǎoyìsi, dǎrǎo yīxià, nǐ zhīdào zhè fùjìn yǒu kāfēidiàn ma?</i><br></br>Excuse me, sorry to bother you, do you know if there's a coffee shop nearby?";"🐇 蓝忘机不愿意打扰魏无羡的修炼，默默守护在一旁。";"<i>lánwàngjī bù yuànyì dǎrǎo wèiwúxiàn de xiūliàn, mòmò shǒuhù zài yīpáng.</i><br></br>Lan Wangji is unwilling to disturb Wei Wuxian's cultivation, silently guarding by the side.";"🐇 温情不想打扰温宁的休息，小心翼翼地走进房间。";"<i>wēnqíng bùxiǎng dǎrǎo wēnníng de xiūxi, xiǎoxīnyìyì dì zǒujìn fángjiān.</i><br></br>Wen Qing doesn't want to disturb Wen Ning's rest, carefully entering the room.";"♻🐇 温情躲起来研究医术，不愿意被打扰。";"<i>wēnqíng duǒqǐlái yánjiū yīshù, bù yuànyì bèi dǎrǎo.</i><br></br>Wen Qing hides herself away to study medical skills and doesn't want to be disturbed."
"打印⠀";"dǎyìn";"/to affix a seal/to stamp/to print out (with a printer)//to affix a seal/to stamp/to print out (with a printer)";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打招呼 (greet); 打扮 (decorate); 打扰 (disturb); 打折 (discount); 打针 (injection)";"印 (print)";"Other words using this character: 复印 (photocopy); 印象 (impression)";"❈ 请在这里打印您的名字。";"<i>qǐng zài zhèlǐ dǎyìn nín de míngzì.</i><br></br>Please stamp your name here.";"❈ 我需要打印这份文件。";"<i>wǒ xūyào dǎyìn zhèfèn wénjiàn.</i><br></br>I need to print out this document.";"❈ 这台打印机坏了。";"<i>zhètái dǎyìnjī huài le.</i><br></br>This printer is broken.";"🐇 魏无羡用打印机印了一张照片。";"<i>wèiwúxiànyòng dǎyìnjī yìn le yīzhāng zhàopiàn.</i><br></br>Wei Wuxian printed a photo with a printer.";"🐇 江澄打印了一份捉鬼的告示。";"<i>jiāngchéng dǎyìn le yífèn zhuō guǐ de gàoshi.</i><br></br>Jiang Cheng printed a ghost-catching notice.";"♻❈ 这台机器可以输出高质量的打印文件。";"<i>zhètái jīqì kěyǐ shūchū gāozhìliàng de dǎyìnwénjiàn.</i><br></br>This machine can output high-quality printed documents."
"打折⠀";"dǎzhé";"/to give a discount//to give a discount";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打招呼 (greet); 打扮 (decorate); 打扰 (disturb); 打印 (print); 打针 (injection)";"折 (to break)";"There are no other HSK words in this level (or before) using this character.";"❈ 他们经常打折促销。";"<i>tāmen jīngcháng dǎzhé cùxiāo.</i><br></br>They often have discount promotions.";"❈ 这家商店在打折。";"<i>zhèjiā shāngdiàn zài dǎzhé.</i><br></br>This store is having a discount.";"❈ 他们经常打折销售。";"<i>tāmen jīngcháng dǎzhé xiāoshòu.</i><br></br>They often have sales with discounts.";"🐇 魏无羡看到温情的药材，请求她给自己打折。";"<i>wèiwúxiàn kàndào wēnqíng de yàocái, qǐngqiú tā gěi zìjǐ dǎzhé.</i><br></br>Wei Wuxian saw Wen Qing's medicinal materials and asked her to give him a discount.";"🐇 金凌看到蓝曦臣的琴谱，请求他给自己打折。";"<i>jīnlíng kàndào lánxīchén de qínpǔ, qǐngqiú tā gěi zìjǐ dǎzhé.</i><br></br>Jin Ling saw Lan Xichen's music score and asked him to give him a discount."
"打针⠀";"dǎzhēn";"/to give or have an injection//to give or have an injection";"打 (beat)";"Other words using this character: 打电话 (telephone call); 打篮球 (play basketball); 打扫 (clean); 打算 (plan); 打招呼 (greet); 打扮 (decorate); 打扰 (disturb); 打印 (print); 打折 (discount)";"针 (needle)";"There are no other HSK words in this level (or before) using this character.";"❈ 他昨天去打针了。";"<i>tā zuótiān qù dǎzhēn le.</i><br></br>He went to get an injection yesterday.";"❈ 小孩子怕打针。";"<i>xiǎoháizi pà dǎzhēn.</i><br></br>Children are afraid of getting injections.";"🐇 金凌的小狗生病了，需要打针，他非常担心。";"<i>jīnlíng de xiǎogǒu shēngbìng le, xūyào dǎzhēn, tā fēicháng dānxīn.</i><br></br>Jin Ling's puppy got sick and needed an injection, he was very worried.";"🐇 温情的笑容总能让孩子们不再害怕打针。";"<i>wēnqíng de xiàoróng zǒngnéng ràng háizi men bùzài hàipà dǎzhēn.</i><br></br>A warm smile always makes the children no longer afraid of getting an injection.";"♻❈ 他不喜欢打针。";"<i>tā bù xǐhuan dǎzhēn.</i><br></br>He doesn't like getting shots."
"大概⠀";"dàgài";"/roughly/probably/rough/approximate/about/general idea//roughly/probably/rough/approximate/about/general idea";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大使馆 (embassy); 大约 (approximately); 大夫 (doctor)";"概 (general)";"There are no other HSK words in this level (or before) using this character.";"❈ 我大概需要一个小时完成这项工作。";"<i>wǒ dàgài xūyào yīgè xiǎoshí wánchéng zhèxiàng gōngzuò.</i><br></br>I probably need about an hour to finish this task.";"❈ 这个地方离我们家大概有两公里。";"<i>zhège dìfāng lí wǒmen jiā dàgài yǒu liǎnggōnglǐ.</i><br></br>This place is roughly about two kilometers from our house.";"❈ 他大概下个月会来这里。";"<i>tā dàgài xiàgèyuè huì lái zhèlǐ.</i><br></br>He will probably come here next month.";"🐇 魏无羡大概会在晚上回来。";"<i>wèiwúxiàn dàgài huì zài wǎnshàng huílai.</i><br></br>Wei Wuxian will probably come back in the evening.";"🐇 江澄大概不会原谅金光瑶。";"<i>jiāngchéng dàgài bùhuì yuánliàng jīnguāng yáo.</i><br></br>Jiang Cheng probably won't forgive Jin Guangyao.";"♻❈ 这个数字大概在五百左右。";"<i>zhège shùzì dàgài zài wǔbǎi zuǒyòu.</i><br></br>This number is approximately around five hundred."
"大使馆⠀";"dàshǐguǎn";"/embassy/CL:座[zuo4],個|个[ge4]//embassy/CL:座[zuò],个[gè]";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大约 (approximately); 大夫 (doctor)";"使 (cause)";"Other words using this character: 即使 (even if); 使 (cause); 使用 (use)";"馆 (building)";"Other words using this character: 宾馆 (hotel); 图书馆 (library)";"❈ 大使馆的门口停满了各国的车辆。";"<i>dàshǐguǎn de ménkǒu tíngmǎn le gèguó de chēliàng.</i><br></br>The entrance of the embassy is filled with vehicles from various countries.";"❈ 我需要去大使馆办理签证。";"<i>wǒ xūyào qù dàshǐguǎn bànlǐ qiānzhèng.</i><br></br>I need to go to the embassy to apply for a visa.";"❈ 大使馆的工作人员很有礼貌。";"<i>dàshǐguǎn de gōngzuòrényuán hěn yǒu lǐmào.</i><br></br>The staff at the embassy are very polite.";"🐇 蓝忘机在大使馆工作，负责处理外事。";"<i>lánwàngjī zài dàshǐguǎn gōngzuò, fùzé chǔlǐ wàishì.</i><br></br>Lan Wangji works at the embassy, responsible for handling foreign affairs.";"🐇 温情的微笑让大使馆的气氛变得轻松愉快。";"<i>wēnqíng de wēixiào ràng dàshǐguǎn de qìfēn biànde qīngsōngyúkuài.</i><br></br>A warm smile made the atmosphere at the embassy relaxed and pleasant.";"♻❈ 大使馆驻华盛顿。";"<i>dàshǐguǎn zhù huáshèngdùn.</i><br></br>The embassy is stationed in Washington."
