破解	Means to decipher or crack a code. Can also be used figuratively to solve a mystery or puzzle.
注释	Refers to notes or annotations that explain or clarify a text or passage.
伏笔	Refers to foreshadowing in literature or storytelling.  It's a literary device used to hint at future events.<NEWLINE>--------<NEWLINE>A 伏笔 (fúbǐ) is a literary device, specifically foreshadowing. It's a hint or clue planted early in a story that subtly anticipates later developments.
理性	理性 (lǐxìng) refers to the ability to think and make judgments based on logic and reason, rather than emotion or impulse. It encompasses rationality, logical thinking, and a sensible approach to decision-making.<NEWLINE>--------<NEWLINE>Rationality, reason.  No special usage notes.
调头	Means to turn around, usually referring to vehicles. For people, use 转头 (zhuǎntóu) or 转身 (zhuǎnshēn).<NEWLINE>--------<NEWLINE>调头 (diàotóu) literally means "turn head," but its common usage refers to turning a vehicle around, making a U-turn, or reversing direction.
作家	Writer, author.
间谍	Spy.  No special usage notes.
广泛	广泛 (guǎngfàn) describes something that is widespread, extensive, broad, or covering a large area or scope.  It can refer to physical extent, a wide range of topics, or a large number of people.<NEWLINE>--------<NEWLINE>Wide, extensive, broad.  Often used to describe scope, range, or influence.
跨性别	Transgender. This is a relatively new term and may not be universally understood.
耳机	Headphones, earphones.
友谊	Friendship.  No special usage notes.
付钱	To pay money.  Can be used in various contexts, from paying bills to buying goods.
烦恼	烦恼 (fánnǎo) encompasses feelings of worry, annoyance, vexation, and distress.  It's a more general term than "angry" or "sad," indicating a state of mental unease or irritation.<NEWLINE>--------<NEWLINE>Worries, troubles, vexations.  Can describe a state of being troubled or the things that cause trouble.
面筋	Gluten. Can also refer to a type of chewy, gluten-based food popular in Chinese cuisine.
优秀	Excellent, outstanding.  Often used to describe performance, quality, or ability.<NEWLINE>--------<NEWLINE>优秀 (yōuxiù) describes someone or something that is outstanding, excellent, or superior in quality, ability, or performance. It carries a stronger connotation than merely "good" (好 hǎo).
脊柱	Spine.  No special usage notes.
韭菜	Chinese chives. Also frequently used in online slang to refer to someone who is easily exploited or swindled, particularly financially.
交朋友	To make friends.  No special usage notes.<NEWLINE>--------<NEWLINE>交朋友 (jiāo péngyou) specifically means "to make friends." While 朋友 (péngyou) means "friend," the verb 交 (jiāo) clarifies the act of forming a friendship.
相反	相反 (xiāngfǎn) indicates opposition, contrast, or contradiction. It can be used as an adjective meaning "opposite" or "contrary," or as an adverb meaning "on the contrary" or "conversely."<NEWLINE>--------<NEWLINE>Opposite, contrary.  Can be used as an adjective or adverb.
秋天	Autumn, fall.
画家	Painter, artist.
抚养	抚养 (fǔyǎng) refers to raising and caring for someone, particularly a child, providing for their physical and emotional needs. It carries a sense of nurturing and upbringing.<NEWLINE>--------<NEWLINE>To raise, bring up (a child). Implies care and financial support.
帖子	Post (as in online forum).  Can also refer to a notice or announcement posted publicly.<NEWLINE>--------<NEWLINE>帖子 (tiězi) refers to a post or message on an online forum, social media platform, or bulletin board.  It's the digital equivalent of a notice or announcement.
枪手	Gunman. Can also refer to someone hired to do something illegal or unethical, such as taking a test for someone else.
行李牌	Luggage tag.
面临	面临 (miànlín) means "to face" or "to be confronted with," usually implying a challenge, difficulty, or problem.  It suggests being in close proximity to something unavoidable.<NEWLINE>--------<NEWLINE>To face, be confronted with.  Usually implies a challenge or difficulty.
牛	Cow, ox, bull. In colloquial speech, can also mean "awesome" or "amazing."
手指	Finger.
后院	后院 (hòuyuàn) typically refers to a backyard or back garden, the area behind a house.<NEWLINE>--------<NEWLINE>Backyard, back garden. Can also figuratively refer to one's private domain or sphere of influence.
雅思	IELTS (International English Language Testing System).
中年人	Middle-aged person.<NEWLINE>--------<NEWLINE>中年人 (zhōngniánrén) refers to middle-aged people, typically those between 40 and 60 years old.
诞生	Birth, to be born.  More formal and literary than 出生 (chūshēng).<NEWLINE>--------<NEWLINE>诞生 (dànshēng) refers specifically to birth, particularly of a person, and can also metaphorically refer to the origin or creation of something significant.  It's more formal and literary than 出生 (chūshēng).
梦到	To dream of, to dream about.  Similar to 做梦 (zuòmèng), but specifically indicates the content of the dream.<NEWLINE>--------<NEWLINE>梦到 (mèngdào) means "to dream of" or "to dream about" something or someone. It indicates the content or subject of a dream.
会议	Meeting, conference.
要求	To request, to demand.  Can also refer to requirements or demands.<NEWLINE>--------<NEWLINE>要求 (yāoqiú) can be both a noun and a verb. As a noun, it means "requirement" or "demand." As a verb, it means "to demand" or "to request," often implying a certain level of authority or expectation.
受欢迎	受欢迎 (shòu huānyíng) means "to be popular" or "to be well-received." It describes someone or something that is liked or favored by many people.<NEWLINE>--------<NEWLINE>Popular, well-received.
公厕	Public toilet, restroom.<NEWLINE>--------<NEWLINE>公厕 (gōngcè) is a shortened form of 公共厕所 (gōnggòng cèsuǒ), meaning "public toilet" or "public restroom."
硬	Hard, firm, stiff. Can also describe something difficult or challenging.<NEWLINE>--------<NEWLINE>硬 (yìng) can mean "hard," "stiff," "firm," or "tough," depending on the context.  It can describe physical properties, like the texture of an object, or more abstract qualities like a firm attitude or a difficult task.
神经	Nerve. Can also refer to nerves in the sense of being nervous or agitated.
新西兰	New Zealand.
脑震荡	There is no difference between the use of 脑震荡 in Chinese and concussion in English.
方向	Can be used to mean "trend," "tendency," or "direction of development."  For example, 发展方向 (fāzhǎn fāngxiàng) means "development trend/direction."
暖和	Can be used for weather, clothes, rooms, drinks etc. as in English for "warm".  A synonym is 暖 (nuǎn).<NEWLINE>--------<NEWLINE>This word is typically used to describe the weather or temperature as being pleasantly warm. However, it can also describe clothing, bedding, or a room as being warm and cozy. It is not used in the same way as 热 (rè), which means hot. So you can have 暖和的衣服 (warm clothes) but not 暖和的菜 (warm dishes).
负责人	This word can refer to the person in charge of a particular project or task, or it can refer to the responsible party in a more general sense.  It can often be translated as "the person in charge".<NEWLINE>--------<NEWLINE>This word can also translate to "person in charge" or "the responsible party".  It's a fairly common and versatile term.
许可证	This word refers specifically to an official permit or license. It is not a general term for permission.
脚后跟	There is no difference between the use of 脚后跟 in Chinese and heel in English.
情侣	This word refers to a couple who are in a romantic relationship. It emphasizes the romantic connection and is typically used for younger couples.  A similar word is 夫妇 (fūfù), which refers to a married couple.<NEWLINE>--------<NEWLINE>Refers specifically to a romantic couple. It is not usually used for friends or family members. 男朋友 (nán péngyou) or 女朋友 (nǚ péngyou) are used if the context doesn't make it clear.
客观	In addition to meaning "objective," 客观 can also mean "objective reality" or "objective laws."
布置	This word can mean "to arrange" or "to decorate," depending on the context.  布置房间 (bùzhì fángjiān) means "to decorate a room," while 布置作业 (bùzhì zuòyè) means "to assign homework."  It carries the connotation of preparation and organization.<NEWLINE>--------<NEWLINE>This word can mean "to arrange" or "to decorate", depending on the context.  For example, 布置房间 means "to decorate a room", while 布置作业 means "to assign homework". It can also mean "arrangement", e.g.,  房间布置得很好 (The room is well-arranged/decorated).
圣	Often used as a prefix for religious figures, places or concepts, like 圣经 (Shèngjīng - Bible) or 圣人 (shèngrén - saint). It can also indicate something sacred, holy, or revered.<NEWLINE>--------<NEWLINE>This word is generally used in a religious context, referring to something holy or sacred.
既然	既然 is used at the beginning of a sentence to introduce a reason or cause, followed by a clause expressing a result or consequence. The structure is usually:<NEWLINE><NEWLINE>既然…就… (jìrán…jiù…) - Since…then…<NEWLINE>既然…那么… (jìrán…nàme…) - Since…then…<NEWLINE>--------<NEWLINE>既然 (jìrán) introduces a premise or reason, followed by 就 (jiù), which introduces a consequence or logical next step. So the structure is: 既然…就…. It is similar to "since" or "now that" in English.
误解	This word is both a noun and a verb. It can mean misunderstanding (n.) or misunderstand (v.).
相爱	Specifically refers to romantic love between two people. It is not used for familial love or platonic love.<NEWLINE>--------<NEWLINE>This means to be in love with each other, typically in a mutual and reciprocal way.
咽化	This word is specifically used in linguistics for vowel modification influenced by the pharynx. It's less common in everyday conversation.<NEWLINE>--------<NEWLINE>This refers to a sound change or modification that occurs in the pharynx.  It is most relevant in linguistics and phonetics discussions, particularly related to certain dialects of Wu Chinese.  Not commonly used in daily conversation.
打广告	This means "to advertise." It often implies a more aggressive or pervasive form of advertising, possibly to the point of annoyance.
插队	Cutting in line; queue jumping.  It carries a negative connotation, implying rudeness and disregard for others.
明显	Besides meaning "obvious," 明显 can also be used to describe a noticeable change or difference, often used with a comparative structure.
系鞋带	This means "to tie shoelaces." There is no difference between the use of 系鞋带 in Chinese and "tie shoelaces" in English.
微妙	This word conveys a sense of subtlety, nuance, or delicateness. It often describes situations, relationships, or feelings that are complex and hard to define.<NEWLINE>--------<NEWLINE>This word conveys a sense of subtle complexity or delicate nuance. It can describe a situation, relationship, or feeling that is difficult to define or articulate.
祖传	This word emphasizes something being passed down through generations within a family.  Often implies a sense of tradition or heritage, especially related to skills, recipes, or objects.<NEWLINE>--------<NEWLINE>This word signifies something inherited from ancestors, often implying a long-standing tradition or secret recipe. It can be used literally (祖传秘方 - ancestral secret recipe) or figuratively (祖传手艺 - inherited skills).
一封信	This specifically refers to "one letter" (as in mail).
自律	Self-discipline, often implies a high degree of self-control and motivation. It’s more than just following rules; it’s about internal drive.
阶级	This word refers to a social class or stratum, often with connotations of hierarchy and power dynamics. It is sometimes used in political discourse.<NEWLINE>--------<NEWLINE>This word refers to social class, often in a Marxist or socio-economic context.  It can carry stronger political connotations than the English word "class."
敏	This character is often used as part of two-character words related to sensitivity or quickness, like 敏捷 (mǐnjié - agile), 敏感 (mǐngǎn - sensitive), or 敏锐 (mǐnruì - sharp, astute).  By itself, it isn't commonly used.<NEWLINE>--------<NEWLINE>Often used as part of a two-character word, implying sensitivity or quickness, like 敏捷 (mǐnjié - agile) or 敏感 (mǐngǎn - sensitive).
钱不够	Simply means "not enough money."
判断	This can mean "to judge," "to determine," or "to assess." It emphasizes careful consideration and analysis of information before reaching a conclusion.
肾	Refers specifically to the kidney. In some contexts, 肾 can also be slang for "virility" or "sexual potency."
好奇	This word can be used in both positive and negative contexts.  While it generally means "curious," it can also imply nosiness or being overly inquisitive.
磨砂	This refers to a frosted or matte finish, often used to describe glass, metal, or plastic surfaces.  Think "frosted glass" (磨砂玻璃).<NEWLINE>--------<NEWLINE>This adjective describes a surface that is frosted, matte, or has a slightly rough texture. It's often used to describe glass, plastic, or metal finishes.
学期	Specifically refers to a school term or semester.
流利	This describes someone's language ability as fluent and smooth.<NEWLINE>--------<NEWLINE>While primarily meaning "fluent," it also suggests a smooth and effortless flow, whether in speech, writing, or other skills.
无聊	Besides "boring," 无聊 can also mean "bored." It can also express a feeling of listlessness or having nothing to do.
加班费	Specifically refers to overtime pay.
在乎	This word means "to care about" or "to mind." It indicates that something is important or significant to someone.
脚面	This refers to the top surface of the foot, excluding the toes and the ankle.<NEWLINE>--------<NEWLINE>Refers to the top of the foot, the instep.
围裙	Refers to an apron. There is no difference between the use of 围裙 in Chinese and apron in English.
出现	Means "to appear," "to emerge," or "to arise." It often describes the sudden or unexpected appearance of something.
社会	This word refers to society as a whole, including its customs, institutions, and social structures.
鱿鱼	Refers specifically to squid.
官方	Refers to something official, often relating to government or authority.  It can also imply formality and authority.
职场PUA	This term specifically refers to workplace emotional abuse and manipulation, often involving superiors exploiting their power over subordinates.<NEWLINE>--------<NEWLINE>Refers to workplace emotional abuse or manipulation.  It's a relatively new term, referring to a specific type of toxic behavior in the workplace.
俄罗斯	There is no difference between the use of 俄罗斯 in Chinese and Russia in English.
纯洁性	This word refers to purity, often in a moral or sexual context. It carries connotations of innocence and unspoiled virtue.<NEWLINE>--------<NEWLINE>Refers to purity, often in a moral or sexual context. Can also relate to the unadulterated state of something.
演员	This word refers to an actor or actress. There is no difference between the use of 演员 in Chinese and actor/actress in English.
正确	Means "correct" or "right," often implying accuracy and conformity to a standard or truth.
情况	This word means "situation," "circumstances," or "condition." It refers to the state of affairs or the prevailing conditions.
鳟鱼	Refers to trout. There is no difference between the use of 鳟鱼 in Chinese and trout in English.
薅羊毛	This idiom literally means "to pull wool from a sheep."  Figuratively, it means to take advantage of loopholes or promotions to gain small benefits, often repeatedly.  It's similar to "gaming the system" or "couponing."<NEWLINE>--------<NEWLINE>This idiom refers to taking advantage of loopholes or promotions to gain small benefits, often repeatedly.  Similar to "gaming the system" or "couponing" in English.
空调	Short for 空气调节 (kōngqì tiáojié), meaning "air conditioner."  It is very common and widely understood.
卖方	This word refers to the seller or vendor in a transaction.  It is often used in legal and business contexts.
主旋律	This word is literally translated as "main melody". It is used metaphorically to refer to the dominant theme or ideology promoted by the government or other authorities.  It often carries a positive connotation, suggesting a harmonious and unified message.  Think of it as the "official line" or "party line."  It can also be used more broadly to describe the main theme of any event or situation.<NEWLINE>--------<NEWLINE>This word is frequently used in Chinese media to refer to positive and uplifting themes, especially those that align with socialist values, patriotism, or national pride.  It's often translated as "main theme" or "mainstream melody," but its usage carries a distinct ideological connotation in China.
论文	This can mean any lengthy academic paper, including a dissertation or thesis.<NEWLINE>--------<NEWLINE>Although 论文 can refer to any academic paper, it more commonly refers to a thesis or dissertation, especially at the graduate level.  For shorter papers, 期刊文章 (qīkān wénzhāng - journal article) or 研究报告 (yánjiū bàogào - research report) are more appropriate.
天然	While 天然 translates to "natural," it is often used in the context of food and personal care products to emphasize the absence of artificial additives or processing. It carries a connotation of healthiness and purity.<NEWLINE>--------<NEWLINE>While 天然 literally translates to "natural," it can also be used in the context of describing someone as naive or innocent, almost to the point of being gullible.
发达	This word is usually used to describe a country or region, meaning "developed" or "advanced." It can also be used to describe muscles as "well-developed."<NEWLINE>--------<NEWLINE>发达 is typically used to describe regions, economies, or countries that are economically advanced.  For physical development of a person, you would use something like 发育 (fāyù).  Similarly, for describing technology, you'd use something like 先进 (xiānjìn).
高颧骨	This literally means "high cheekbones." In some cultures, this facial feature is considered attractive or associated with certain personality traits. However, be mindful of potential cultural sensitivities.<NEWLINE>--------<NEWLINE>This term is often associated with certain ethnic groups and can be considered sensitive if used carelessly.
直男	This translates to "straight man." It's often used colloquially, sometimes with a slightly negative connotation, to describe a man who is perceived as insensitive or clueless about women's feelings or social cues.<NEWLINE>--------<NEWLINE>This term, often translated as "straight man," has taken on additional slang meanings in online Chinese communities.  It can sometimes be used pejoratively to describe men perceived as insensitive, unsophisticated, or overly masculine in their behavior.
价值	This word encapsulates both "value" and "worth."  It can refer to monetary value, but also to abstract concepts like moral values or the worth of an experience.<NEWLINE>--------<NEWLINE>价值 can refer to both monetary worth (like "price") and more abstract values like ethical principles.  Context is crucial for understanding the intended meaning.
结果	结果 can mean both "result" and "as a result." Pay attention to its placement in the sentence to determine the intended meaning.<NEWLINE>--------<NEWLINE>This can mean "result," "outcome," or "consequence."  It can also function as a conjunction, meaning "as a result" or "in the end."
开聚会	A more common and colloquial way to say this is 举办聚会 (jǔbàn jùhuì).<NEWLINE>--------<NEWLINE>This is a more general term for holding a gathering or party. It can range from a small casual get-together to a large formal event.
报告	This can refer to a report (written or oral), a lecture, or even a speech. It often implies a formal presentation of information.<NEWLINE>--------<NEWLINE>报告 is a formal report, often written. 口头报告 (kǒutóu bàogào) specifically refers to an oral report.  For less formal situations, you might use 汇报 (huìbào).
一会儿	一会儿 indicates a short period, but the exact duration is relative. It can range from a few minutes to a couple of hours, depending on the context.<NEWLINE>--------<NEWLINE>This translates to "a little while" or "a moment."  It indicates a short, indefinite period.
荒郊	This term carries a stronger sense of desolation and isolation than simply "suburbs" or "countryside." It often implies a place far from civilization and potentially dangerous.<NEWLINE>--------<NEWLINE>This word evokes a sense of desolation and isolation, referring to a deserted or wilderness area, often far from civilization.
匿名的	This word means "anonymous." It emphasizes the concealment of one's identity.<NEWLINE>--------<NEWLINE>While 匿名的 translates to "anonymous," it is generally more formal than its English equivalent.  For casual conversations, you might simply say 不署名 (bù shǔmíng - not signed).
俗语	俗语 specifically refers to common sayings and proverbs, whereas 成语 (chéngyǔ) are idiomatic expressions that often have historical or literary origins.<NEWLINE>--------<NEWLINE>This refers to a common saying, proverb, or idiom.  It's often used in casual conversation.
曾祖父	This is your paternal great-grandfather.<NEWLINE>--------<NEWLINE>Be mindful of the generational differences in Chinese kinship terms.  曾祖父 is your great-grandfather, while your grandfather is 祖父 (zǔfù) or 爷爷 (yéye).
孤独	This signifies a deep sense of loneliness or isolation, often implying emotional detachment.<NEWLINE>--------<NEWLINE>孤独 emphasizes emotional isolation and loneliness, while 单独 (dāndú) simply means "alone" without necessarily implying sadness.
评价	This word encompasses both "evaluation" and "comment." It suggests a judgment of quality or worth.<NEWLINE>--------<NEWLINE>评价 is a more formal assessment or evaluation, often written.  For informal comments, you might use 评论 (pínglùn).
因果	This term refers to cause and effect.  It implies a direct relationship between actions and their consequences.<NEWLINE>--------<NEWLINE>因果 refers specifically to cause and effect, especially in a philosophical or karmic context.
同性恋	While this is a direct translation of "homosexuality," LGBTQ+ issues are still sensitive in China, and caution is advised when discussing them.<NEWLINE>--------<NEWLINE>This term refers to homosexuality. Be mindful of cultural sensitivities when using this term.
办公室	办公室 generally refers to a private or shared office space, while 办公室 can also refer to an entire office building or company.<NEWLINE>--------<NEWLINE>This refers to an office, a place of work.  It's a common and versatile word.
炸 (zhá)	While this primarily means "to fry" or "to deep-fry," it can also mean "to explode" or "to blow up." Context is crucial for understanding the intended meaning.
黑天鹅	This refers to a "black swan event," an unpredictable and highly impactful event.<NEWLINE>--------<NEWLINE>In addition to the literal meaning "black swan", this is often used metaphorically, similar to the English expression "black swan event," referring to an unpredictable and impactful event.
警告	警告 is a serious warning with potential consequences.  For a milder reminder or caution, you might use 提示 (tíshì).<NEWLINE>--------<NEWLINE>This means "warning" or "caution." It suggests a potential danger or negative consequence.
忍着	This means "to endure" or "to put up with." It implies patience or tolerance in the face of hardship or discomfort.<NEWLINE>--------<NEWLINE>忍着 emphasizes enduring or putting up with something unpleasant, often with difficulty.
然而	This is a conjunction meaning "however" or "nevertheless." It introduces a contrast or contradiction.<NEWLINE>--------<NEWLINE>This is a more formal and literary way to say "however" or "but."  In casual conversation, 但是 (dànshì) or 可是 (kěshì) are more common.
肝	This refers to the liver, a vital organ.  It can also be used metaphorically to describe courage or willpower.<NEWLINE>--------<NEWLINE>In addition to the literal meaning of "liver", 肝 can be used colloquially to mean "to work hard on something", often used in gaming contexts. E.g. 肝游戏 (gān yóuxì) - to grind a game.
倒下	This implies collapsing or falling suddenly, often due to exhaustion, illness, or injury.<NEWLINE>--------<NEWLINE>This can mean "to fall down," "to collapse," or "to topple." It often implies suddenness or weakness.
感应	This signifies a sense, perception, or reaction to a stimulus. It often implies a subtle or intuitive understanding.<NEWLINE>--------<NEWLINE>This refers to sensing or perceiving something, often in a subtle or non-physical way.  It can also refer to induction, as in electromagnetic induction.
删除	This means "to delete" or "to remove," often in the context of digital information.<NEWLINE>--------<NEWLINE>删除 is specifically used for deleting digital files or information.  For removing physical objects, you would use other verbs like 拿走 (ná zǒu).
西岸	This refers to the "west bank" or "western shore" of a river, lake, or sea.<NEWLINE>--------<NEWLINE>西岸 usually refers to the West Bank of a river.  西海岸 (xī hǎi'àn) is used for a seacoast.  For the West Coast of the United States, specifically, use 美国西海岸 (měiguó xī hǎi'àn).
普通	普通 emphasizes averageness or lack of distinction.  平常 (píngcháng) means "usual" or "ordinary" in the sense of everyday occurrences.<NEWLINE>--------<NEWLINE>This means "ordinary," "common," or "average."  It implies a lack of distinction.
订婚	订婚 specifically refers to engagement, while 结婚 (jiéhūn) means marriage.<NEWLINE>--------<NEWLINE>This means "to get engaged" or "to be engaged."  It marks a formal commitment to marriage.
信仰	信仰 suggests a deep-seated belief system, often religious.  相信 (xiāngxìn) is a more general term for believing something.<NEWLINE>--------<NEWLINE>This refers to a belief, faith, or conviction.  It often implies a deep-seated trust or devotion.
赛马	This means "horse racing," a popular sport involving horses competing in speed.<NEWLINE>--------<NEWLINE>赛马 refers specifically to horse racing.  For other types of racing, use the appropriate noun before 赛, for example, 赛车 (sàichē - car racing).
照顾者	This refers to a caregiver, someone who provides care and support to another person.<NEWLINE>--------<NEWLINE>照顾者 is a general term for a caregiver.  More specific terms exist, like 护士 (hùshì - nurse) or 保姆 (bǎomǔ - nanny).
流浪汉	This refers to a homeless person, someone without a permanent residence.  Be mindful of the sensitive nature of this term.<NEWLINE>--------<NEWLINE>This term can be considered somewhat derogatory.  A more neutral term is 无家可归者 (wújiā kěguī zhě - homeless person).
校内	This means "on campus" or "inside the school."  It refers to activities or locations within the school grounds.<NEWLINE>--------<NEWLINE>This strictly refers to activities or locations within a school campus.
校外	This means "off campus" or "outside the school."  It refers to activities or locations beyond the school grounds.<NEWLINE>--------<NEWLINE>This strictly refers to activities or locations outside of a school campus.
小舌音	This refers to the "r" sound in languages like French and Spanish, often difficult for native English speakers to pronounce.<NEWLINE>--------<NEWLINE>This term refers to the pronunciation of the alveolar trill, a sound present in some languages but not in standard Mandarin.
美食	This refers to delicious food or cuisine, often implying high quality or exquisite taste.<NEWLINE>--------<NEWLINE>美食 refers specifically to high-quality, delicious food, not just any food.
指示牌	This refers to a signpost, a sign that provides directions or information.<NEWLINE>--------<NEWLINE>指示牌 refers to a sign that gives directions or instructions.  招牌 (zhāopái) refers to a shop sign.
通过	This can mean "to pass through," "to go through," or "to pass (a test/exam)." It can also indicate approval or acceptance.<NEWLINE>--------<NEWLINE>通过 can have several meanings, including "to pass through," "to pass (a test)," and "to be approved." Context is essential.
骄傲	骄傲 can mean both "proud" and "arrogant."  自豪 (zìháo) is a more unequivocally positive term for pride.<NEWLINE>--------<NEWLINE>This can mean "proud" in a positive sense, but also "arrogant" or "conceited" in a negative sense.  Context is crucial for understanding the intended meaning.
主角	主角 refers to the main character or protagonist.  配角 (pèijué) refers to supporting characters.<NEWLINE>--------<NEWLINE>This refers to the main character or protagonist in a story, play, or movie.
助学金	This refers to a scholarship or grant, financial aid for students.<NEWLINE>--------<NEWLINE>This refers specifically to financial aid for students, often based on need.  奖学金 (jiǎngxuéjīn) refers to scholarships based on merit.
越南	Be aware of the correct tones when pronouncing this word (Yuènán).<NEWLINE>--------<NEWLINE>This is the name of the country Vietnam. Be aware of proper pronunciation.
挑水	This means "to carry water using a carrying pole," a traditional method in some cultures.<NEWLINE>--------<NEWLINE>This refers to the traditional method of carrying water using a shoulder pole and two buckets.  It often carries connotations of rural life and hard work.
不要脸	This is a strong insult, meaning "shameless."  Use with extreme caution.<NEWLINE>--------<NEWLINE>This is a strong insult meaning "shameless" or "brazen."  Use with extreme caution.
川普 (Chuānpǔ)	This is the Chinese transliteration of "Trump," commonly used to refer to Donald Trump.
责备	责备 implies assigning blame or criticizing someone.  批评 (pīpíng) is a more general term for criticism.<NEWLINE>--------<NEWLINE>This means "to blame," "to reproach," or "to criticize." It implies assigning responsibility for a fault or wrongdoing.
咒语	There is no difference between the use of 咒语 in Chinese and "spell" or "incantation" in English.
语法	There is no difference between the use of 语法 in Chinese and "grammar" in English.
台灯	There is no difference between the use of 台灯 in Chinese and "desk lamp" in English.
体力活	体力活 (tǐlì huó) refers to manual labor or work that requires physical strength. There isn't a perfect single-word equivalent in English, but phrases like "manual labor," "physical work," or "blue-collar job" convey similar meanings.
逛街	逛街 (guàngjiē) specifically refers to leisurely strolling and window shopping, often with the implication of a recreational activity.  While "shopping" is a close translation, 逛街 emphasizes the act of browsing and enjoying the atmosphere, rather than necessarily purchasing something.
年代	This word can mean both "decade" and "era".<NEWLINE>--------<NEWLINE>年代 (niándài) can refer to both a decade (e.g., the 1980s) and an era characterized by specific social, political, or cultural features. The context usually clarifies the intended meaning.
皮划艇	There is no difference between the use of 皮划艇 in Chinese and "kayak" in English.
世纪	There is no difference between the use of 世纪 in Chinese and "century" in English.
开心	开心 (kāixīn) is a common and versatile way to express happiness and joy. It's generally more casual than 快乐 (kuàilè), which can have a slightly more formal or literary connotation.  开心 is often used in everyday conversations, while 快乐 might be preferred in more formal settings or written works.
不自在	不自在 (bù zìzai) describes the feeling of being uncomfortable, uneasy, or ill at ease. It can be physical or psychological discomfort.  It's often used in situations where someone feels awkward, self-conscious, or out of place.
靠自己	靠自己 (kào zìjǐ) emphasizes self-reliance and independence. It conveys the idea of achieving something through one's own efforts without relying on others.
王嘉尔	This word is simply the name, Wang Jiaer/Jackson Wang, and is of Cantonese origin.
恐惧	There is no difference between the use of 恐惧 in Chinese and "fear" or "dread" in English.
犯罪	There is no difference between the use of 犯罪 in Chinese and "commit a crime" in English.
出租车	的士 (díshì) is a colloquial synonym, borrowed from the English word "taxi".
南京	There is no difference between the use of 南京 in Chinese and "Nanjing" in English.
过敏	There is no difference between the use of 过敏 in Chinese and "allergy" or "allergic" in English.
埃及	There is no difference between the use of 埃及 in Chinese and "Egypt" in English.
行业	There is no difference between the use of 行业 in Chinese and "profession / industry / trade" in English.
感人	感人 (gǎnrén) describes something touching or moving, often evoking strong emotions. It's commonly used to describe stories, movies, music, or acts of kindness that resonate with people on an emotional level.
村里	村里 (cūnli) refers to a village or rural community. It often carries connotations of a close-knit, traditional way of life.<NEWLINE>--------<NEWLINE>This means "in the village". 里 (lǐ) in this context means "inside" or "within".
中美洲	There is no difference between the use of 中美洲 in Chinese and "Central America" in English.
因为	因为 (yīnwèi) introduces the cause or reason for something. It's typically paired with 所以 (suǒyǐ), which introduces the result or consequence.  The structure is "因为...所以..." (because... therefore...).<NEWLINE>--------<NEWLINE>因为 is mostly synonymous with 由于 (yóuyú), but 因为 is considered to be slightly more colloquial.
冥想	There is no difference between the use of 冥想 in Chinese and "meditation" in English.
金色	There is no difference between the use of 金色 in Chinese and "gold / golden" in English.
