word	meanings	example sentence 1	translation 1	example sentence 2	translation 2	example sentence 3	translation 3
难怪你常常生病	No wonder you often get sick	难怪你最近心情不好。	No wonder you've been in a bad mood lately.	难怪你总是迟到。	No wonder you're always late.	难怪你对这个话题感兴趣。	No wonder you're interested in this topic.
台湾	Taiwan	台湾是一个美丽的岛屿。	Taiwan is a beautiful island.	台湾的文化非常多元。	Taiwan's culture is very diverse.	台湾的经济发展非常迅速。	Taiwan's economic development is very rapid.
演奏音阶	play a musical scale	练习演奏音阶可以提高手指的灵活性。	Practicing playing scales can improve finger dexterity.	演奏音阶是学习乐器的基本功。	Playing scales is a basic skill in learning music.	这个音乐家演奏音阶时非常流畅。	This musician plays scales very smoothly.
一段爱情	a love;	他们的爱情故事很浪漫。	Their love story is very romantic.	这是一段刻骨铭心的爱情。	This is a heart-wrenching love.	他们经历了很长一段爱情，最终步入婚姻殿堂。	They went through a long love story and finally got married.
有思想	profound;	这是一本很有思想的书。	This is a very profound book.	他的演讲很有思想，发人深省。	His speech was very profound and thought-provoking.	他的作品充满了思想，让人回味无穷。	His works are full of thought and leave a lasting impression.
词语搭配	Word collocation	词语搭配是语言学习的重要组成部分。	Word collocation is an important part of language learning.	掌握词语搭配可以使语言表达更加地道。	Mastering word collocations can make language expression more authentic.	我们可以通过阅读和练习来提高词语搭配的能力。	We can improve our ability to collocate words through reading and practice.
首先...其次...最后...	Firstly...Secondly...Finally...	首先，我们要明确目标。	Firstly, we need to define our goals.	其次，我们要制定计划。	Secondly, we need to make a plan.	最后，我们要付诸行动。	Finally, we need to take action.
脚趾	toe	他踢到了一块石头，扭伤了脚趾。	He kicked a rock and twisted his toe.	小孩子的脚趾非常灵活。	Children's toes are very flexible.	每个脚趾都有自己的名字。	Each toe has its own name.
交流新想法	exchange new ideas	我们应该经常交流新想法，促进创新。	We should exchange new ideas frequently to promote innovation.	这次会议是为了交流新想法，解决问题。	This meeting is to exchange new ideas and solve problems.	网络为交流新想法提供了平台。	The Internet provides a platform for exchanging new ideas.
讲普通话，写规范字	Speak Mandarin and write standard Chinese characters	讲普通话，写规范字，是学习汉语的基础。	Speaking Mandarin and writing standard characters are the foundation of learning Chinese.	为了让更多人理解汉语，我们要推广讲普通话，写规范字。	To make Chinese understandable to more people, we need to promote the use of Mandarin and standard characters.	讲普通话，写规范字，有利于汉语的传承和发展。	Speaking Mandarin and writing standard characters is conducive to the inheritance and development of Chinese.
齿龈后音	postalveolar sound	英语中的/ʃ/和/ʒ/是齿龈后音。	/ʃ/ and /ʒ/ in English are postalveolar sounds.	齿龈后音的发音需要将舌头放在齿龈后面。	To pronounce a postalveolar sound, you need to place your tongue behind the alveolar ridge.	学习齿龈后音的发音需要练习。	Learning to pronounce postalveolar sounds requires practice.
龙虾	lobster	龙虾是一种美味的海鲜。	Lobster is a delicious seafood.	龙虾的价格通常比较贵。	Lobsters are usually quite expensive.	我们可以用龙虾做成各种美味佳肴。	We can make a variety of delicious dishes with lobster.
反义词/同义词/近义词	Antonyms/synonyms/near synonyms	学习汉语需要掌握词语之间的关系，比如反义词、同义词和近义词。	Learning Chinese requires mastering the relationships between words, such as antonyms, synonyms, and near synonyms.	反义词可以帮助我们理解词语的含义，同义词可以使我们的表达更加丰富。	Antonyms can help us understand the meaning of words, synonyms can make our expressions richer.	近义词可以使我们的语言更加灵活多样。	Near synonyms can make our language more flexible and diverse.
鲱鱼	herring	鲱鱼是一种常见的海鱼，通常用来做罐头。	Herring is a common sea fish, often used for canning.	腌鲱鱼是北欧的一种传统食物。	Pickled herring is a traditional food in Scandinavia.	鲱鱼的营养价值很高。	Herring has high nutritional value.
稳定的时间安排	stable schedule	稳定的时间安排可以提高工作效率。	A stable schedule can improve work efficiency.	稳定的时间安排有利于身心健康。	A stable schedule is conducive to physical and mental health.	为了保持稳定的时间安排，我们要做好计划和管理。	To maintain a stable schedule, we need to make good plans and manage our time.
经济学者	economist	经济学者研究经济问题，分析经济现象。	Economists study economic issues and analyze economic phenomena.	经济学家的研究成果可以为政府制定经济政策提供参考。	The research results of economists can provide references for the government to formulate economic policies.	我们应该关注经济学家的观点，了解经济发展趋势。	We should pay attention to the views of economists and understand the trend of economic development.
努力💪	Work hard 💪	只要努力，就能实现梦想。	As long as you work hard, you can achieve your dreams.	努力学习，才能取得好成绩。	Work hard at your studies, and you will get good grades.	人生道路上，我们要不断努力，才能取得成功。	On the journey of life, we need to constantly work hard to achieve success.
纠正错误	correct errors	老师耐心地纠正了我的错误。	The teacher patiently corrected my mistakes.	我们应该及时纠正错误，避免重复犯错。	We should correct mistakes promptly to avoid repeating them.	学习过程中，要勇于承认错误，及时纠正错误。	In the process of learning, we should be brave enough to admit our mistakes and correct them promptly.
行李牌	Luggage tag	在行李箱上贴上行李牌，方便识别。	Attach a luggage tag to your suitcase to make it easier to identify.	行李牌可以记录你的联系方式，防止行李丢失。	A luggage tag can record your contact information to prevent your luggage from being lost.	机场的工作人员会根据行李牌将行李分配到不同的航班。	Airport staff will assign luggage to different flights based on luggage tags.
投入时间/钱/...	Invest time/money/…	我们要投入时间和精力学习新知识。	We should invest time and energy in learning new knowledge.	为了获得成功，我们需要投入时间和金钱。	To achieve success, we need to invest time and money.	他们投入了大量的资金，用于开发新产品。	They invested a lot of money in developing new products.
做房子的材料	materials for building a house	建造房子需要各种各样的材料。	Building a house requires a wide range of materials.	水泥、砖块和木材是做房子的常用材料。	Cement, bricks, and wood are common materials for building houses.	我们应该选择高质量的材料来建造房子。	We should choose high-quality materials to build our house.
足迹遍布全世界	Footprints all over the world	他足迹遍布全世界，旅行了很多国家。	He has footprints all over the world and has travelled to many countries.	这位探险家足迹遍布全世界，探索了各种各样的文化。	This explorer has footprints all over the world and has explored a wide variety of cultures.	他的作品足迹遍布全世界，影响了无数人。	His works have footprints all over the world and have influenced countless people.
未必 = 不一定	not necessarily	这件衣服未必适合你，你可以试穿一下。	This dress may not suit you, you can try it on.	他未必会来，我们等等看吧。	He may not come, let's wait and see.	我们未必能成功，但我们还是要努力尝试。	We may not succeed, but we still need to try hard.
寄生虫🪱	Parasite 🪱	寄生虫会对人体造成伤害。	Parasites can harm the human body.	一些寄生虫可以通过食物和水传播。	Some parasites can be transmitted through food and water.	医生可以帮助我们消灭寄生虫。	Doctors can help us eliminate parasites.
尽管这样	in spite of this	尽管天气很冷，他还是坚持去跑步。	Despite the cold weather, he still insisted on going for a run.	尽管他很努力，他还是没有成功。	Despite his hard work, he still didn't succeed.	尽管困难重重，我们还是要坚持下去。	Despite the many difficulties, we must persevere.
我们的气候不够暖和	Our climate is not warm enough	这个地区的气候不够暖和，不适合种植热带水果。	The climate in this region is not warm enough to grow tropical fruits.	我们的气候不够暖和，冬天经常下雪。	Our climate is not warm enough, it snows often in winter.	这个国家的气候不够暖和，大部分地区都覆盖着冰雪。	This country's climate is not warm enough, most of its territory is covered in ice and snow.
标点符号 	Punctuation	标点符号在书写中非常重要，可以帮助我们理解句子结构。	Punctuation is very important in writing, it helps us understand the structure of sentences.	不同的语言有不同的标点符号系统。	Different languages have different punctuation systems.	我们应该正确使用标点符号，避免误解。	We should use punctuation correctly to avoid misunderstandings.
安定下来	settle down	他搬到郊区，想安定下来，过平静的生活。	He moved to the suburbs, hoping to settle down and live a peaceful life.	经过一段时间的奋斗，他终于安定下来，有了自己的家庭。	After a period of struggle, he finally settled down and started his own family.	我们应该找到一个舒适的地方，安定下来，享受生活。	We should find a comfortable place to settle down and enjoy life.
情绪崩溃	emotional breakdown	经历了这么多挫折，他终于情绪崩溃了。	After experiencing so many setbacks, he finally had an emotional breakdown.	她因为失恋而情绪崩溃，需要时间来疗伤。	She had an emotional breakdown because of heartbreak and needs time to heal.	情绪崩溃是一种常见的心理问题，需要及时寻求专业帮助。	Emotional breakdown is a common psychological problem and needs timely professional help.
金枪鱼	tuna	金枪鱼是一种富含蛋白质的鱼类。	Tuna is a protein-rich fish.	金枪鱼可以做成各种美味的菜肴。	Tuna can be made into a variety of delicious dishes.	金枪鱼罐头是方便快捷的蛋白质来源。	Canned tuna is a convenient and quick source of protein.
知足 	contented;	知足常乐，是人生的一种境界。	Contentment is a state of mind in life.	他虽然没有很多钱，但知足常乐，生活得很快乐。	Although he doesn't have much money, he is content and lives a happy life.	我们应该学会知足，珍惜眼前所拥有的一切。	We should learn to be content and cherish what we have.
流眼泪🥲	shed tears 🥲	听到这个消息，她忍不住流下了眼泪。	She couldn't help but shed tears when she heard the news.	看到这一幕，我感动得流下了眼泪。	Seeing this scene, I was moved to tears.	流眼泪是人类表达情感的一种方式。	Shedding tears is a way for humans to express their emotions.
家养的	domesticated	家养的动物通常对人类比较友善。	Domesticated animals are usually friendly to humans.	家养的猫和狗是人们最喜欢的宠物。	Domesticated cats and dogs are people's favorite pets.	家养的植物需要定期浇水和施肥。	Domesticated plants need to be watered and fertilized regularly.
变性	transsexual; o denature; denaturation; to have a sex change; transsexua	变性是一件非常个人化的决定。	Having a sex change is a very personal decision.	变性手术可以帮助人们找到自己的真实性别。	Sex change surgery can help people find their true gender.	我们应该尊重变性人的选择和权利。	We should respect the choices and rights of transgender people.
罗兰巴特	Roland Barthes	罗兰巴特是一位著名的法国作家和思想家。	Roland Barthes was a famous French writer and thinker.	罗兰巴特的著作对文学、语言和文化研究产生了重大影响。	Roland Barthes' writings have had a significant impact on literary, linguistic, and cultural studies.	罗兰巴特的思想至今仍在学术界被广泛讨论。	Roland Barthes' ideas are still widely discussed in academia today.
实际来说	Practically speaking	实际来说，这件事很难实现。	Practically speaking, this is very difficult to achieve.	实际来说，我们没有足够的资金。	Practically speaking, we don't have enough funds.	实际来说，你需要更多的时间来完成这个项目。	Practically speaking, you need more time to complete this project.
