紧密	这两个国家的关系非常紧密。	The relationship between these two countries is very close.	他们之间的合作是紧密的。	Their cooperation is close.	紧密的合作是他们成功的关键。	Close cooperation is the key to their success.
箭	他射出一支箭。	He shot an arrow.	这把弓能射出很远的箭。	This bow can shoot arrows very far.	箭矢飞向目标。	The arrow flew towards the target.
鼠标	我需要一个新的鼠标来替换坏掉的。	I need a new mouse to replace the broken one.	这个鼠标的设计很人性化。	The design of this mouse is very user-friendly.	鼠标在计算机操作中起着重要作用。	The mouse plays an important role in computer operation.
口袋	他把钱放进口袋里。	He put the money in his pocket.	她的裙子有很多口袋。	Her skirt has many pockets.	这个口袋可以装下很多东西。	This pocket can hold a lot of things.
危险	这是一个危险的地方，我们不要靠近。	This is a dangerous place, let's not get close.	他的行为对自己很危险。	His behavior is very dangerous to himself.	危险来临时，我们要保持冷静。	When danger comes, we need to stay calm.
梨	这个梨很甜。	This pear is very sweet.	她喜欢吃梨。	She likes to eat pears.	梨是一种很健康的水果。	Pears are a very healthy fruit.
旅馆	我们在这家旅馆住了一晚。	We stayed in this hotel for one night.	这个旅馆的服务很好。	The service of this hotel is very good.	旅馆的房间很宽敞。	The hotel rooms are spacious.
绝大多数	绝大多数人都同意这个决定。	The vast majority of people agree with this decision.	绝大多数学生都参加了运动会。	The vast majority of students participated in the sports meeting.	绝大多数公司都采取了远程办公的方式。	The vast majority of companies have adopted remote working.
反常	这种现象是反常的。	This phenomenon is unusual.	他的行为有点反常。	His behavior is a bit abnormal.	这个季节的气温变化很反常。	The temperature changes in this season are very unusual.
一群人	一群人在公园里玩耍。	A group of people are playing in the park.	他们是一群有趣的人。	They are a group of interesting people.	一群人在街上举行了示威活动。	A group of people held a demonstration on the street.
阔	这个人很阔。	This person is very rich.	这个地方的风景很阔。	The scenery of this place is very broad.	他的知识面很阔。	His knowledge is very wide.
勇敢	他是一个勇敢的战士。	He is a brave soldier.	她勇敢地面对了困难。	She bravely faced the difficulties.	勇敢的人会得到别人的尊重。	Brave people will earn the respect of others.
方言	这个地区有很多不同的方言。	There are many different dialects in this region.	他的方言听起来很有特色。	His dialect sounds very distinctive.	方言是中国文化的重要组成部分。	Dialects are an important part of Chinese culture.
脖子	他戴着一条项链挂在脖子上。	He wore a necklace around his neck.	她的脖子很长。	Her neck is very long.	他摔倒了，摔伤了脖子。	He fell and hurt his neck.
拍照	我们在风景区拍了很多照。	We took a lot of pictures in the scenic area.	她喜欢拍照留念。	She likes to take pictures for memories.	他站在那里让我拍照。	He stood there for me to take a picture.
云	天空中飘着白云。	There are white clouds floating in the sky.	云的形状在不断地变化。	The shape of the cloud is constantly changing.	乌云密布，暗示着暴风雨即将来临。	The dark clouds indicate that a storm is coming.
胖子	他是一个胖子，但是很健康。	He is a fat person, but very healthy.	那个胖子在街上跑得很快。	That fatty runs very fast on the street.	她不喜欢别人叫她胖子。	She doesn't like others calling her a fatty.
骗子	小心那个骗子，不要上当。	Be careful of that swindler, don't be fooled.	他是一个骗子，经常欺骗别人。	He is a cheat and often deceives others.	这个骗子已经被警察抓住了。	The swindler has been caught by the police.
粉末	这个粉末用来制作面膜。	This fine powder is used to make facial masks.	工厂里到处都是粉末。	There is dust everywhere in the factory.	她用粉末给蛋糕撒上一层。	She sprinkled a layer of fine powder on the cake.
频繁	最近这里的地震频繁。	Earthquakes have been frequent here recently.	他频繁更换工作，没有一个长久的工作。	He changes jobs frequently and has not had a long-term job.	这个地方的天气变化频繁。	The weather changes often in this place.
身份证	请出示您的身份证。	Please show your ID card.	我把身份证放在钱包里了。	I put my ID card in my wallet.	她的身份证丢了，正在办理补办手续。	Her ID card is lost, and she is applying for a replacement.
座位	这个座位已经被别人占了。	This seat has been taken by someone else.	请您找到自己的座位坐下。	Please find your seat and sit down.	我喜欢靠窗的座位。	I like the seat by the window.
群体	这个群体的生活水平很高。	The living standard of this community is very high.	这个国家有很多不同的群体。	This country has many different communities.	科学家们研究了这个蚂蚁群体的行为。	Scientists studied the behavior of this ant colony.
姿势	她的坐姿很好。	Her sitting posture is very good.	他的姿势很端正。	His posture is very upright.	练习瑜伽可以改善姿势。	Practicing yoga can improve posture.
字幕	这部电影有中文字幕。	This movie has Chinese subtitles.	请打开字幕，我听不太懂。	Please turn on the subtitles, I don't quite understand.	字幕的颜色可以根据需要调整。	The color of the caption can be adjusted as needed.
扶手	这个扶手很结实。	This handrail is very sturdy.	飞机座位上有扶手。	There are armrests on the airplane seats.	她紧紧抓住扶手，生怕摔倒。	She held the handrail tightly, afraid of falling.
上涨	股票价格一直在上涨。	The stock prices have been rising.	河水上涨，村庄被淹没了。	The river rose, and the village was flooded.	通货膨胀导致物价上涨。	Inflation leads to a rise in prices.
稍	请稍等一下，我马上就好。	Please wait a moment, I'll be right there.	他稍微动了一下，就感觉到疼痛。	He moved a little and felt pain.	这个问题稍微有点复杂。	This problem is a little bit complicated.
尷尬癌	他总是犯尴尬癌。	He always suffers from chagrin cancer.	她的尴尬癌发作了。	Her chagrin cancer has flared up.	尴尬癌是一种心理疾病。	Chagrin cancer is a psychological illness.
事实	这就是事实，无法改变。	This is the fact and cannot be changed.	他不愿意面对事实。	He is unwilling to face the fact.	证据表明这是一个事实。	Evidence shows that this is a fact.
公务	他今天有一些公务要处理。	He has some official business to deal with today.	这是一次重要的公务会议。	This is an important official business meeting.	她的工作是处理公务。	Her job is to handle official business.
时常	他时常在这附近散步。	He often takes a walk around here.	她时常忘记带钥匙。	She frequently forgets to bring her keys.	这里的天气时常变化。	The weather here often changes.
益虫	这种益虫对庄稼有好处。	This beneficial insect is good for crops.	农民们在田间放养益虫。	Farmers release beneficial insects in the fields.	益虫可以帮助控制害虫的数量。	Beneficial insects can help control the number of pests.
日语	她正在学习日语。	She is learning Japanese.	我对日语很感兴趣。	I am very interested in Japanese.	他的日语说得很流利。	He speaks Japanese very fluently.
怎么办	这件事情出了问题，怎么办？	There is a problem with this matter, what should we do?	我不知道怎么办才好。	I don't know what to do.	怎么办，我迷路了。	What should I do, I'm lost.
躲起来	他躲起来不出声。	He hid himself and didn't make a sound.	她躲起来哭了起来。	She hid herself and started crying.	小猫躲起来了，找不到了。	The kitten hid and couldn't be found.
球棍	他用球棍击中了一个全垒打。	He hit a home run with the club.	这个球棍很适合初学者。	This bat is very suitable for beginners.	这个球棍是专门为儿童设计的。	This club is specially designed for children.
过滤	这个咖啡机可以过滤咖啡渣。	This coffee machine can filter out coffee grounds.	我们需要过滤水才能饮用。	We need to filter the water before drinking.	这个软件可以过滤垃圾邮件。	This software can filter out spam emails.
时时	他时时提醒自己要保持冷静。	He constantly reminds himself to stay calm.	她时时关心着孩子的学习。	She often cares about the children's studies.	这个问题时时困扰着我。	This problem often troubles me.
罕见	这种鸟在这里很罕见。	This kind of bird is rare here.	这是一种罕见的疾病。	This is a rare disease.	这里的美景是如此罕见。	The beautiful scenery here is so rarely seen.
送礼	他送礼的时候总是很慷慨。	He is always generous when giving presents.	送礼是中国人的一种传统习俗。	Giving presents is a traditional custom of the Chinese.	她送礼的品味很好。	Her taste in giving presents is very good.
特大	这个西瓜特大，足够我们一家人吃。	This watermelon is exceptionally big, enough for our whole family to eat.	这次地震造成了特大的损失。	This earthquake caused exceptionally big losses.	这是一个特大的挑战，我们需要做好准备。	This is an exceptionally big challenge, we need to be prepared.
箱	他把行李放进了一个大箱子里。	He put the luggage into a big trunk.	这个箱子里装满了旧书。	This chest is filled with old books.	她打开箱子，拿出了一些衣服。	She opened the box and took out some clothes.
新郎	新郎在婚礼上穿着西装。	The groom wears a suit at the wedding.	新郎和新娘一起举行了婚礼。	The bridegroom and the bride held the wedding together.	新郎对新娘微笑着走向礼堂。	The groom walked towards the hall with a smile to the bride.
现状	我们需要了解当前的现状。	We need to understand the current situation.	这就是我们目前的现状。	This is our current situation.	他对现状感到不满。	He is dissatisfied with the current situation.
贿赂	他因为受贿被判刑。	He was sentenced for taking bribes.	贿赂是不道德的行为。	Bribery is an unethical behavior.	他试图用贿赂来获得竞选的支持。	He tried to gain support for the election through bribery.
邮件	我昨天寄了一封重要的邮件。	I sent an important mail yesterday.	她每天都会检查她的邮件。	She checks her email every day.	我收到了你寄来的包裹和邮件。	I received the package and mail you sent.
医疗	这个国家的医疗条件很好。	The medical conditions in this country are very good.	他需要接受医疗治疗。	He needs to receive medical treatment.	医疗保险对于大家都很重要。	Medical insurance is important for everyone.
言语	他的言语很有说服力。	His words are very persuasive.	她的言语让我感到宽慰。	Her words make me feel relieved.	言语是人类交流的重要方式之一。	Speech is one of the important ways for human communication.
以内	请在十分钟以内完成这项任务。	Please complete this task within ten minutes.	这个地方的速度限制是每小时60公里以内。	The speed limit in this area is within 60 kilometers per hour.	请在规定的时间以内提交作业。	Please submit the homework within the specified time.
香菜籽	这道菜需要加入一些香菜籽。	This dish needs to add some coriander seeds.	香菜籽是烹饪中常用的香料。	Coriander seeds are commonly used spices in cooking.	她喜欢在菜肴中加入香菜籽。	She likes to add coriander seeds to the dishes.
由此	由此可见，他对这个项目很重视。	It can be seen from this that he attaches great importance to this project.	我们将由此开始我们的旅程。	We will start our journey from here.	由此可知，他对这个问题有深入的了解。	It can be known from this that he has a deep understanding of this issue.
民国时期	民国时期是中国的一个重要历史阶段。	The period of the Republic of China is an important historical stage in China.	民国时期的建筑风格在这个城市中很常见。	The architectural style of the Republic of China period is very common in this city.	民国时期的文学作品影响深远。	The literary works of the Republic of China period have far-reaching influence.
冷淡	他对我很冷淡。	He is very cold to me.	她的态度显得有些冷淡。	Her attitude seems a bit indifferent.	他的冷淡让我感到很失望。	His coldness makes me very disappointed.
原理	这个原理很难理解。	This principle is very difficult to understand.	这个机器的工作原理是什么？	What is the working principle of this machine?	他对这个原理进行了深入的研究。	He has conducted in-depth research on this principle.
一行	这是一行来自美国的代表团。	This is a delegation from the United States.	他们是一行来参观的客人。	They are a party of visitors who came to visit.	一行人来到了这个小镇。	A party of people arrived at this small town.
英雄	他是这个国家的英雄。	He is the hero of this country.	她被誉为抗战英雄。	She is hailed as a hero of the resistance war.	我们需要更多的英雄来拯救这个世界。	We need more heroes to save the world.
精确	这个测量结果非常精确。	This measurement result is very accurate.	他的预测非常精确。	His prediction is very precise.	我们需要精确的数据来支持我们的观点。	We need accurate data to support our point of view.
优质	这是一家提供优质服务的酒店。	This is a hotel that provides excellent quality service.	这个产品的优质赢得了很多客户的信赖。	The excellent quality of this product has won the trust of many customers.	我们应该追求优质的生活。	We should pursue a high-quality life.
敬礼	他向上级敬礼。	He salutes his superiors.	军人在军礼时会敬礼。	Soldiers salute during military ceremonies.	他站在那里，向远方敬礼。	He stood there, saluting towards the distance.
债	他还有很多债没有还。	He still has a lot of debt to pay off.	债务问题一直困扰着他。	Debt problems have always troubled him.	她的债务越来越多。	Her debt is increasing.
磕	他在吃瓜子时喜欢磕瓜子。	He likes to crack melon seeds while eating them.	他磕了一下门槛。	He knocked on the threshold.	他磕了一下头。	He knocked his head.
自治县	这是一个少数民族自治县。	This is an autonomous county of ethnic minorities.	自治县的管理体制有所不同。	The management system of the autonomous county is different.	他们生活在一个自治县里。	They live in an autonomous county.
钟头	我等了他一个钟头。	I waited for him for an hour.	这个会议持续了两个钟头。	The meeting lasted for two hours.	他每天都会练习两个钟头的钢琴。	He practices the piano for two hours every day.
钻	他用钻打了一个洞。	He drilled a hole with an auger.	她的戒指上镶嵌了一颗钻石。	There is a diamond set in her ring.	他在石头上钻了一个小孔。	He drilled a small hole in the stone.
文化冲突	文化冲突是不可避免的。	Cultural conflicts are inevitable.	他们之间存在着文化冲突。	There are cultural conflicts between them.	文化冲突会影响人们的生活。	Cultural conflicts will affect people's lives.
立交桥	我们要走立交桥过去。	We need to go over the overpass.	这座城市的立交桥设计很美观。	The design of the overpasses in this city is very beautiful.	立交桥是城市交通建设的重要组成部分。	Overpasses are an important part of urban transportation construction.
放烟花	春节晚上，我们放烟花庆祝。	We set off fireworks to celebrate the Chinese New Year at night.	放烟花是中国传统的习俗之一。	Setting off fireworks is one of the traditional customs in China.	他们在河边放烟花，庆祝胜利。	They set off fireworks by the river to celebrate the victory.
粤菜	我很喜欢吃粤菜。	I really like to eat Cantonese cuisine.	粤菜的烹饪技巧非常讲究。	Cantonese cuisine's cooking techniques are very particular.	这家餐厅的粤菜味道很地道。	The Cantonese cuisine in this restaurant tastes very authentic.
挪	他挪了一下椅子，让我坐下。	He shifted the chair a bit to let me sit down.	她挪动了花盆的位置，让它更接近阳光。	She moved the flower pot to a position closer to the sunlight.	我们需要挪一下会议的时间。	We need to move the meeting time.
好的关系	他们之间有很好的关系。	They have a very good relationship.	建立好的关系对于工作很重要。	Establishing good relationships is very important for work.	好的关系可以带来更多的机会。	Good relationships can bring more opportunities.
全局	我们需要考虑全局的利益。	We need to consider the overall situation.	他对整个项目的全局把握很好。	He has a good grasp of the overall situation of the entire project.	领导需要对全局有清晰的认识。	Leaders need to have a clear understanding of the overall situation.
坦然	她面对困难很坦然。	She faces difficulties calmly.	他坦然接受了失败。	He calmly accepted the failure.	面对挑战，他显得很坦然。	Facing the challenge, he appeared very calm.
触动神经	他的话触动了我的神经。	His words struck a nerve with me.	这个话题可能会触动一些人的神经。	This topic may strike a nerve with some people.	她的行为触动了他的神经。	Her behavior struck a nerve with him.
哨	哨声响起，表示敌人来袭。	The whistle sounded, indicating the enemy's attack.	哨兵守卫着边境。	Sentries guard the border.	他吹哨通知大家集合。	He blew the whistle to notify everyone to gather.
画画	我喜欢画画来放松心情。	I like to draw to relax.	她的画画技巧很高。	Her painting skills are very good.	他正在画画，不方便打扰。	He is drawing, it's not convenient to disturb.
呻吟	他因剧痛而呻吟不止。	He moaned in pain.	病人在床上呻吟着。	The patient moaned on the bed.	她的呻吟让人心疼。	Her moaning is heartbreaking.
垫子	我需要一个坐垫子。	I need a seat cushion.	她在地上铺了一个垫子。	She laid a mat on the ground.	这个椅子的垫子很软。	The cushion of this chair is very soft.
三文鱼	我喜欢吃三文鱼寿司。	I like to eat salmon sushi.	三文鱼是一种很健康的食材。	Salmon is a very healthy ingredient.	她烤的三文鱼非常美味。	The salmon she grilled is very delicious.
饲养	他饲养了一只小狗。	He raised a puppy.	这个农场饲养了很多牛。	This farm raises a lot of cows.	我们需要好好饲养这些植物。	We need to raise these plants well.
索取	他索取了更多的信息。	He asked for more information.	这个公司索取了我的建议。	This company asked for my advice.	他索取了更多的帮助。	He demanded more help.
挺拔	她的身姿挺拔。	Her figure is tall and straight.	这棵树长得很挺拔。	This tree grows very tall and straight.	他的身材挺拔，很有气质。	His figure is tall and straight, very elegant.
团圆	春节是家人团圆的日子。	The Spring Festival is a day for family reunion.	他们团圆在一起，度过了一个愉快的周末。	They had a reunion together and spent a pleasant weekend.	团圆饭是中国传统的习俗之一。	Reunion dinner is one of the traditional customs in China.
微观	微观世界充满了奇妙。	The micro world is full of wonders.	他的研究领域是微观经济学。	His research field is microeconomics.	微观的变化会影响整体的发展。	Microscopic changes will affect the overall development.
溪	山间的溪水清澈见底。	The stream water in the mountains is clear and transparent.	他们在溪边野餐。	They are having a picnic by the stream.	溪水潺潺，令人心旷神怡。	The stream water is gurgling, which is refreshing.
乡镇	这个乡镇的风景很美。	The scenery of this village is very beautiful.	他在乡镇里开了一家小店。	He opened a small shop in the township.	乡镇的发展需要更多的支持。	The development of the township needs more support.
眨	他眨了眨眼睛，示意我跟他走。	He blinked his eyes, signaling me to follow him.	她眨了一下眼睛，表示同意。	She blinked her eyes to indicate agreement.	小孩眨着眼睛，看着镜头。	The child blinked his eyes, looking at the camera.
摘要	这是这篇文章的摘要。	This is the summary of this article.	他写了一份关于这个项目的摘要。	He wrote a summary about this project.	这个报告的摘要很清晰。	The summary of this report is very clear.
战役	这场战役是历史上的重要事件。	This military campaign is an important event in history.	他参加了多次战役。	He participated in multiple military campaigns.	这个战役的胜利对整个战争产生了重大影响。	The victory of this military campaign had a significant impact on the entire war.
支流	这条河有很多支流。	This river has many tributaries.	支流的水质比主流要清澈。	The water quality of the tributary is clearer than the mainstream.	支流的生态环境需要更多的保护。	The ecological environment of the tributary needs more protection.
做主	这件事情由你来做主。	You make the decision on this matter.	他不愿意做主，让大家商量着办。	He is unwilling to make the decision and wants everyone to discuss it.	在这个问题上，你需要做主。	You need to make the decision on this issue.
小时候	小时候，我经常和朋友们一起玩。	In my childhood, I often played with my friends.	小时候的回忆总是让人怀念。	Childhood memories always make people nostalgic.	小时候的梦想是成为一名医生。	My childhood dream was to become a doctor.
把手	她用力拧动门把手。	She twisted the door handle hard.	这个把手很容易松动。	This handle is easy to loosen.	他抓住椅子的把手站了起来。	He grabbed the chair's armrest and stood up.
草	这片草地很适合野餐。	This grassland is perfect for a picnic.	小狗在草地上追逐玩耍。	The puppy frolics on the grass.	他躺在草地上看云彩。	He lies on the grass and watches the clouds.
打扫	我每周都会打扫房间。	I clean the room every week.	她正在打扫厨房。	She is cleaning the kitchen.	我们需要打扫车库。	We need to clean the garage.
学校	我每天都要去学校上课。	I go to school for classes every day.	这所学校有很大的操场。	This school has a very large playground.	学校里有很多老师和学生。	There are many teachers and students in the school.
吃	你吃饭了吗？	Have you eaten?	他不吃肉，只吃蔬菜。	He doesn't eat meat, only vegetables.	我饿了，想吃点东西。	I'm hungry and want to eat something.
保姆	我们家雇了一个保姆。	We hired a nanny for our home.	她是一名专业的保姆。	She is a professional nanny.	保姆负责照顾孩子的生活起居。	The nanny is responsible for taking care of the child's daily life.
查	我需要查一下火车时刻表。	I need to check the train schedule.	请你帮我查一下这个单词的意思。	Can you help me look up the meaning of this word?	我查了一下天气预报，明天会下雨。	I checked the weather forecast, it will rain tomorrow.
不再	他不再是以前的他了。	He is no longer the same as before.	我不再相信他的话了。	I no longer believe what he says.	这个问题不再是难题了。	This problem is no longer difficult.
打折	这家商店在打折。	This store is having a discount.	他们经常打折促销。	They often have discount promotions.	这件衣服打了几折？	How much discount is there on this piece of clothing?
悲哀	他的离去让人感到悲哀。	His departure is sorrowful.	她的眼神充满了悲哀。	Her eyes are full of sorrow.	这个故事让人感到悲哀。	This story is sorrowful.
不仅仅	这个问题不仅仅影响我们，还影响其他人。	This problem not only affects us, but also affects others.	她不仅仅是一名老师，还是一位作家。	She is not only a teacher, but also a writer.	这个节目不仅仅有音乐，还有舞蹈。	This program not only has music, but also dance.
水果	我每天都吃水果。	I eat fruit every day.	这个超市有很多种水果。	This supermarket has many kinds of fruit.	水果对健康很重要。	Fruit is very important for health.
衬衣	他穿着一件白色的衬衣。	He is wearing a white shirt.	这件衬衣很合身。	This shirt fits well.	她喜欢穿蓝色的衬衣。	She likes to wear blue shirts.
问	你可以问他一下。	You can ask him.	我想问你一个问题。	I want to ask you a question.	他问了一个很有意思的问题。	He asked a very interesting question.
涂防晒霜	出门前要记得涂防晒霜。	Remember to apply sunscreen before going out.	她每天都会涂防晒霜。	She applies sunscreen every day.	涂防晒霜可以保护皮肤。	Applying sunscreen can protect the skin.
敌人	他们是我们的敌人。	They are our enemies.	在战争中，敌人是不可小视的。	In war, the enemy is not to be underestimated.	他把失败视为自己的敌人。	He regards failure as his enemy.
