我	wǒ	/I; me; my/
千	qiān	/see 鞦韆|秋千[qiu1 qian1]/
第一	dìyī	/first/number one/primary/
次	cì	/next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time/
件	jiàn	/item/component/classifier for events, things, clothes etc/
别	bié	/to make sb change their ways, opinions etc/
非常	fēicháng	/very; really/unusual; extraordinary/
也	yě	/(adverb) also; both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]/
还	hái	/to pay back/to return/
最	zuì	/most/the most/-est (superlative suffix)/
真	zhēn	/really/truly/indeed/real/true/genuine/
正在	zhèngzài	/just at (that time)/right in (that place)/right in the middle of (doing sth)/
已经	yǐjīng	/already/
一起	yìqǐ	/in the same place/together/with/altogether (in total)/
再	zài	/again; once more; re-/second; another/then (after sth, and not until then)/no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)/
就	jiǜ	/(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be .../
因为……所以……	yīnwèi…suǒyǐ…	because…so…
虽然……但是……	suīrán…dànshì…	although… but…
从	cóng	/from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor/
比	bǐ	/to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)/
往	wǎng	/old variant of 往[wang3]/
离	lí	/to leave/to part from/to be away from/(in giving distances) from/without (sth)/independent of/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire/☲/
得	de	/to have to/must/ought to/to need to/
着	zhe	/to wear (clothes)/to contact/to use/to apply/
过	guò	/(experienced action marker)/
吧	ba	/(onom.) smack!/
机场	jīchǎng	/airport; airfield/(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship/CL:家[jia1],處|处[chu4]/
教室	jiàoshì	/classroom/CL:間|间[jian1]/
房间	fángjiān	/room/CL:間|间[jian1],個|个[ge4]/
路	lù	/road (CL:條|条[tiao2])/journey/route/line (bus etc)/sort; kind/
左边	zuǒbiān	/left/the left side/to the left of/
右边	yòubiān	/right side/right, to the right/
外	wài	/outside/in addition/foreign/external/
旁边	pángbiān	/side; adjacent place/
一下	yīxià	/(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once/
早上	zǎoshàng	/early morning/CL:個|个[ge4]/
晚上	wǎnshàng	/evening/night/CL:個|个[ge4]/in the evening/
小时	xiǎoshí	/hour/CL:個|个[ge4]/
时间	shíjiān	/(concept of) time/(duration of) time/(point in) time/
去年	qùnián	/last year/
日	rì	/sun/day/date, day of the month/
生日	shēngrì	/birthday/CL:個|个[ge4]/
哥哥	gēge	/older brother/CL:個|个[ge4],位[wei4]/
姐姐	jiějie	/older sister/CL:個|个[ge4]/
弟弟	dìdi	/younger brother/CL:個|个[ge4],位[wei4]/
妹妹	mèimei	/younger sister/young woman/CL:個|个[ge4]/
丈夫	zhàngfu	/husband/CL:個|个[ge4]/
妻子	qīzi	/wife/CL:個|个[ge4]/
孩子	háizi	/child/
男人	nánrén	/a man/a male/men/CL:個|个[ge4]/
女人	nǚrén	/wife/
服务员	fúwùyuán	/waiter/waitress/attendant/customer service personnel/CL:個|个[ge4],位[wei4]/
鱼	yú	/fish/CL:條|条[tiao2],尾[wei3]/
羊肉	yángròu	/mutton/goat meat/
牛奶	niúnǎi	/cow's milk/CL:瓶[ping2],杯[bei1]/
鸡蛋	jīdàn	/(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]/
西瓜	xīguā	/watermelon/CL:顆|颗[ke1],個|个[ge5]/
咖啡	kāfēi	/coffee (loanword)/CL:杯[bei1]/
雪	xuě	/snow/CL:場|场[chang2]/(literary) to wipe away (a humiliation etc)/
药	yào	/medicine/drug/substance used for a specific purpose (e.g. poisoning, explosion, fermenting)/CL:種|种[zhong3],服[fu4],味[wei4]/to poison/
手机	shǒujī	/cell phone/mobile phone/CL:部[bu4],支[zhi1]/
手表	shǒubiǎo	/wristwatch/CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]/
眼睛	yǎnjīng	/eye/CL:隻|只[zhi1],雙|双[shuang1]/
身体	shēntǐ	/the body/one's health/
公共汽车	gōnggòngqìchē	/bus/CL:輛|辆[liang4],班[ban1]/
报纸	bàozhǐ	/newspaper/newsprint/CL:份[fen4],期[qi1],張|张[zhang1]/
门	mén	/gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)/
题	tí	/topic/problem for discussion/exam question/subject/to inscribe/to mention/CL:個|个[ge4],道[dao4]/
课	kè	/subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination/
姓	xìng	/family name/surname/CL:個|个[ge4]/to be surnamed/
问题	wèntí	/question/problem/issue/topic/CL:個|个[ge4]/
事情	shìqing	/affair; matter; thing; business/CL:件[jian4],樁|桩[zhuang1]/
考试	kǎoshì	/to take an exam/exam/CL:次[ci4]/
票	piào	/ticket/ballot/banknote/CL:張|张[zhang1]/person held for ransom/amateur performance of Chinese opera/classifier for groups, batches, business transactions/
意思	yìsi	/idea/opinion/meaning/wish/desire/interest/fun/token of appreciation, affection etc/CL:個|个[ge4]/to give as a small token/to do sth as a gesture of goodwill etc/
颜色	yánsè	/color/countenance/appearance/facial expression/pigment/dyestuff/
铅笔	qiánbǐ	/(lead) pencil/CL:支[zhi1],枝[zhi1],桿|杆[gan3]/
面条	miàntiáo	/noodles/
火车站	huǒchēzhàn	/train station/
公司	gōngsī	/company; firm; corporation/CL:家[jia1]/
宾馆	bīngguǎn	/guesthouse/lodge/hotel/CL:個|个[ge4],家[jia1]/
说话	shuōhuà	/to speak/to say/to talk/to gossip/to tell stories/talk/word/
卖	mài	/to sell/to betray/to spare no effort/to show off or flaunt/
问	wèn	/to ask; to inquire/
走	zǒu	/to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)/
进	jìn	/to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound/
出	chū	/variant of 出[chu1] (classifier for plays or chapters of classical novels)/
跑步	pǎobù	/to run/to jog/(military) to march at the double/
到	dào	/to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough/
穿	chuān	/to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread/
洗	xǐ	/to wash; to bathe/to develop (photographs)/to shuffle (cards etc)/to erase (a recording)/
给	gěi	/to supply/to provide/
找	zhǎo	/to try to find/to look for/to call on sb/to find/to seek/to return/to give change/
懂	dǒng	/to understand/to comprehend/
笑	xiào	/to laugh; to smile/to laugh at/
告诉	gàosù	/to tell; to inform; to let know/
准备	zhǔnbèi	/preparation/to prepare/to intend/to be about to/reserve (fund)/
开始	kāishǐ	/to begin/beginning/to start/initial/CL:個|个[ge4]/
介绍	jièshào	/to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction/
帮助	bāngzhù	/assistance; aid/to help; to assist/
玩	wán	/variant of 玩[wan2]/Taiwan pr. [wan4]/
送	sòng	/to send; to deliver; to transmit/to give (as a present)/to see (sb) off/to accompany; to go along with/
等	děng	/to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)/
让	ràng	/to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)/by (indicates the agent in a passive clause, like 被[bei4])/
起床	qǐchuáng	/to get out of bed; to get up/
唱歌	chànggē	/to sing a song/
跳舞	tiàowǔ	/to dance/
旅游	lǚyóu	/trip/journey/tourism/travel/tour/to travel/
上班	shàngbān	/to go to work/to be on duty/to start work/to go to the office/
生病	shēngbìng	/to fall ill/
休息	xiūxi	/rest/to rest/
运动	yùndòng	/to move/to exercise/sports/exercise/motion/movement/campaign/CL:場|场[chang3]/
游泳	yóuyǒng	/swimming/to swim/
踢足球	tīzúqiú	play footbal
打篮球	dǎlánqiú	play basketball
完	wán	/to finish/to be over/whole/complete/entire/
觉得	juédé	/to think that ...; to feel that .../to feel (uncomfortable etc)/
知道	zhīdao	/to know; to become aware of/also pr. [zhi1 dao5]/
希望	xīwàng	/to hope/a hope; a wish (CL:個|个[ge4])/
可以	kěyǐ	/can/may/possible/able to/not bad/pretty good/
要	yào	/to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important/
可能	kěnéng	/might (happen)/possible/probable/possibility/probability/maybe/perhaps/CL:個|个[ge4]/
高	gāo	/high/tall/above average/loud/your (honorific)/
红	hóng	/red/popular/revolutionary/bonus/
白	bái	/white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera/
黑	hēi	/black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)/
忙	máng	/busy/hurriedly/to hurry/to rush/
快	kuài	/rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant/
慢	màn	/slow/
远	yuǎn	/to distance oneself from (classical)/
近	jìn	/near/close to/approximately/
好吃	hǎochī	/to be fond of eating/to be gluttonous/
累	lèi	/rope/to bind together/to twist around/
长	cháng	/chief/head/elder/to grow/to develop/to increase/to enhance/
新	xīn	/new/newly/meso- (chemistry)/
贵	guì	/expensive/(bound form) highly valued; precious/(bound form) noble; of high rank/(prefix) (honorific) your/
便宜	piányi	/cheap; inexpensive/a petty advantage/to let sb off lightly/
晴	qíng	/clear/fine (weather)/
阴	yīn	/variant of 陰|阴[yin1]/
错	cuò	/mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver/
快乐	kuàilè	/happy; joyful/
对	duì	/right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair/
对	duì	/right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair/
阿姨	āyí	/maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[ge4]/
啊	a	/modal particle ending sentence, showing affirmation, approval, or consent/
矮	ǎi	/low/short (in length)/
爱好	àihào	/to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]/
安静	ānjìng	/quiet/peaceful/calm/
把	bǎ	/handle/
班	bān	/team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles/
搬	bān	/to move (i.e. relocate oneself)/to move (sth relatively heavy or bulky)/to shift/to copy indiscriminately/
半	bàn	/half/semi-/incomplete/(after a number) and a half/
办法	bànfǎ	/means/method/way (of doing sth)/CL:條|条[tiao2],個|个[ge4]/
办公室	bàngōngshì	/office/business premises/bureau/CL:間|间[jian1]/
帮忙	bāngmáng	/to help/to lend a hand/to do a favor/to do a good turn/
包	bāo	/to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]/
饱	bǎo	/to eat till full/satisfied/
北方	běifāng	/north/the northern part a country/China north of the Yellow River/
被	bèi	/quilt/to cover (with)/(literary) to suffer (a misfortune)/used to indicate passive voice (placed before the doer of the action like "by" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)/(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3 you2] to "go on a trip", for example)/
鼻子	bízi	/nose/CL:個|个[ge4],隻|只[zhi1]/
比较	bǐjiào	/to compare/to contrast/comparatively/relatively/quite/comparison/
比赛	bǐsài	/competition (sports etc)/match/CL:場|场[chang3],次[ci4]/to compete/
笔记本	bǐjìběn	/notebook (stationery)/CL:本[ben3]/notebook (computing)/
必须	bìxū	/to have to/must/compulsory/necessarily/
变化	biànhuà	/(intransitive) to change; to vary/change; variation/CL:個|个[ge4]/
别人	biéren	/other people; others; other person/
冰箱	bīngxiāng	/refrigerator/(old) icebox/
菜单	càidān	/menu/CL:份[fen4],張|张[zhang1]/
参加	cānjiā	/to participate/to take part/to join/
草	cǎo	/variant of 肏[cao4]/
层	céng	/to pile on top of one another/layer; stratum/floor (of a building); story/(math.) sheaf/classifier for layers/
差	chà	/used in 參差|参差[cen1 ci1]/
超市	chāoshì	/supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]/
衬衫	chènshān	/shirt/blouse/CL:件[jian4]/
成绩	chéngjì	/achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]/
城市	chéngshì	/city; town/CL:座[zuo4]/
迟到	chídào	/to arrive late/
除了	chúle	/besides/apart from (... also...)/in addition to/except (for)/
船	chuán	/boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]/
春	chūn	/spring (season)/gay/joyful/youthful/love/lust/life/
词典	cídiǎn	/dictionary/also written 辭典|辞典[ci2 dian3]/CL:部[bu4],本[ben3]/
聪明	cōngming	/intelligent; clever; bright/acute (of sight and hearing)/
打扫	dǎsǎo	/to clean/to sweep/
打算	dǎsuàn	/to plan/to intend/to calculate/plan/intention/calculation/CL:個|个[ge4]/
带	dài	/band/belt/girdle/ribbon/tire/area/zone/region/CL:條|条[tiao2]/to wear/to carry/to take along/to bear (i.e. to have)/to lead/to bring/to look after/to raise/
担心	dānxīn	/anxious/worried/uneasy/to worry/to be anxious/
蛋糕	dàngāo	/cake/CL:塊|块[kuai4],個|个[ge4]/
当然	dāngrán	/only natural/as it should be/certainly/of course/without doubt/
地	de	/earth/ground/field/place/land/CL:片[pian4]/
灯	dēng	/lamp/light/lantern/CL:盞|盏[zhan3]/
地方	dìfang	/area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]/
地铁	dìtiě	/underground railway; subway/subway train/
地图	dìtú	/map/CL:張|张[zhang1],本[ben3]/
电梯	diàntī	/elevator/escalator/CL:臺|台[tai2],部[bu4]/
电子邮件	diànzǐyóujiàn	/email/CL:封[feng1],份[fen4]/
东	dōng	/east/host (i.e. sitting on east side of guest)/landlord/
冬	dōng	/(onom.) beating a drum/rat-a-tat/
动物	dòngwù	/animal/CL:隻|只[zhi1],群[qun2],個|个[ge4]/
短	duǎn	/short/brief/to lack/weak point/fault/
段	duàn	/paragraph/section/segment/stage (of a process)/classifier for stories, periods of time, lengths of thread etc/
锻炼	duànliàn	/to toughen/to temper/to engage in physical exercise/to work out/(fig.) to develop one's skills/to train oneself/
