爱情	àiqíng	/romance; love (romantic)/CL:份[fen4]/
大使馆	dàshǐguǎn	/embassy/CL:座[zuo4],個|个[ge4]/
大约	dàyuē	/approximately/probably/
戴	dài	/to put on or wear (glasses, hat, gloves etc)/to respect/to bear/to support/
大夫	dàifu	/doctor/physician/
当	dāng	/at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)/
当时	dāngshí	/at once/right away/
刀	dāo	/knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs/
导游	dǎoyóu	/tour guide/guidebook/to conduct a tour/
倒	dào	/to invert; to place upside down or frontside back/to pour out/to tip out; to dump/inverted; upside down; reversed/to go backward/contrary to what one might expect; but; yet/
到处	dàochù	/everywhere/
到底	dàodǐ	/finally/in the end/when all is said and done/after all/to the end/to the last/
道歉	dàoqiàn	/to apologize/
得意	déyì	/proud of oneself/pleased with oneself/complacent/
地点	dìdiǎn	/place/site/location/venue/CL:個|个[ge4]/
得（助动词）	děi	have to
登机牌	dēngjīpái	/boarding pass/
等 （动）	děng	wait (verb)
低	dī	/low/beneath/to lower (one's head)/to let droop/to hang down/to incline/
底	dǐ	/background/bottom/base/end (of the month, year etc)/remnants/(math.) radix/base/
地球	dìqiú	/the earth/CL:個|个[ge4]/
地址	dìzhǐ	/address/CL:個|个[ge4]/
掉	diào	/to fall/to drop/to lag behind/to lose/to go missing/to reduce/fall (in prices)/to lose (value, weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion, fulfillment, removal etc)/
调查	diàochá	/investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]/
丢	diū	/to lose/to put aside/to throw/
动作	dòngzuò	/movement; motion; action (CL:個|个[ge4])/to act; to move/
堵车	dǔchē	/traffic jam/(of traffic) to get congested/
肚子	dùzi	/belly/abdomen/stomach/CL:個|个[ge4]/
短信	duǎnxìn	/text message/SMS/
对于	duìyú	/regarding; as far as (sth) is concerned; with regard to/
对话	duìhuà	/to talk (with sb)/dialogue; conversation/
对面	duìmiàn	/(sitting) opposite/across (the street)/directly in front/to be face to face/
而	ér	/and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)/
儿童	értóng	/child/CL:個|个[ge4]/
发生	fāshēng	/to happen; to occur; to take place; to break out/
发展	fāzhǎn	/development/growth/to develop/to grow/to expand/
法律	fǎlǜ	/law/CL:條|条[tiao2], 套[tao4], 個|个[ge4]/
翻译	fānyì	/to translate/to interpret/translator/interpreter/translation/interpretation/CL:個|个[ge4],位[wei4],名[ming2]/
烦恼	fánnǎo	/to be worried/to be distressed/worries/
反对	fǎnduì	/to oppose; to be against; to object to/
方法	fāngfǎ	/method; way; means/CL:個|个[ge4]/
方面	fāngmiàn	/respect/aspect/field/side/CL:個|个[ge4]/
方向	fāngxiàng	/direction; orientation/CL:個|个[ge4]/
房东	fángdōng	/landlord/
放弃	fàngqì	/to renounce; to abandon; to give up/
放暑假	fàngshǔjià	/to be on summer vacation/
放松	fàngsōng	/to relax; to slacken; to loosen/
份	fèn	/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/variant of 分[fen4]/
丰富	fēngfù	/to enrich/rich/plentiful/abundant/
否则	fǒuzé	/otherwise; if not; or (else)/
符合	fúhé	/in keeping with/in accordance with/tallying with/in line with/to agree with/to accord with/to conform to/to correspond with/to manage/to handle/
富	fù	/rich/abundant/wealthy/
付款	fùkuǎn	/to pay a sum of money/payment/
父亲	fùqīn	/father/also pr. [fu4 qin5]/CL:個|个[ge4]/
复印	fùyìn	/to photocopy/to duplicate a document/
复杂	fùzá	/complicated; complex/
负责	fùzé	/to be responsible for; to be in charge of; to bear responsibility for/conscientious/
改变	gǎibiàn	/to change/to alter/to transform/
干杯	gānbēi	/to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup/
赶	gǎn	/to overtake; to catch up with/to hurry; to rush/to try to catch (the bus etc)/to drive (cattle etc) forward; to drive (sb) away/to avail oneself of (an opportunity)/until; by (a certain time)/
敢	gǎn	/to dare/daring/(polite) may I venture/
感动	gǎndòng	/to move (sb)/to touch (sb emotionally)/moving/
感觉	gǎnjué	/feeling; impression; sensation/to feel; to perceive/
感情	gǎnqíng	/emotion; sentiment/affection; feelings between two persons/CL:個|个[ge4],種|种[zhong3]/
感谢	gǎnxiè	/(express) thanks/gratitude/grateful/thankful/thanks/
干	gān	/tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed/
刚	gāng	/hard/firm/strong/just/barely/exactly/
高速公路	gāosùgōnglù	/expressway; highway; freeway/
胳膊	gēbo	/arm/CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]/
各	gè	/each/every/
公里	gōnglǐ	/kilometer/
工资	gōngzī	/wages; pay/CL:個|个[ge4],份[fen4]/
功夫	gōngfu	/skill/art/kung fu/labor/effort/
共同	gòngtóng	/common/joint/jointly/together/collaborative/
够	gòu	/enough (sufficient)/enough (too much)/(coll.) (before adj.) really/(coll.) to reach by stretching out/
购物	gòuwù	/shopping/
估计	gūjì	/to estimate; to assess; to calculate/(coll.) to reckon; to think (that ...)/
鼓励	gǔlì	/to encourage/
顾客	gùkè	/customer; client/CL:位[wei4]/
故意	gùyì	/deliberately; on purpose/
挂	guà	/to hang; to suspend (from a hook etc)/to hang up (the phone)/(of a line) to be dead/to be worried; to be concerned/(dialect) to make a phone call/to register (at a hospital); to make an appointment (with a doctor)/(slang) to kill; to die; to be finished; to fail (an exam)/classifier for sets or clusters of objects/
关键	guānjiàn	/crucial point/crux/CL:個|个[ge4]/key/crucial/pivotal/
观众	guānzhòng	/spectators; audience; visitors (to an exhibition etc)/
管理	guǎnlǐ	/to supervise/to manage/to administer/management/administration/CL:個|个[ge4]/
光	guāng	/light; ray (CL:道[dao4])/bright; shiny/only; merely/used up; finished/to leave (a part of the body) uncovered/
广播	guǎngbō	/broadcast/CL:個|个[ge4]/broadcasting/to broadcast/(formal) to propagate/to publicize/
广告	guǎnggào	/to advertise/a commercial/advertisement/CL:項|项[xiang4]/
逛	guàng	/to stroll/to visit/
规定	guīdìng	/to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)/regulations; rules; provisions; stipulations/
国际	guójì	/international/
国籍	guójí	/nationality/
果汁	guǒzhī	/fruit juice/
过程	guòchéng	/course of events/process/CL:個|个[ge4]/
海洋	hǎiyáng	/ocean/CL:個|个[ge4]/
害羞	hàixiū	/shy/embarrassed/bashful/
寒假	hánjià	/winter vacation/
汗	hàn	/perspiration/sweat/CL:滴[di1],頭|头[tou2],身[shen1]/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)/
航班	hángbān	/(scheduled) flight; (scheduled) sailing/
好处	hǎochù	/benefit; advantage; merit/gain; profit/also pr. [hao3 chu4]/
好像	hǎoxiàng	/as if/to seem like/
号码	hàomǎ	/number/CL:堆[dui1],個|个[ge4]/
合格	hégé	/to meet the standard required/qualified/eligible (voter etc)/
合适	héshì	/suitable; fitting; appropriate/
盒子	hézi	/box/case/
厚	hòu	/thick/deep or profound/kind/generous/rich or strong in flavor/to favor/to stress/
后悔	hòuhuǐ	/to regret; to feel remorse/
护士	hùshi	/nurse/CL:個|个[ge4]/
互联网	hùliánwǎng	/Internet/
互相	hùxiāng	/each other/mutually/mutual/
怀疑	huáiyí	/to doubt (sth); to be skeptical of/to have one's doubts; to harbor suspicions; to suspect that/
回忆	huíyì	/to recall/memories/CL:個|个[ge4]/
活动	huódòng	/to exercise/to move about/to operate/to use connections (personal influence)/loose/shaky/active/movable/activity/campaign/maneuver/behavior/CL:項|项[xiang4],個|个[ge4]/
活泼	huópō	/lively/vivacious/brisk/active/(chemistry) reactive/
火	huǒ	/fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86/
获得	huòdé	/to obtain; to receive; to get/
基础	jīchǔ	/base; foundation; basis/basic; fundamental/
激动	jīdòng	/to move emotionally/to stir up (emotions)/to excite/
积极	jījí	/active/energetic/vigorous/positive (outlook)/proactive/
积累	jīlěi	/to accumulate/accumulation/cumulative/cumulatively/
及时	jíshí	/timely; at the right time/promptly; without delay/
即使	jíshǐ	/even if; even though/
寄	jì	/to send/to mail/to entrust/to depend on/to attach oneself to/to live (in a house)/to lodge/foster (son etc)/
记者	jìzhě	/reporter; journalist/CL:個|个[ge4]/
计划	jìhuà	/plan/project/program/to plan/to map out/CL:個|个[ge4],項|项[xiang4]/
既然	jìrán	/since; as; this being the case/
技术	jìshù	/technology; technique; skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]/
继续	jìxù	/to continue; to proceed with; to go on with/
家具	jiājù	/furniture/CL:件[jian4],套[tao4]/
加班	jiābān	/to work overtime/
加油站	jiāyóuzhàn	/gas station/
假	jiǎ	/variant of 假[jia3]/to borrow/
价格	jiàgé	/price/CL:個|个[ge4]/
坚持	jiānchí	/to persevere with/to persist in/to insist on/
减肥	jiǎnféi	/to lose weight/
减少	jiǎnshǎo	/to lessen; to decrease; to reduce; to lower/
建议	jiànyì	/to propose; to suggest; to recommend/proposal; suggestion; recommendation/CL:個|个[ge4],點|点[dian3]/
将来	jiānglái	/in the future/future/the future/CL:個|个[ge4]/
奖金	jiǎngjīn	/premium/award money/bonus/
降低	jiàngdī	/to reduce; to lower; to bring down/
降落	jiàngluò	/to descend/to land/
交	jiāo	/to hand over; to deliver; to pay (money); to turn over/to make friends/(of lines) to intersect/variant of 跤[jiao1]/
交流	jiāoliú	/to exchange/exchange/communication/interaction/to have social contact (with sb)/
交通	jiāotōng	/to be connected/traffic/transportation/communications/liaison/
郊区	jiāoqū	/suburban district; outskirts; suburbs/
骄傲	jiāo’ào	/pride/arrogance/conceited/proud of sth/
饺子	jiǎozi	/dumpling/pot-sticker/CL:個|个[ge4],隻|只[zhi1]/
教授	jiàoshòu	/professor/to instruct/to lecture on/CL:個|个[ge4],位[wei4]/
教育	jiàoyù	/to educate/to teach/education/
接受	jiēshòu	/to accept (a suggestion, punishment, bribe etc); to acquiesce/
接着	jiēzhe	/to catch and hold on/to continue/to go on to do sth/to follow/to carry on/then/after that/subsequently/to proceed/to ensue/in turn/in one's turn/
结果	jiéguǒ	/outcome/result/conclusion/in the end/as a result/to kill/to dispatch/
节	jié	/joint; node/(bound form) section; segment/solar term (one of the 24 divisions of the year in the traditional Chinese calendar)/seasonal festival/(bound form) to economize; to save/(bound form) moral integrity; chastity/classifier for segments: lessons, train wagons, biblical verses etc/knot (nautical miles per hour)/
节约	jiéyuē	/to economize/to conserve (resources)/economy/frugal/
解释	jiěshì	/explanation/to explain/to interpret/to resolve/CL:個|个[ge4]/
尽管	jǐnguǎn	/despite/although/even though/in spite of/unhesitatingly/do not hesitate (to ask, complain etc)/(go ahead and do it) without hesitating/
紧张	jǐnzhāng	/nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]/
进行	jìnxíng	/to advance/to conduct/underway/in progress/to do/to carry out/to carry on/to execute/
禁止	jìnzhǐ	/to prohibit/to forbid/to ban/
精彩	jīngcǎi	/wonderful/marvelous/brilliant/
经济	jīngjì	/economy/economic/
经历	jīnglì	/experience/CL:個|个[ge4],次[ci4]/to experience/to go through/
经验	jīngyàn	/experience/to experience/
京剧	jīngjù	/Beijing opera/CL:場|场[chang3],齣|出[chu1]/
警察	jǐngchá	/police; police officer/
景色	jǐngsè	/scenery/scene/landscape/view/
竟然	jìngrán	/unexpectedly/to one's surprise/in spite of everything/in that crazy way/actually/to go as far as to/
竞争	jìngzhēng	/to compete/competition/
镜子	jìngzi	/mirror/CL:面[mian4],個|个[ge4]/
究竟	jiūjìng	/to go to the bottom of a matter/after all/when all is said and done/(in an interrogative sentence) finally/outcome/result/
举	jǔ	/to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect/act/move/deed/
举办	jǔbàn	/to conduct/to hold/
举行	jǔxíng	/to hold (a meeting, ceremony etc)/
拒绝	jùjué	/to refuse; to decline; to reject/
距离	jùlí	/distance/CL:個|个[ge4]/to be apart from/
聚会	jùhuì	/party/gathering/to meet/to get together/
开玩笑	kāiwánxiào	/to play a joke; to make fun of; to joke/
开心	kāixīn	/to feel happy/to rejoice/to have a great time/to make fun of sb/
看法	kànfǎ	/way of looking at a thing/view/opinion/CL:個|个[ge4]/
考虑	kǎolǜ	/to think over/to consider/consideration/
烤鸭	kǎoyā	/roast duck/
棵	kē	/classifier for trees, cabbages, plants etc/
科学	kēxué	/science/scientific knowledge/scientific/rational/CL:門|门[men2],個|个[ge4],種|种[zhong3]/
咳嗽	késou	/to cough/CL:陣|阵[zhen4]/
可怜	kělián	/pitiful/pathetic/to have pity on/
可是	kěshì	/but; however/(used for emphasis) indeed/
可惜	kěxī	/it is a pity/what a pity/unfortunately/
客厅	kètīng	/drawing room (room for arriving guests)/living room/CL:間|间[jian1]/
肯定	kěndìng	/to be certain; to be positive/assuredly; definitely/to give recognition; to affirm/affirmative (answer)/
空	kōng	/to empty/vacant/unoccupied/space/leisure/free time/
空气	kōngqì	/air/atmosphere/
恐怕	kǒngpà	/fear/to dread/I'm afraid that.../perhaps/maybe/
苦	kǔ	/bitter/hardship/pain/to suffer/to bring suffering to/painstakingly/
矿泉水	kuàngquánshuǐ	/mineral water/CL:瓶[ping2],杯[bei1]/
困	kùn	/sleepy/tired/
困难	kùnnan	/difficult/challenging/straitened circumstances/difficult situation/
拉	lā	/to pull/to play (a bowed instrument)/to drag/to draw/to chat/(coll.) to empty one's bowels/
垃圾桶	lājītǒng	/rubbish bin/trash can/garbage can/Taiwan pr. [le4 se4 tong3]/
辣	là	/hot (spicy)/pungent/(of chili pepper, raw onions etc) to sting/to burn/
来自	láizì	/to come from (a place)/From: (in email header)/
来不及	láibují	/there's not enough time (to do sth)/it's too late (to do sth)/
来得及	láidejí	/to have enough time; can do it in time; can still make it/
懒	lǎn	/lazy/
浪费	làngfèi	/to waste/to squander/
浪漫	làngmàn	/romantic/
老虎	lǎohǔ	/tiger/CL:隻|只[zhi1]/
冷静	lěngjìng	/calm; cool-headed; dispassionate/(of a place) deserted; quiet/
理发	lǐfà	/to get a haircut; to have one's hair done/to cut (sb's) hair; to give (sb) a haircut/
理解	lǐjiě	/to comprehend; to understand/
理想	lǐxiǎng	/an ideal/a dream/ideal/perfect/
礼貌	lǐmào	/courtesy; politeness; manners/courteous; polite/
礼拜天	lǐbàitiān	/Sunday/
厉害	lìhai	/(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding/(of a person) stern; strict; harsh; shrewd; tough/(of an animal) fierce/(of a resemblance) striking/(of liquor or chili pepper) strong/(of bacteria) virulent/
力气	lìqi	/strength/CL:把[ba3]/
例如	lìrú	/for example; for instance; such as/
俩	liǎ	/used in 伎倆|伎俩[ji4 liang3]/
连	lián	/to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)/
联系	liánxì	/connection/contact/relation/to get in touch with/to integrate/to link/to touch/
凉快	liángkuai	/nice and cold/pleasantly cool/
零钱	língqián	/change (of money)/small change/pocket money/
另外	lìngwài	/additional/in addition/besides/separate/other/moreover/furthermore/
留	liú	/old variant of 留[liu2]/
流利	liúlì	/fluent/
流行	liúxíng	/(of a contagious disease etc) to spread/to propagate/(of a style of clothing, song etc) popular/fashionable/
乱	luàn	/in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary/
旅行	lǚxíng	/to travel/journey; trip/CL:趟[tang4],次[ci4]/
律师	lǜshī	/lawyer/
麻烦	máfan	/trouble; inconvenience/inconvenient; troublesome; annoying/to bother sb; to put sb to trouble/
马虎	mǎhu	/careless/sloppy/negligent/skimpy/
满	mǎn	/to fill/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented/
毛	máo	/hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])/
毛巾	máojīn	/towel/CL:條|条[tiao2]/
美丽	měilì	/beautiful/
梦	mèng	/dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream/
迷路	mílù	/to lose the way/lost/labyrinth/labyrinthus vestibularis (of the inner ear)/
密码	mìmǎ	/cipher; secret code/password; PIN/
免费	miǎnfèi	/free (of charge)/
秒	miǎo	/second (unit of time)/arc second (angular measurement unit)/(coll.) instantly/
民族	mínzú	/nationality; ethnic group/CL:個|个[ge4]/
母亲	mǔqīn	/mother/also pr. [mu3 qin5]/CL:個|个[ge4]/
目的	mùdì	/purpose; aim; goal; target; objective/CL:個|个[ge4]/
耐心	nàixīn	/to be patient/patience/
难道	nándào	/don't tell me .../could it be that...?/
难受	nánshòu	/to feel unwell/to suffer pain/to be difficult to bear/
内	nèi	/inside/inner/internal/within/interior/
内容	nèiróng	/content/substance/details/CL:個|个[ge4],項|项[xiang4]/
能力	nénglì	/capability/ability/CL:個|个[ge4]/
年龄	niánlíng	/(a person's) age/CL:把[ba3],個|个[ge4]/
弄	nòng	/variant of 弄[long4]/
暖和	nuǎnhuo	/warm/nice and warm/
偶尔	ǒu’ěr	/occasionally/once in a while/sometimes/
排队	páiduì	/to line up/
排列	páiliè	/to arrange in order/(math.) permutation/
判断	pànduàn	/to judge/to determine/judgment/
陪	péi	/to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]/
批评	pīpíng	/to criticize; criticism/CL:次[ci4],番[fan1]/
皮肤	pífū	/skin/CL:層|层[ceng2],塊|块[kuai4]/
脾气	píqi	/character; temperament; disposition/bad temper/CL:股[gu3]/
篇	piān	/sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article/
骗	piàn	/to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over/
乒乓球	pīngpāngqiú	/table tennis/ping-pong/table tennis ball/CL:個|个[ge4]/
平时	píngshí	/ordinarily/in normal times/in peacetime/
破	pò	/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of/
葡萄	pútao	/grape/
普遍	pǔbiàn	/universal/general/widespread/common/
普通话	pǔtōnghuà	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech/
其次	qícì	/next/secondly/
其中	qízhōng	/among/in/included among these/
气候	qìhòu	/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]/
千万	qiānwàn	/ten million/countless/many/one must by all means/
签证	qiānzhèng	/visa/to issue a visa/
敲	qiāo	/to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge/
桥	qiáo	/bridge/CL:座[zuo4]/
巧克力	qiǎokèlì	/chocolate (loanword)/CL:塊|块[kuai4]/
亲戚	qīnqi	/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]/
轻	qīng	/light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage/
轻松	qīngsōng	/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
情况	qíngkuàng	/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]/
穷	qióng	/poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly/
区别	qūbié	/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]/
取	qǔ	/to take/to get/to choose/to fetch/
全部	quánbù	/whole; all/
缺点	quēdiǎn	/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]/
缺少	quēshǎo	/lack/shortage of/shortfall/to be short (of)/to lack/
却	què	/but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/
确实	quèshí	/indeed/really/reliable/real/true/
然而	rán’ér	/however; but; yet/
热闹	rènao	/bustling with noise and excitement/lively/
任何	rènhé	/any; whatever; whichever/
任务	rènwu	/mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]/
扔	rēng	/to throw/to throw away/
仍然	réngrán	/still; as before; yet/
日记	rìjì	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
入口	rùkǒu	/entrance/to import/
散步	sànbù	/to take a walk; to go for a walk/
森林	sēnlín	/forest/CL:片[pian4]/
沙发	shāfā	/sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post/
商量	shāngliang	/to consult/to talk over/to discuss/
伤心	shāngxīn	/to grieve/to be broken-hearted/to feel deeply hurt/
稍微	shāowēi	/a little bit/
勺子	sháozi	/scoop/ladle/CL:把[ba3]/
社会	shèhuì	/society/CL:個|个[ge4]/
深	shēn	/deep (lit. and fig.)/
申请	shēnqǐng	/to apply for sth/application form (CL:份[fen4])/
甚至	shènzhì	/even; so much so that/
生活	shēnghuó	/to live/life/livelihood/
生命	shēngmìng	/life (as the characteristic of living beings)/living being; creature (CL:個|个[ge4],條|条[tiao2])/
生意	shēngyi	/business/CL:筆|笔[bi3]/
省	shěng	/(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders)/
剩	shèng	/to remain/to be left/to have as remainder/
失败	shībài	/to be defeated/to lose/to fail (e.g. experiments)/failure/defeat/CL:次[ci4]/
失望	shīwàng	/disappointed/to lose hope/to despair/
师傅	shīfu	/master/qualified worker/respectful form of address for older men/CL:個|个[ge4],位[wei4],名[ming2]/
十分	shífēn	/very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts/
实际	shíjì	/reality/practice/practical/realistic/real/actual/
实在	shízài	/really/actually/indeed/true/real/honest/dependable/(philosophy) reality/
使	shǐ	/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
使用	shǐyòng	/to use/to employ/to apply/to make use of/
是否	shìfǒu	/whether (or not)/if/is or isn't/
适合	shìhé	/to fit; to suit/
适应	shìyìng	/to adapt/to fit/to suit/
世纪	shìjì	/century/CL:個|个[ge4]/
收	shōu	/to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)/
收入	shōurù	/to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]/
收拾	shōushi	/to put in order/to tidy up/to pack/to repair/(coll.) to sort sb out/to fix sb/
首都	shǒudū	/capital (city)/CL:個|个[ge4]/
首先	shǒuxiān	/first (of all)/in the first place/
受不了	shòubuliǎo	/unbearable/unable to endure/can't stand/
受到	shòudào	/to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)/
售货员	shòuhuòyuán	/salesperson/CL:個|个[ge4]/
输	shū	/to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)/
熟悉	shúxī	/to be familiar with; to know well/
数量	shùliàng	/amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity/
数字	shùzì	/numeral/digit/number/figure/amount/digital (electronics etc)/CL:個|个[ge4]/
