唉	āi	/alas/oh dear/
不足	bùzú	/insufficient/lacking/deficiency/not enough/inadequate/not worth/cannot/should not/
部门	bùmén	/department/branch/section/division/CL:個|个[ge4]/
财产	cáichǎn	/property/assets/estate/CL:筆|笔[bi3]/
踩	cǎi	/to step on/to tread/to stamp/to press a pedal/to pedal (a bike)/(online) to downvote/
采取	cǎiqǔ	/to adopt or carry out (measures, policies, course of action)/to take/
参考	cānkǎo	/consultation/reference/to consult/to refer/
操场	cāochǎng	/playground/sports field/drill ground/CL:個|个[ge4]/
插	chā	/old variant of 插[cha1]/
叉子	chāzi	/fork/CL:把[ba3]/
拆	chāi	/to tear open/to tear down/to tear apart/to open/
产生	chǎnshēng	/to arise; to come into being; to come about/to give rise to; to bring into being; to bring about; to produce; to engender; to generate/
常识	chángshí	/common sense/general knowledge/CL:門|门[men2]/
潮湿	cháoshī	/damp/moist/
吵	chǎo	/to quarrel/to make a noise/noisy/to disturb by making a noise/
车库	chēkù	/garage/
彻底	chèdǐ	/thorough/thoroughly/complete/
趁	chèn	/old variant of 趁[chen4]/
称	chēng	/variant of 秤[cheng4]/steelyard/
称赞	chēngzàn	/to praise/to acclaim/to commend/to compliment/
承担	chéngdān	/to undertake/to assume (responsibility etc)/
承受	chéngshòu	/to bear/to support/to inherit/
程序	chéngxù	/procedures/sequence/order/computer program/
成立	chénglì	/to establish/to set up/to be tenable/to hold water/
成人	chéngrén	/to reach adulthood/an adult/
成语	chéngyǔ	/Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation; idiom; proverb; saying; adage/CL:條|条[tiao2],本[ben3],句[ju4]/
诚恳	chéngkěn	/sincere/honest/cordial/
持续	chíxù	/to continue/to persist/to last/sustainable/preservation/
尺子	chǐzi	/ruler (measuring instrument)/CL:把[ba3]/
冲	chōng	/powerful/vigorous/pungent/towards/in view of/
充分	chōngfèn	/ample/sufficient/adequate/full/fully/to the full/
重复	chóngfù	/variant of 重複|重复[chong2 fu4]/
宠物	chǒngwù	/house pet/
抽象	chōuxiàng	/abstract/abstraction/CL:種|种[zhong3]/
丑	chǒu	/shameful/ugly/disgraceful/
出口	chūkǒu	/an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port/
出示	chūshì	/to show/to take out and show to others/to display/
出席	chūxí	/to attend/to participate/present/
除非	chúfēi	/only if (..., or otherwise, ...)/only when/only in the case that/unless/
除夕	chúxī	/lunar New Year's Eve/
处理	chǔlǐ	/to handle; to deal with/to punish/to treat sth by a special process; to process/to sell at reduced prices/
传染	chuánrǎn	/to infect/contagious/
传统	chuántǒng	/tradition/traditional/convention/conventional/CL:個|个[ge4]/
闯	chuǎng	/to rush/to charge/to dash/to break through/to temper oneself (through battling hardships)/
吹	chuī	/to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through/
此外	cǐwài	/besides/in addition/moreover/furthermore/
次要	cìyào	/secondary/
匆忙	cōngmáng	/hasty/hurried/
从而	cóng’ér	/thus/thereby/
从前	cóngqián	/previously/formerly/once upon a time/
粗糙	cūcāo	/crude/gruff/rough/coarse/
醋	cù	/vinegar/jealousy (in love rivalry)/
促使	cùshǐ	/to prompt; to induce; to spur/
措施	cuòshī	/measure/step/CL:個|个[ge4]/
打工	dǎgōng	/to work a temporary or casual job/(of students) to have a job outside of class time, or during vacation/
大厦	dàshà	/(used in the names of grand buildings such as 百老匯大廈|百老汇大厦 Broadway Mansions (in Shanghai) or 帝國大廈|帝国大厦 Empire State Building etc)/
大象	dàxiàng	/elephant/CL:隻|只[zhi1]/
代表	dàibiǎo	/representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of/
待遇	dàiyù	/treatment/pay/salary/status/rank/
单调	dāndiào	/monotonous/
单位	dānwèi	/unit (of measure)/unit (group of people as a whole)/work unit (place of employment, esp. in the PRC prior to economic reform)/CL:個|个[ge4]/
担任	dānrèn	/to hold a governmental office or post/to assume office of/to take charge of/to serve as/
耽误	dānwu	/to delay/to hold up/to waste time/to interfere with/
淡	dàn	/insipid/diluted/weak/mild/light in color/tasteless/indifferent/(variant of 氮[dan4]) nitrogen/
倒霉	dǎoméi	/to have bad luck/to be out of luck/
道理	dàolǐ	/reason/argument/sense/principle/basis/justification/CL:個|个[ge4]/
登记	dēngjì	/to register (one's name)/
等于	děngyú	/to equal/to be tantamount to/
滴	dī	/a drop/to drip/
敌人	dírén	/enemy/CL:個|个[ge4]/
递	dì	/to hand over; to pass on; to deliver/(bound form) progressively; in the proper order/
地毯	dìtǎn	/carpet/rug/
地震	dìzhèn	/earthquake/
电池	diànchí	/battery/CL:節|节[jie2],組|组[zu3]/
顶	dǐng	/apex/crown of the head/top/roof/most/to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing, hailstorm etc)/(slang) to "bump" a forum thread to raise its profile/classifier for headwear, hats, veils etc/
冻	dòng	/to freeze/to feel very cold/aspic or jelly/
动画片	dònghuàpiàn	/animated film/
逗	dòu	/to tease (playfully); to entice/(coll.) to joke/(coll.) funny; amusing/to stay; to sojourn/brief pause at the end of a phrase (variant of 讀|读[dou4])/
独特	dútè	/unique; distinctive/
度过	dùguò	/to pass/to spend (time)/to survive/to get through/
对比	duìbǐ	/to contrast/contrast/ratio/CL:個|个[ge4]/
对待	duìdài	/to treat/treatment/
对手	duìshǒu	/opponent/rival/competitor/(well-matched) adversary/match/
吨	dūn	/ton (loanword)/Taiwan pr. [dun4]/
顿	dùn	/to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal/
多亏	duōkuī	/thanks to/luckily/
朵	duǒ	/variant of 朵[duo3]/
发表	fābiǎo	/to issue/to publish/
发达	fādá	/well-developed; flourishing/to develop; to promote; to expand/(literary) to achieve fame and fortune; to prosper/
发挥	fāhuī	/to display/to exhibit/to bring out implicit or innate qualities/to express (a thought or moral)/to develop (an idea)/to elaborate (on a theme)/
发票	fāpiào	/invoice; receipt; bill/uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])/
发言	fāyán	/to make a speech/statement/utterance/CL:個|个[ge4]/
罚款	fákuǎn	/to fine/penalty/fine (monetary)/
法院	fǎyuàn	/court of law/court/
繁荣	fánróng	/prosperous; booming (economy)/
反而	fǎn’ér	/on the contrary; instead/
反应	fǎnyìng	/to react/to respond/reaction/response/reply/chemical reaction/CL:個|个[ge4]/
反正	fǎnzhèng	/anyway/in any case/to come over from the enemy's side/
范围	fànwéi	/range/scope/limit/extent/CL:個|个[ge4]/
方案	fāng’àn	/plan/program (for action etc)/proposal/proposed bill/CL:個|个[ge4],套[tao4]/
方式	fāngshì	/way; manner; style; mode; pattern/CL:個|个[ge4]/
妨碍	fáng’ài	/to hinder/to obstruct/
肥皂	féizào	/soap/CL:塊|块[kuai4],條|条[tiao2]/
分布	fēnbù	/to scatter/to distribute/to be distributed (over an area etc)/(statistical, geographic) distribution/
分手	fēnshǒu	/to part company/to split up/to break up/
风景	fēngjǐng	/scenery; landscape/CL:個|个[ge4]/
风险	fēngxiǎn	/risk; hazard/
讽刺	fěngcì	/to satirize/to mock/irony/satire/sarcasm/
否认	fǒurèn	/to declare to be untrue/to deny/
扶	fú	/to support with the hand/to help sb up/to support oneself by holding onto something/to help/
复制	fùzhì	/to duplicate/to make a copy of/to copy/to reproduce/to clone/
改进	gǎijìn	/to improve; to make better/improvement/CL:個|个[ge4]/
改正	gǎizhèng	/to correct/to amend/to put right/correction/CL:個|个[ge4]/
概括	gàikuò	/to summarize; to generalize/briefly; in broad outline/
感想	gǎnxiǎng	/impressions/reflections/thoughts/CL:通[tong4],個|个[ge4]/
赶快	gǎnkuài	/quickly; at once/
干活儿	gànhuór	/erhua variant of 幹活|干活[gan4 huo2]/
高级	gāojí	/high level/high grade/advanced/high-ranking/
告别	gàobié	/to leave; to part from/to bid farewell to; to say goodbye to/
隔壁	gébì	/next door/neighbor/
个人	gèrén	/individual/personal/oneself/
各自	gèzì	/each/respective/apiece/
根本	gēnběn	/fundamental/basic/root/simply/absolutely (not)/(not) at all/CL:個|个[ge4]/
公开	gōngkāi	/open; overt; public/to make public; to release/
公平	gōngpíng	/fair/impartial/
公寓	gōngyù	/apartment building; block of flats (may be a public housing block or a condominium etc) (CL:套[tao4])/
工厂	gōngchǎng	/factory/CL:家[jia1],座[zuo4]/
工具	gōngjù	/tool/instrument/utensil/means (to achieve a goal etc)/
工业	gōngyè	/industry/
功能	gōngnéng	/function; capability/
沟通	gōutōng	/to join; to connect; to link up/to communicate/
姑娘	gūniang	/girl/young woman/young lady/daughter/paternal aunt (old)/CL:個|个[ge4]/
古代	gǔdài	/ancient times/
鼓掌	gǔzhǎng	/to applaud/to clap/
骨头	gǔtou	/bone/CL:根[gen1],塊|块[kuai4]/moral character/bitterness/Taiwan pr. [gu2 tou5]/
乖	guāi	/(of a child) obedient, well-behaved/clever/shrewd/alert/perverse/contrary to reason/irregular/abnormal/
怪不得	guàibude	/no wonder!/so that's why!/
观察	guānchá	/to observe; to watch; to survey/
观念	guānniàn	/notion/thought/concept/sense/views/ideology/general impressions/
冠军	guànjūn	/champion/CL:個|个[ge4]/
光滑	guānghuá	/glossy; sleek; smooth/
光明	guāngmíng	/light/radiance/(fig.) bright (prospects etc)/openhearted/
广大	guǎngdà	/(of an area) vast or extensive/large-scale/widespread/(of people) numerous/
规律	guīlǜ	/rule (e.g. of science)/law of behavior/regular pattern/rhythm/discipline/
规则	guīzé	/rule/regulation/rules and regulations/
滚	gǔn	/to boil/to roll/to take a hike/Get lost!/
国庆节	guóqìngjié	/PRC National Day (October 1st)/
果实	guǒshí	/fruit (produced by a plant)/(fig.) fruits (of success etc)/results/gains/
过敏	guòmǐn	/oversensitive/allergic/allergy/
海鲜	hǎixiān	/seafood/
豪华	háohuá	/luxurious/
好奇	hàoqí	/inquisitive/curious/inquisitiveness/curiosity/
何必	hébì	/there is no need/why should/
合法	héfǎ	/lawful/legitimate/legal/
合理	hélǐ	/rational; reasonable; sensible; fair/
合同	hétong	/(business) contract/CL:個|个[ge4]/
合作	hézuò	/to cooperate; to collaborate; to work together/
恨	hèn	/to hate/to regret/
猴子	hóuzi	/monkey/CL:隻|只[zhi1]/
后背	hòubèi	/the back (human anatomy)/the back part of sth/
忽视	hūshì	/to neglect; to overlook; to disregard; to ignore/
壶	hú	/pot/classifier for bottled liquid/
胡说	húshuō	/to talk nonsense/drivel/
糊涂	hútu	/muddled/silly/confused/
花生	huāshēng	/peanut/groundnut/CL:粒[li4]/
划	huá	/to delimit/to transfer/to assign/to plan/to draw (a line)/stroke of a Chinese character/
话题	huàtí	/subject (of a talk or conversation)/topic/
怀念	huáiniàn	/to cherish the memory of/to think of/to reminisce/
怀孕	huáiyùn	/pregnant/to have conceived/gestation/pregnancy/
慌张	huāngzhāng	/flustered/agitated/
黄金	huángjīn	/gold/golden (opportunity)/prime (time)/
灰	huī	/ash/dust/lime/gray/discouraged; dejected/
灰心	huīxīn	/to lose heart/to be discouraged/
婚礼	hūnlǐ	/wedding ceremony/wedding/CL:場|场[chang3]/
活跃	huóyuè	/active/lively/excited/to enliven/to brighten up/
伙伴	huǒbàn	/partner/companion/comrade/
或许	huòxǔ	/perhaps; maybe/
基本	jīběn	/basic/fundamental/main/elementary/
机器	jīqì	/machine/CL:臺|台[tai2],部[bu4],個|个[ge4]/
及格	jígé	/to pass an exam or a test/to meet a minimum standard/
集合	jíhé	/to gather; to assemble/(math.) set/
集中	jízhōng	/to concentrate/to centralize/to focus/centralized/concentrated/to put together/
急诊	jízhěn	/to give or receive urgent medical treatment/emergency treatment (at a hospital emergency department, or from a doctor on a house call)/
记忆	jìyì	/to remember/to recall/memory/CL:個|个[ge4]/
纪录	jìlù	/variant of 記錄|记录[ji4 lu4] (but in Taiwan, not for the verb sense "to record")/
纪念	jìniàn	/to commemorate; to honor the memory of/memento; keepsake; souvenir/
家务	jiāwù	/household duties/housework/
嘉宾	jiābīn	/esteemed guest/honored guest/guest (on a show)/
甲	jiǎ	/first of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/(used for an unspecified person or thing)/first (in a list, as a party to a contract etc)/letter "A" or roman "I" in list "A, B, C", or "I, II, III" etc/armor plating/shell or carapace/(of the fingers or toes) nail/bladed leather or metal armor (old)/ranking system used in the Imperial examinations (old)/civil administration unit in the baojia 保甲[bao3 jia3] system (old)/ancient Chinese compass point: 75°/
假如	jiǎrú	/if/
假装	jiǎzhuāng	/to feign/to pretend/
驾驶	jiàshǐ	/to pilot (ship, airplane etc)/to drive/
坚强	jiānqiáng	/staunch/strong/
艰苦	jiānkǔ	/difficult/hard/arduous/
捡	jiǎn	/to pick up; to collect; to gather/
简直	jiǎnzhí	/simply; really/
健身	jiànshēn	/to exercise/to keep fit/to work out/physical exercise/
建设	jiànshè	/to build; to construct; to establish; to develop; to institute/
建筑	jiànzhù	/to construct/building/CL:個|个[ge4]/
键盘	jiànpán	/keyboard/
讲座	jiǎngzuò	/a course of lectures/CL:個|个[ge4]/
酱油	jiàngyóu	/soy sauce/
浇	jiāo	/to pour liquid/to irrigate (using waterwheel)/to water/to cast (molten metal)/to mold/
交换	jiāohuàn	/to exchange/to swap/to switch (telecom)/commutative (math)/to commute/
交往	jiāowǎng	/to associate (with)/to have contact (with)/to hang out (with)/to date/(interpersonal) relationship/association/contact/
角度	jiǎodù	/angle/point of view/
教材	jiàocái	/teaching material/CL:本[ben3]/
教训	jiàoxùn	/to provide guidance; to lecture sb; to upbraid/a talking-to; a bitter lesson/CL:番[fan1],頓|顿[dun4]/
接待	jiēdài	/to receive; to entertain; to host (guests, visitors or clients)/
结实	jiēshi	/rugged/sturdy/strong/durable/buff (physique)/
节省	jiéshěng	/saving/to save/to use sparingly/to cut down on/
结构	jiégòu	/structure/composition/makeup/architecture/CL:座[zuo4],個|个[ge4]/
结合	jiéhé	/to combine/to link/to integrate/binding/CL:次[ci4]/
结论	jiélùn	/conclusion/verdict/CL:個|个[ge4]/to conclude/to reach a verdict/
结账	jiézhàng	/to pay the bill/to settle accounts/also written 結帳|结帐/
届	jiè	/to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)/
借口	jièkǒu	/to use as an excuse/excuse; pretext/
戒	jiè	/to guard against/to exhort/to admonish or warn/to give up or stop doing sth/Buddhist monastic discipline/ring (for a finger)/
紧急	jǐnjí	/urgent/emergency/
尽快	jǐnkuài	/see 儘快|尽快[jin3 kuai4]/
谨慎	jǐnshèn	/cautious/prudent/
进步	jìnbù	/progress; improvement/to improve; to progress/CL:個|个[ge4]/
近代	jìndài	/the not-very-distant past/modern times, excluding recent decades/(in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919)/capitalist times (pre-1949)/
尽量	jìnliàng	/as much as possible/to the greatest extent/
精神	jīngshén	/vigor; vitality/spirited/good-looking/
经典	jīngdiǎn	/the classics/scriptures/classical/classic (example, case etc)/typical/
救	jiù	/to save/to assist/to rescue/
舅舅	jiùjiu	/mother's brother/maternal uncle (informal)/CL:個|个[ge4]/
桔子	júzi	/tangerine/also written 橘子/CL:個|个[ge4],瓣[ban4]/
具备	jùbèi	/to possess/to have/equipped with/able to fulfill (conditions or requirements)/
巨大	jùdà	/huge/immense/very large/tremendous/gigantic/enormous/
决赛	juésài	/finals (of a competition)/
绝对	juéduì	/absolute; unconditional/
军事	jūnshì	/military affairs/(attributive) military/
开放	kāifàng	/to bloom/to open/to be open (to the public)/to open up (to the outside)/to be open-minded/unrestrained by convention/unconstrained in one's sexuality/
开水	kāishuǐ	/boiled water/boiling water/
砍	kǎn	/to chop/to cut down/to throw sth at sb/
看不起	kànbuqǐ	/to look down upon/to despise/
可见	kějiàn	/it can clearly be seen (that this is the case)/it is (thus) clear/clear/visible/
可怕	kěpà	/awful/dreadful/fearful/formidable/frightful/scary/hideous/horrible/terrible/terribly/
克	kè	/variant of 剋|克[ke4]/
客观	kèguān	/objective/impartial/
控制	kòngzhì	/to control/
口味	kǒuwèi	/a person's preferences/tastes (in food)/flavor/
夸	kuā	/to boast; to exaggerate/to praise/
扩大	kuòdà	/to expand/to enlarge/to broaden one's scope/
辣椒	làjiāo	/hot pepper/chili/
烂	làn	/soft; mushy/well-cooked and soft/to rot; to decompose/rotten/worn out/chaotic; messy/utterly; thoroughly/crappy; bad/
劳动	láodòng	/work/toil/physical labor/CL:次[ci4]/
老板	lǎobǎn	/boss/business proprietor/CL:個|个[ge4]/
老鼠	lǎoshǔ	/rat; mouse (CL:隻|只[zhi1])/
姥姥	lǎolao	/(coll.) mother's mother/maternal grandmother/
理论	lǐlùn	/theory/CL:個|个[ge4]/to argue/to take notice of/
理由	lǐyóu	/reason/grounds/justification/CL:個|个[ge4]/
立刻	lìkè	/forthwith/immediate/prompt/promptly/straightway/thereupon/at once/
力量	lìliàng	/power; force; strength/
利息	lìxī	/interest (on a loan)/CL:筆|笔[bi3]/
利用	lìyòng	/to exploit/to make use of/to use/to take advantage of/to utilize/
连忙	liánmáng	/promptly/at once/
联合	liánhé	/to combine/to join/unite/alliance/
了不起	liǎobuqǐ	/amazing/terrific/extraordinary/
列车	lièchē	/(railway) train/
临时	línshí	/as the time draws near/at the last moment/temporary/interim/ad hoc/
灵活	línghuó	/flexible/nimble/agile/
领域	lǐngyù	/domain; sphere; field; territory; area/
流传	liúchuán	/to spread/to circulate/to hand down/
浏览	liúlǎn	/to skim over/to browse/
龙	lóng	/dragon/CL:條|条[tiao2]/imperial/
漏	lòu	/to leak/to divulge/to leave out by mistake/waterclock or hourglass (old)/
陆地	lùdì	/dry land (as opposed to the sea)/
录取	lùqǔ	/to accept an applicant (prospective student, employee etc) who passes an entrance exam/to admit (a student)/to hire (a job candidate)/
论文	lùnwén	/paper/treatise/thesis/CL:篇[pian1]/to discuss a paper or thesis (old)/
落后	luòhòu	/to fall behind/to lag (in technology etc)/backward/to retrogress/
骂	mà	/variant of 罵|骂[ma4]/
麦克风	màikèfēng	/microphone (loanword)/
满足	mǎnzú	/to satisfy/to meet (the needs of)/satisfied/content/
冒险	màoxiǎn	/to take risks/to take chances/foray/adventure/
眉毛	méimao	/eyebrow/CL:根[gen1]/
美术	měishù	/art/fine arts/painting/CL:種|种[zhong3]/
秘密	mìmì	/secret; private; confidential; clandestine/a secret (CL:個|个[ge4])/
面对	miànduì	/to face; to confront/
面临	miànlín	/to face sth; to be confronted with/
苗条	miáotiao	/(of a woman) slim/slender/graceful/
明确	míngquè	/clear-cut; definite; explicit/to clarify; to specify; to make definite/
明显	míngxiǎn	/clear/distinct/obvious/
名牌	míngpái	/famous brand/nameplate/name tag/
名胜古迹	míngshènggǔjì	/historical sites and scenic spots/
命令	mìnglìng	/order/command/CL:道[dao4],個|个[ge4]/
摸	mō	/variant of 摹[mo2]/
模糊	móhu	/vague/indistinct/fuzzy/
摩托车	mótuōchē	/(loanword) motorbike; motorcycle/CL:輛|辆[liang4],部[bu4]/
某	mǒu	/some/a certain/sb or sth indefinite/such-and-such/
目标	mùbiāo	/target/goal/objective/CL:個|个[ge4]/
目录	mùlù	/catalog/table of contents/directory (on computer hard drive)/list/contents/
木头	mùtou	/slow-witted/blockhead/log (of wood, timber etc)/CL:塊|块[kuai4],根[gen1]/
哪怕	nǎpà	/even/even if/even though/no matter how/
难免	nánmiǎn	/hard to avoid/difficult to escape from/will inevitably/
脑袋	nǎodai	/head/skull/brains/mental capability/CL:顆|颗[ke1],個|个[ge4]/
内科	nèikē	/internal medicine; general medicine/
嫩	nèn	/old variant of 嫩[nen4]/
能干	nénggàn	/capable/competent/
能源	néngyuán	/energy/power source/CL:個|个[ge4]/
年代	niándài	/a decade of a century (e.g. the Sixties)/age/era/period/CL:個|个[ge4]/
年纪	niánjì	/age/CL:把[ba3],個|个[ge4]/
宁可	nìngkě	/preferably/one would prefer to...(or not to...)/would rather/(would) be better to/(to pick) the lesser of two evils/
牛仔裤	niúzǎikù	/jeans/CL:條|条[tiao2]/
农村	nóngcūn	/rural area/village/CL:個|个[ge4]/
农业	nóngyè	/agriculture/farming/
女士	nǚshì	/lady/madam/CL:個|个[ge4],位[wei4]/Miss/Ms/
派	pài	/clique/school/group/faction/to dispatch/to send/to assign/to appoint/pi (Greek letter Ππ)/the circular ratio pi = 3.1415926/(loanword) pie/
赔偿	péicháng	/to compensate/
培养	péiyǎng	/to cultivate/to breed/to foster/to nurture/to educate/to groom (for a position)/education/fostering/culture (biology)/
配合	pèihé	/matching/fitting in with/compatible with/to correspond/to fit/to conform to/rapport/to coordinate with/to act in concert with/to cooperate/to become man and wife/to combine parts of machine/
披	pī	/to drape over one's shoulders/to open/to unroll/to split open/to spread out/
片面	piànmiàn	/unilateral/one-sided/
拼音	pīnyīn	/phonetic writing/pinyin (Chinese romanization)/
平	píng	/flat/level/equal/to tie (make the same score)/to draw (score)/calm/peaceful/abbr. for 平聲|平声[ping2 sheng1]/
平常	píngcháng	/ordinary/common/usually/ordinarily/
平方	píngfāng	/square (as in square foot, square mile, square root)/
平静	píngjìng	/tranquil/undisturbed/serene/
评价	píngjià	/to evaluate/to assess/
破坏	pòhuài	/destruction/damage/to wreck/to break/to destroy/
期待	qīdài	/to look forward to/to await/expectation/
奇迹	qíjì	/miracle/miraculous/wonder/marvel/
启发	qǐfā	/to enlighten/to explain (a text etc)/to stimulate (a mental attitude)/enlightenment/revelation/motivation/
气氛	qìfēn	/atmosphere; mood/
汽油	qìyóu	/gasoline/
谦虚	qiānxū	/modest/self-effacing/to make modest remarks/
签	qiān	/inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag/
浅	qiǎn	/shallow/light (color)/
枪	qiāng	/variant of 槍|枪[qiang1]/rifle/spear/
强调	qiángdiào	/to emphasize (a statement)/to stress/
抢	qiǎng	/to fight over/to rush/to scramble/to grab/to rob/to snatch/
悄悄	qiāoqiāo	/quiet; making little or no noise/surreptitious; stealthy/anxious; worried/Taiwan pr. [qiao3 qiao3]/
瞧	qiáo	/to look at/to see/to see (a doctor)/to visit/
巧妙	qiǎomiào	/ingenious; clever/ingenuity; artifice/
亲爱	qīn’ài	/dear/beloved/darling/
亲切	qīnqiè	/amiable/cordial/close and dear/familiar/
勤奋	qínfèn	/hardworking/diligent/
青春	qīngchūn	/youth/youthfulness/
轻视	qīngshì	/contempt/contemptuous/to despise/to scorn/scornful/
请求	qǐngqiú	/to request; to ask/request (CL:個|个[ge4])/
球迷	qiúmí	/fan (ball sports)/CL:個|个[ge4]/
趋势	qūshì	/trend; tendency/
去世	qùshì	/to pass away/to die/
权力	quánlì	/power/authority/
劝	quàn	/to advise/to urge/to try to persuade/to exhort/to console/to soothe/
缺乏	quēfá	/to lack; to be short of/
确认	quèrèn	/to confirm/to verify/confirmation/
群	qún	/group/crowd/flock, herd, pack etc/
燃烧	ránshāo	/to ignite/to combust/to burn/combustion/flaming/
绕	rào	/variant of 繞|绕[rao4], to rotate around/to spiral/to move around/to go round (an obstacle)/to by-pass/to make a detour/
热爱	rè’ài	/to love ardently/to adore/
热心	rèxīn	/enthusiastic; ardent; zealous/
人才	réncái	/talent/talented person/looks/attractive looks/
人类	rénlèi	/humanity/human race/mankind/
人生	rénshēng	/life (one's time on earth)/
人物	rénwù	/person; personage; figure (esp. sb of importance)/character (in a play, novel etc)/figure painting (as a genre of traditional Chinese painting)/
忍不住	rěnbuzhù	/cannot help/unable to bear/
日程	rìchéng	/schedule/itinerary/CL:個|个[ge4]/
日历	rìlì	/calendar/CL:張|张[zhang1],本[ben3]/
日用品	rìyòngpǐn	/articles for daily use/CL:件[jian4],個|个[ge4]/
如何	rúhé	/how/what way/what/
软件	ruǎnjiàn	/(computer) software/
洒	sǎ	/to sprinkle/to spray/to spill/to shed/
嗓子	sǎngzi	/throat/voice/CL:把[ba3]/
沙滩	shātān	/beach/sandy shore/CL:片[pian4]/
晒	shài	/(of the sun) to shine on/to bask in (the sunshine)/to dry (clothes, grain etc) in the sun/(fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from "share")/(coll.) to give the cold shoulder to/
闪电	shǎndiàn	/lightning/CL:道[dao4]/
善于	shànyú	/to be good at; to be adept at/
商品	shāngpǐn	/commodity; goods; merchandise/CL:件|件[jian4]/
商务	shāngwù	/commercial affairs/commercial/commerce/business/
伤害	shānghài	/to injure; to harm/
舍不得	shěbude	/to hate to do sth/to hate to part with/to begrudge/
设计	shèjì	/to design; to plan/design; plan/
摄影	shèyǐng	/to take a photograph/photography/to shoot (a movie)/
伸	shēn	/to stretch/to extend/
深刻	shēnkè	/profound/deep/deep-going/
身份	shēnfèn	/identity/aspect of one's identity (i.e. sth that one is – mayor, father, permanent resident etc)/role/capacity (as in "in his capacity as a ..." 以…的身份[yi3 xx5 de5 shen1 fen4])/status (social, legal etc)/position/rank/
神秘	shénmì	/mysterious/mystery/
生动	shēngdòng	/vivid/lively/
生长	shēngzhǎng	/to grow/to grow up/to be brought up/
诗	shī	/poem/CL:首[shou3]/poetry/verse/
失眠	shīmián	/to suffer from insomnia/
狮子	shīzi	/lion/CL:隻|只[zhi1],頭|头[tou2]/
时代	shídài	/age/era/epoch/period (in one's life)/CL:個|个[ge4]/
时髦	shímáo	/in vogue/fashionable/
时尚	shíshàng	/fashion/fad/fashionable/
实习	shíxí	/to practice/field work/to intern/internship/
实验	shíyàn	/experiment/test/CL:個|个[ge4],次[ci4]/experimental/to experiment/
石头	shítou	/stone/CL:塊|块[kuai4]/
