方便	convenient
即使我学一门很简单的语言，也需要很长时间。	Even if I learn a very simple language, it takes a long time.
需要	need
差不多	almost
别的事情	Other things
另一个人	another person/ the other person
...还可以，就是...	... is ok, but it's just...
长	long
开玩笑	to joke
笑话	joke
脱帽子	Take off the hat
颜色	color
一件衬衫	a shirt
实用	practical
差	bad
《北京遇上西雅图》	Beijing Meets Seattle
《离婚律师》	Divorce Lawyer
有美感	Aesthetic
冲	Pungent, including the flavor of wasabi
消化	Digestion
我不确定	I am not sure
紧张	nervous/ intense
感觉	feeling
国家	nation
我睡了	I'm gonna sleep
车来了	The bus/ taxi/ train is here.
他们下个星期就要结婚了。	They will get married next week.
他们快要/就要结婚了。	They are about to get married.
我不喝酒了。	I don't drink anymore.
坏习惯	bad habit
我不想再喝酒了。	I don't want to drink anymore.
已经...了	Already
都...了	Already (complaining)
早就...了	I've done it LONG AGO
成年人	Adult
大家都是成年人了，...	We're all adults, ...
春节	Spring Festival
过新年	celebrate New Year
圣诞快乐	Merry Christmas
迸发	Burst (only literal)
事实上	In fact
主观	subjective
我快要生气了	imma be mad
我快要疯了	I'm going crazy
能量	energy
高铁	High -speed railway
门票	entrance ticket
高速公路	highway
速度	speed
迪士尼	Disney
大会	Conference
活动	Activity
报名	Sign up
课程	course
旅游计划	Travel plan
旅游攻略	travelling guideline
帮助	help
帮	help
谢谢你的帮助	thank you for your help
对我来说	as for me
打扫（一个空间）	Clean (a space)
阴天	cloudy day
阴暗	dark
亮	Bright
手机应用	mobile application
防晒霜	Sunscreen
官方灯泡	Official Third Wheel
烦	frustrated
编程	programming
程序员	programmer
中秋节	Mid-Autumn Festival
月饼	moon cake
庆祝	celebrate
新历	New calendar
农历	lunar calendar
农业	agriculture
炒蔬菜	Fried vegetables
八宝汤	Eight treasure soup
灯笼	lantern
圣诞节	Christmas
感恩节	Thanksgiving Day
亲戚	extended family?
旧金山	San Francisco
唐人街	Chinatown
郊区	suburbs
混血儿	Mixed -race
北方人	Northerner
南方人	Southerner
谜语	riddle
猜	Guess
猜灯谜	Guessing lantern riddles
传说	legend
复活节	Easter
基督教	Christianity
弓	bow
箭	arrow
射	shoot
孔明灯	sky lantern
王莉莎	Lisa
王一然	Eva
曹励嘉	Erica
？	Karen
裳雅楠	Nancy
龚美丽	Meili
刘明苏 (劉明蘇)	Jay
广萝丽	Layla
王奶婷	Netta
叶子华	David
爱师克	Isaac
王蕴宏	Yunhong uncle (Lisa dad)
杨红	Hong aunty (Lisa mom)
感到很大的压力	Feel a lot of pressure
鸭梨山大	Feel a lot of pressure
双关语	Pun
混乱的	chaotic
撞	to crash/ hit
经历	experience
我都喜欢	I like all of them
月末	At the end of the month
年末	End of the year
周末	weekend
一个想法	An idea
细节	detail
打算	plan/ to plan (an idea, not a detailed plan)
计划	plan/ to plan (a detailed or formal plan)
工作计划	Work Plan
学习计划	study plan
还没想好	haven't decided yet
准备好/ 买好票	Prepare/ buy a good ticket
做好工作	Do a good job
为了	for，in order to
平等	equal
害羞	shy
相信	believe
待办事项	to-do items
大便事项	to-poop items
随便	whatever
工作顺利	work smoothly
文件	document
表格	sheet
一直	all the time/ constantly
总是	(at a repeated cadence) always
重复	repeat
抱怨	complain
通勤	commute
跟我抱怨她的工作	Complain to me about her job
打游戏	Play a game
这件事很急	This is very urgent
着火	to be on fire
着急	anxious
着迷	obsessed/ fascinated
孔雀	Peacock
对...着迷	obsessed with
主意	idea
我控制不住地	I can't stop...
复习	review
预习	preview
预约	to make an appointment
比萨饼	Pizza
不是每个美国人都喜欢吃比萨饼。	Not every American likes to eat pizza.
每个美国人都不喜欢吃比萨饼。	Every American does not like to eat pizza.
机会	opportunity
卖	Sell
门儿都没有/ 没门儿	No way! / in your wildest dream
极端	extreme
东南西北	NSEW
东岸	east coast
西岸	west coast
放松	Relax
总结	Summarize
观察	observe
无怒如何	anyways
政治	politics
打字	type
其实	in reality
停电	power cut
众创空间	cowork space
对自己的能力很自信	Very confident in your ability
正确	correct
对了	by the way
暖心	Heartwarming
备份	Backup
瑞典	Sweden
...的时候	when...
什么时候？	when?
印象	impression
在一起	be in a relationship
哈尔滨	Harbin
冰雕节	Ice carving festival
苏州	Suzhou
下有苏杭，上有天堂	There are Su Hangzhou below, there is paradise on the top
宗教	religion
意大利面	spaghetti
背包	Backpack
没带脑子	didn‘t take your brain with you
百度地图	Baidu map
谷歌地图	Google Map
技术	technology
大众点评app	“yelp” in china
谷歌点评	Google Review
搬...到...	Move ... to ...
空间	space
搬家	move place
早日康复！	get well soon!
无伴奏合唱	a cappella
一群人	A group of people
危险	dangerous
高原反应	Altitude sickness
至少我是这么认为的	At least, that's what I think
至少	At least
敏感	sensitive
投资	invest/ investment
概念	concept
独立	independent
它们有什么一样的地方？	what features do they share?
你觉得这件事有什么好的地方？	Do you think there is something good about this?
身体	Body
脖子	neck
肩膀	Shoulder
手臂	arm
胸	chest
背	back
腰	Hip
大腿	thigh
膝盖	knee
手肘	elbow
德国猪肘	Schweinhaxen
小腿	calf/ shin
屁股	butt
脚	foot
鼻子	nose
小偷	Thief
生病	Get ill
疼	to ache/ to spoil (a kid)
痛	pain/ to ache (more physical and concrete compared to 疼)
我很心疼她	I feel bad for her
我爸爸去世了，我很心痛	My dad died, I was very heartbroken
疾病	disease
疫情	epidemic
疫苗	vaccine
字面意思	literal meaning
抽象意思	figurative meaning
部首	radical (chinese)
一棵树	a tree
简单	simple/ easy
容易+verb/ adj.	easy to do/ without difficulty/ have the tendency to
中文很容易学	Chinese is easy to learn
白色的衣服很容易脏	White clothes are easy to dirty
表达	Express
正常	normal
灾难	Disaster
麻烦	trouble/ bring trouble
打开窗子	Open the window
过去	to go over
经过	to walk pass
过朋友家去	Go a friend's house
人工智能	AI
工作上的工作	work work
进这里来	Come here
带一本书到中国去	Take a book to China
我走到公司去	I go to the company (I'm still not around the company)
我走到公司来了	I've walked to the company (I'm around the company)
身份证	ID card
未婚夫和未婚妻	fiance and fiancee
秘书	secretary
整理	tidy
接电话	Answer the phone
回答问题	answer the questions
秘密	secret
办公室	office
卧室	bedroom
咨询室	Consulting room
休息室	lounge
冬令时	daylight saving time
时区	Time zone
醒	Awake
视频	video
吃了睡睡了吃	a phrase that's used to describe someone being lazy
妈妈一起床就做早饭	mum cooks breakfast soon as she gets up
一...就...	as soon as...
种子	seed
种类	type
流汗	to sweat
一场雨	A rain
一场雪	A snow
看一场电影	watch a movie
一部电影	a movie (the item)
一场比赛	a match
一场考试	An exam
简体字	Simplified word
繁体字	Traditional Chinese character
原因	reason
数据	data
模型	Model
拼写检查	Spell Check
经理	manager
办事	to get things done
办手续	get formalities/ paperwork done
打鼾	snore
市场	market
一万	10,000
电动汽车	electric car
补贴	subsidy
一辆自行车	a bicycle
一列火车	A train
一架飞机	an airplane
办公楼	Office building
层	layer
一楼	First floor
大堂	Lobby
一把伞	an umbrella
一把刀	a knife
一把椅子	a chair
一把钥匙	A bunch of keys
门把	doorknob
扶手	handrail
量词	quantifier
一件衣服	a piece of clothing
一件外套	a jacket
一条裙子	dress/ skirt
一条裤子	a pair of pants
教室	classroom
一张桌子	a table
送她回家	send her home
接她下班	Pick up her
命令	order/ to command
只有...才...	only...
好好儿	well
为她想	Think for her
在她的情况里	In her situation
常见	common
商人	businessman
商业	Business
从商	do business
企业	enterprise
企业家	entrepreneur
高楼大厦	skyscraper
西装	Suit
工位	a seat in an office
一篇日记	A diary
搜索	search
搜索引擎	search engine
排除法	process of elimination
烦恼	trouble
举重	weightlifting
臊	smell of urine
饮料	drinks
红牛	red bull
专心	focus
冷萃咖啡	cold brew coffee
电池	Battery
烦躁	Irritable
食物	food (formal)
一顿饭	a meal
吃的（东西）	food
零食	snack
（街头）小吃	street food
在街上	on the street
柚子	pomelo
西柚	grapefruit
红肉橙	cara cara
释迦果	Cherimoya
拉丁美洲	Latin America
稳定	stable
去年	last year
明年	next year
心情很复杂	have mixed emotions/ feelings
朋友对我说	Friends tell me
向我跑来	Running to me
能力很差	Poor ability
害虫	pest
益虫	good insects
集体	collectively
性爱派对	orgy
礼物	Gift
国旗	National flag
爬	climb/ crawl
攀岩	rock climbing
爬山	hiking
注意	pay attention/ be aware
天气预报	Weather forecast
这次爬山	this hiking
急救箱	First aid kit
幻灯片	Slide
降落伞	parachute
军队	army
掉东西	drop sth
炸弹	bomb
旗子	flag
面试	interview
会议室	meeting room
一家人	family
很近的地方	a close place
附近的地方	Nearby
自驾游	Self -driving tour
西藏	Tibet
躲起来	hide (oneself) up
躲猫猫	hide and seek
藏起来	hide (something) up
我藏我的钱在床下	I hide my money under bed
我躲在床下	I hide under bed
意思	literal meaning
有意思	interesting
意义	meaning/ significance
有意义	Significant
一条鱼	a fish
一条蛇	A snake
记得	Remember
我记得有一次...	I remember once ...
饮食	diet
生日聚会	Birthday party
抓马	relationship drama
板棍	stick (hurling)
房东	landlord
我在想...	I'm wondering...
球棍	stick/ bat
器材	equipment
棒球棒	baseball bat
柔道棕带	Judo brown belt
员工	staff
抗议	protest
夏天	summer
短裤	shorts
长裤	trousers
特点	Characteristic
T恤	t-shirt
背心	tank top
卫衣	jumper
毛衣	sweater
连帽衫	hoodie
围巾	scarf
外套	jacket
大衣	Coat
运动鞋	sports shoes
皮鞋	leather shoes
高跟鞋	High heel
凉鞋	sandals
拖鞋	slippers
泰国	Thailand
衬衫	shirt
一台电脑	a computer
一棵植物	A plant
一对情侣	A couple
很高的地位	high status
集训课	Training course
一对一	one on one
我想着...	我以为
我觉着...	我觉得的口语
球芽甘蓝/抱子甘蓝	brussels sprouts
羽衣甘蓝	kale
供你参考	FYI / by the way (more formal)
顺便说一下	By the way (informal)
潮湿	humid
白天的时候	during the daytime
仅供参考	for reference only (may be incorrect)
大家	Everyone
大部分	a majority
我不学中文了！	I don't learn Chinese anymore!
种菜	plant vegetables
农贸市场	farmers market
农民	Farmer
甜品	Dessert
糖果	sweets
噩梦	Nightmare
没礼貌	impolite/ rude
出差	On business trip
即使... 也...	even if...
酸	sour
甜	sweet
苦	bitter
辣	spicy
咸	salty
涩	astringent
腥	fishy
人生的酸甜苦辣	Life's sweet and bitterness
歐楂	medlar
中世纪	medieval
成熟	mature
熟成	ripe (fruit)
烂	rotten
软化	soften
粉丝	fan
俱乐部	club
卡	lag (in bad wifi connection)
流量	(cellular) data
过程	process
又爱又恨	Love and hate
盐	Salt
放学	get off school
放假	Have a holiday
之后	later on
补	make up for it (e.g. make up for work)
不舒服	uncomfortable
心里不舒服	be offended (without telling others)
沟通	communicate
退货	return the goods
赔钱	compensate (with money)
假一赔十	如果在我的商店里你买到了一个假货（jiǎ huò fake goods），我会赔十个商品的钱
总统	president
候选人	candidate
让我想起了	reminds me of
提醒	to remind someone to do
一张纸条	a memo
一个梗	a meme
热可可	hot coco
出发	Set off
乱	messy
性格	personality
没那么乱	Not so messy
区	district
商业区	Business district
住宅区	Residential area
五星	Five -star
责任	responsibility
飞行员	pilot
演员	actor
售货员	shop assistant
表情很丰富	expressive (facial expressions)
演技很好	good acting skills
客户	client
招待客人	to welcome guests
宿舍	dormitory
解释	explain
期待	Expectation
参加比赛	Participate in the competition
轮滑	Roller skating
好胜	competitive
“照骗”	catfish photo
骗子	scammer
牛角包	Croissant
杏仁	almond
杏仁膏	marzipan
杏仁糊	almond paste
芝麻糊	Sesame paste
单词卡	flashcard
找到一个方法	figure out
爱情片	romantic movie
恐怖片	Horror film
动作片	Action movie
惊悚片	thriller
电视剧	TV drama
刷剧	binge watch tv shows
公司法	Corporate law
民法	Civil law
刑法	criminal law
自律	self-discipline (名词/形容词)
规律	pattern
有规律的生活	routined life
律师	lawyer
给你留下了...的印象	Leave you the impression of ...
反义词	antonym
浅	shallow
水很深	deceiving
颜色很深/ 浅	dark/ light colour
对...很熟悉	Very familiar
睡衣	pyjamas
异人之下	I am Nobody (C-Drama)
X以上	More than X
角色	character
情节	plot
仅仅因为	only because
位置	Location
打哈欠🥱	Yawning
标准	standard
未来	future
体重	body weight
可靠	reliable
蜜月期	honeymoon phase
慢性病	chronic disease
开过分的玩笑	the joke has gone too far
要想...	If you want ...
共同爱好	mutual hobby
共同话题	mutual chat material
共同朋友	mutual friend
共同敌人	mutual enemy
共同生活	live together
共同努力	Work together
形容词	adjective
合适	suitable/ appropriate
有幸福感	have a sense of happiness
强迫症	obsessive-compulsive disorder
合作	cooperate
复制	copy
粘贴	paste
开心	（最常用）开心😄，不开心😢
高兴	很高兴认识你/ 高兴😄，不高兴😠
快乐	新年快乐/ 生日快乐/ 圣诞快乐/ 快乐的一天
愉快	周末愉快/ 合作愉快/ 旅途愉快/ 我有一个愉快的假期
愉悦	我今天心情很愉悦
幸福	很深，很稳定，很长时间的
梗	meme  (official translation)
表情包	meme (with image)
官方	official (e.g. the "official translation")
算了	nevermind
没事了	nevermind
指示牌	sign (e.g. in the Ithaka kitchen)
过塑	laminate (vb.)
天使	Angel
平底煎锅	frying pan
铸铁	cast iron
鑄鐵	cast iron (just including bc the traditional is insane)
小扁豆	lentil
粉末	powder
香菜籽	coriander (seeds)
土茴香籽	cumin
责备	blame
借口	excuse
按摩	massage
步骤	step
提示	hint/ tips
民国时期	Republic of China
冲突	conflict
交通	transportation
裁员	lay off
泡茶	brew a cup of tea
泡面	instant noodles
发	to send (texts/ photos/emails)
目标	goal
古希腊	Ancient Greece
古罗马	ancient rome
词根	word root
石头	Stone
翻译笔	translation pen
扫	scan
表示	express
布置	arrange/ organise
必须	must
能接受新的想法	open-minded
虚心学习	learn sth with a humble attitude
婚礼	wedding
承诺	promise
有很好的关系	Have a strong connection/ good relationship
不安	insecure
西兰花	broccoli
白菜	cabbage
菜花	cauliflower
韭菜	leek
躺	lie flat/lie down
口音	accent
唯一一个	the only one (wei2yi1yi2ge4)
社会	society
不夜城	nightless/sleepless city
胡同	Beijing's historic alleys
纽约	New York
搬到	to move to
无聊	boring
尴尬	embarrassing
压力	pressure
心水	salary
心水很高	well-paid
优秀	excellent
艺术家	artist
艺术	art
音乐家	musician
当	to do for work
工程师	engineer
类型	type
书柜	bookshelf
历史	history
建筑	architecture
对。。。感兴趣	have interest in smth
湾区	bay area
穷人	poor people
有钱人	rich people
长城	Great Wall
越南	Vietnam
正宗	authentic
生活	to live
薄	thin (e.g. a wall)
露营	to go camping
地图	map
北边	north part
海	ocean/sea
许可证	permit
拆	to tear down
体验	to experience (more formal)
公厕	public toilet
愿意	to be willing to
暖气	heater
空调	air conditioning
自来水	tap water
原来	originally
算是	to take as
而且	furthermore
摆着	zhe refers to the existence of things. "bai" is like???
对面	across, facing
健身	to work out, to exercise
健身房	fitness room/gym
回头	in a moment, later
校园	campus
博物馆	museum
礼堂	auditorium
校内	on-campus
校外	off-campus
吃素	to be vegetarian
式	to try
买单	check；to pay the bill；“check please”
结账	to pay the bill
海鲜	seafood
桌子	table
厨房	kitchen
交流	converse/communicate/exchange (e.g. ideas)
文具	stationery
信用卡	credit card
货币	currency
支票	check
发票	receipt (formal)
收据	receipt (casual)
收	to accept; to receive (money)
欧盟	E.U.
欧元	Euro
因为	because
所以	therefore
他已经付钱了。	He has already paid.
公共汽车	bus
教育	education
家庭教育	parenting
严格	strict
放弃	to give up
了解	to understand (generally)
理解	to understand (reasons/rationale) deeply
鼓励	to support
环境	environment
中性	neutral
很会过日子	knows how to spend their days
奖励	treat / to treat / reward / encourage
家家户户	each and every family
通电	to power up
挑水	to carry water (e.g. from a well)
再那块儿	over there
家庭	family
富裕	rich
富人	rich/wealthy person
一切	everything
错过	to miss out on
真正	real
过日子	to live (daily life)
低调	low profile
高调	high profile
后院	backyard
庭院	courtyard
司机	driver
孤独	lonely
家务	housework
每个人都是一个孤独的岛	everyone is lonely (a lonely island)
菜市场	farmer's market
县城	town
政策	policy
立法	legislation
看法	opinion
退休	to retire
气氛	atmosphere
友好	friendly
生存	to survive
生活习惯	living habits
基本上	basically
观光	sightseeing
经济	economy
发达	developed
自治县	autonomous region
当地	local (另外的地方） (lit. that place)
本地	local (这个地方） (lit. this place)
公务员	civil servant
政府干部	government officer
带头	to take the lead
营造	to create (an atmosphere)
方式	way
唠嗑	to chat （东北）
百分之	percent
鲜花	fresh flowers
喂	to feed
旅游	travel
欢迎	welcome
非洲	Africa
北美洲	North America
南美洲	South America
大洋洲	Oceania
南极洲	Antarctica
澳大利亚	Australia
澳洲	(also?) Australia
对。。。失望	to be disappointed in
对。。。满意	to be satisfied with
对。。。感到很开心	to feel happy about
对。。。有帮助/没帮助	helpful/not helpful for
对。。。有影响/有好的影响	have a good effect on (smth)
药店	pharmacy
词汇	vocabulary
词汇表	glossary
波士顿	Boston
爱尔兰	Ireland
寒假	winter vacation
暑假	summer vacation
春天	spring
秋天	autumn
冬天	winter
一直往前走	keep going straight
录音	recording
夸张	to exaggerate
蜻蜓	dragonfly
链接	link (as in for a website)
虽然	although
你呀	(colloquial, used to express dissatisfaction with the person being addressed)
手痒痒	(literally hands itch) eager to do smth
穿不出去	(colloquial, used to talk about clothes you wouldn't want to wear outside)
哪儿穿得(?)出去呀？	where would I wear it?
会被别人笑话	would be laughed at by others
习惯用语	idioms (colloquialisms)
成语	idioms (proverbs)
办法	solution
方法	method
作家	writer
各种	all types of smth
互相	each other / mutually
我们要互相学习，互相帮助。	We need to learn from each other and help each other.
邮差	mailman
在当地时间	(in) local time
纪录片	documentary
省	province
胃	stomach
烤	bake/ roast
中美洲	Central America
文化冲突	cultural conflict
抢工作	steal jobs
文章	article
新鲜	fresh
赌博	gamble
赌场	casino
深刻	profound
让我印象深刻	gave me a profound impression
群体	group
特征	characteristic
洛杉矶	Los Angeles
好客	hospitable
游客	tourists
人情美	beauty of humanity
冷漠	indifferent
接待客人	receive guests
放烟花	set off fireworks
最后一秒	the last second
熙熙攘攘	bustling
旅游区	travel destination/tourist area
拥挤	crowded
奇观	wonders
埃及	Egypt
文化包容	cultural inclusiveness
老总	Boss
早点	Early
白大褂	doctor's white coat
吊瓶	IV fluid bottle
小柴胡	medicine for fever
火盆	brazier (barbecue?)
蓬荜生辉	honored with your visit
先干为敬	may I propose a toast
过节	to celebrate festival/holiday
周围	around
大山深处	deep in the mountains
汉族	han ethnic group
少数民族	minority (china)
少数族裔	minority (USA)
华裔	oversea chinese
藏族	Tibetan
信仰	Belief
佛教	Buddhism
购物	Shopping
足够	enough
提高	improve
生活质量	Quality of Life
提高汉语水平	Improve the level of Chinese
提高说话能力	Improving the ability to speak
改善生活习惯	Improve living habits
改良一个产品	Improve a product
山脚	mountain base
山腰	mountain side
山顶	mountain peak
军事基地	Military base
推迟	put off
推卸责任	shrug off responsibilities
情绪化	Emotional
一个湖	A lake
一年四季	all year around
字体	Font
遛狗	walk the dog
兽医	veterinary
风铃	Wind chime
闹钟	Alarm clock
日程	schedule
同义词	Synonym
寺庙	temple
教堂	church
清真寺	mosque
犹太会堂	synagogue
希望的灯塔	a beacon of hope
明显	obvious
交叉	intersect
主流文化	Mainstream culture
题目	topic
主要	main
生活方式	lifestyle
家乡	hometown
芹菜	celery
进取	proactive
多元	Diverse
农田	farmland
亚洲人	Asian
包容	tolerance/ inclusiveness
蒙古族	Mongolian
印度人	Indian
好处	benefit
好坏	Good or bad
坏处	harm
思想开放	Open-minded
关心	care
控制	control
悲剧	tragedy
社会问题	Social Issues
世界	world
全球变暖	global warming
典型	typical
穆斯林	Muslim
种族歧视	racism
强	strong
基督徒	Christian
枪	gun
村庄	village
推开门	open the door
雪山	Snow mountain
放牛	to herd
草地	meadow
赛马	horse racing
翻山越岭	cross the mountains
草原	prairie
冰川	glacier
白塔	White tower
做客	Be a guest
骑着	Ride
自由	freedom
打印	Print
打印机	printer
打印出来	print it out
出现	Appear
代表	represent
气候变化	climate change
全球暖化	global warming
天气	weather
感受	to feel
行为	Behavior
森林	forest
电子产品	electronic product
美食	gourmet food
粤菜	cantonese food
爱好	hobby
日食	solar eclipse
过马路	cross the road
调头	take u turn
吓我一跳	scare me
前排	front row
后排	back row
帖子	post (social media)
对...好奇	curious about
好奇心	curious
版本	version
原版	original version
配音	dubbing
字幕	subtitles
有耐心	patient (has patience)
遇到	to meet
名词	noun
中东	Middle East
唯独	the only
战争	war
以色列	Israel
巴勒斯坦	Palestine
假装	to pretend
正后面	Behind (lit. central back)
一家三口	family of 3
牌子	brand
眼影盘	eye shadow palette
“双十一”	Double 11 big sale
眼影	Eye shadow
情侣	Couple
夫妇	married couple
租房子	Rent a house
照顾	take care of
可怕	scary/ horrible
枪击案	Shooting
祈祷	pray
法律	law
电梯	elevator
扶手电梯	escalator
蜘蛛	spider
蟑螂	cockroach
展示	exhibit
同性恋	Homosexuality
