我	/I; me; my/
电视	/television; TV/CL:臺|台[tai2],個|个[ge4]/
电脑	/computer/CL:臺|台[tai2]/
电影	/movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]/
天气	/weather/
猫	/cat (CL:隻|只[zhi1])/(dialect) to hide oneself/(loanword) (coll.) modem/
狗	/dog/CL:隻|只[zhi1],條|条[tiao2]/
东西	/thing/stuff/person/CL:個|个[ge4],件[jian4]/
人	/person; people/CL:個|个[ge4],位[wei4]/
名字	/name (of a person or thing)/CL:個|个[ge4]/
书	/book/letter/document/CL:本[ben3],冊|册[ce4],部[bu4]/to write/
汉语	/Chinese language/CL:門|门[men2]/
字	/letter/symbol/character/word/CL:個|个[ge4]/courtesy or style name traditionally given to males aged 20 in dynastic China/
桌子	/table/desk/CL:張|张[zhang1],套[tao4]/
椅子	/chair/CL:把[ba3],套[tao4]/
谢谢	/to thank/thanks/thank you/
不客气	/you're welcome/don't mention it/impolite/rude/blunt/
再见	/goodbye/see you again later/
请	/to ask/to invite/please (do sth)/to treat (to a meal etc)/to request/
对不起	/I'm sorry; excuse me; I beg your pardon/to let (sb) down; to disappoint/
没关系	/it doesn't matter/
是	/variant of 是[shi4]/
有	/to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)/
看	/to see; to look at/to read/to watch/to visit; to call on/to consider; to regard as/to look after/to treat (a patient or illness)/to depend on/to feel (that)/(after a verb) to give it a try/to watch out for/
听	/to listen to; to hear/to heed; to obey/a can (loanword from English "tin")/classifier for canned beverages/to let be; to allow (Taiwan pr. [ting4])/(literary) to administer; to deal with (Taiwan pr. [ting4])/
说	/variant of 說|说[shuo1]/
读	/to read out; to read aloud/to read/to attend (school); to study (a subject in school)/to pronounce/
写	/to write/
看见	/to see/to catch sight of/
叫	/variant of 叫[jiao4]/
来	/to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2 lai5])/ever since (as in 自古以來|自古以来[zi4 gu3 yi3 lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2 shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2 de5 lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1 bu5 lai2])/
回	/variant of 迴|回[hui2]/
去	/to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)/
吃	/variant of 吃[chi1]/
喝	/to shout/
睡觉	/to go to bed/to sleep/
打电话	/to make a telephone call/
做	/to make; to produce/to write; to compose/to do; to engage in; to hold (a party etc)/(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)/(of a thing) to serve as; to be used for/to assume (an air or manner)/
买	/to buy/to purchase/
开	/to open (transitive or intransitive)/(of ships, vehicles, troops etc) to start/to turn on; to put in operation; to operate; to run/to boil/to write out (a prescription, check, invoice etc)/(directional complement) away; off/carat (gold)/abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]/abbr. for 開本|开本[kai1 ben3], book format/
坐	/to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]/
住	/to live/to dwell/to stay/to reside/to stop/(suffix indicating firmness, steadiness, or coming to a halt)/
学习	/to learn/to study/
工作	/to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]/
下雨	/to rain/
爱	/to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)/
喜欢	/to like; to be fond of/
想	/to think (about)/to think of; to devise/to think (that); to believe (that)/to desire; to want (to)/to miss (feel wistful about the absence of)/
认识	/to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition/
会	/to balance an account/accounting/accountant/
能	/can/to be able to/might possibly/ability/(physics) energy/
好	/to be fond of; to have a tendency to; to be prone to/
大	/see 大夫[dai4 fu5]/
小	/small/tiny/few/young/
多	/many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-/
少	/young/
冷	/cold/
热	/to warm up/to heat up/hot (of weather)/heat/fervent/
高兴	/happy/glad/willing (to do sth)/in a cheerful mood/
漂亮	/pretty; beautiful/
