爱情	/romance; love (romantic)/CL:份[fen4]/
成为	/to become; to turn into/
诚实	/honest/
乘坐	/to ride (in a vehicle)/
吃惊	/to be startled/to be shocked/to be amazed/
重新	/again; once more; re-/
抽烟	/to smoke (a cigarette, tobacco)/
出差	/to go on an official or business trip/
出发	/to set off/to start (on a journey)/
出生	/to be born/
出现	/to appear/to arise/to emerge/to show up/
厨房	/kitchen/CL:間|间[jian1]/
传真	/fax/facsimile/
窗户	/window/CL:個|个[ge4],扇[shan4]/
词语	/word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression/
从来	/always/at all times/never (if used in negative sentence)/
粗心	/careless/thoughtless/
存	/to exist/to deposit/to store/to keep/to survive/
错误	/mistaken; false; wrong/error; mistake/CL:個|个[ge4]/
答案	/answer/solution/CL:個|个[ge4]/
打招呼	/to greet sb by word or action/to give prior notice/
打扮	/to decorate/to dress/to make up/to adorn/manner of dressing/style of dress/
打扰	/to disturb/to bother/to trouble/
打印	/to affix a seal/to stamp/to print out (with a printer)/
打折	/to give a discount/
打针	/to give or have an injection/
大概	/roughly/probably/rough/approximate/about/general idea/
大使馆	/embassy/CL:座[zuo4],個|个[ge4]/
大约	/approximately/probably/
戴	/to put on or wear (glasses, hat, gloves etc)/to respect/to bear/to support/
大夫	/doctor/physician/
当	/at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)/
当时	/at once/right away/
刀	/knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs/
导游	/tour guide/guidebook/to conduct a tour/
倒	/to invert; to place upside down or frontside back/to pour out/to tip out; to dump/inverted; upside down; reversed/to go backward/contrary to what one might expect; but; yet/
到处	/everywhere/
到底	/finally/in the end/when all is said and done/after all/to the end/to the last/
道歉	/to apologize/
得意	/proud of oneself/pleased with oneself/complacent/
地点	/place/site/location/venue/CL:個|个[ge4]/
得（助动词）	have to
登机牌	/boarding pass/
等 （动）	wait (verb)
低	/low/beneath/to lower (one's head)/to let droop/to hang down/to incline/
底	/background/bottom/base/end (of the month, year etc)/remnants/(math.) radix/base/
地球	/the earth/CL:個|个[ge4]/
地址	/address/CL:個|个[ge4]/
掉	/to fall/to drop/to lag behind/to lose/to go missing/to reduce/fall (in prices)/to lose (value, weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion, fulfillment, removal etc)/
调查	/investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]/
丢	/to lose/to put aside/to throw/
动作	/movement; motion; action (CL:個|个[ge4])/to act; to move/
堵车	/traffic jam/(of traffic) to get congested/
肚子	/belly/abdomen/stomach/CL:個|个[ge4]/
短信	/text message/SMS/
对于	/regarding; as far as (sth) is concerned; with regard to/
对话	/to talk (with sb)/dialogue; conversation/
对面	/(sitting) opposite/across (the street)/directly in front/to be face to face/
而	/and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast)/
儿童	/child/CL:個|个[ge4]/
发生	/to happen; to occur; to take place; to break out/
发展	/development/growth/to develop/to grow/to expand/
法律	/law/CL:條|条[tiao2], 套[tao4], 個|个[ge4]/
翻译	/to translate/to interpret/translator/interpreter/translation/interpretation/CL:個|个[ge4],位[wei4],名[ming2]/
烦恼	/to be worried/to be distressed/worries/
反对	/to oppose; to be against; to object to/
方法	/method; way; means/CL:個|个[ge4]/
方面	/respect/aspect/field/side/CL:個|个[ge4]/
方向	/direction; orientation/CL:個|个[ge4]/
房东	/landlord/
放弃	/to renounce; to abandon; to give up/
放暑假	/to be on summer vacation/
放松	/to relax; to slacken; to loosen/
份	/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/variant of 分[fen4]/
丰富	/to enrich/rich/plentiful/abundant/
否则	/otherwise; if not; or (else)/
符合	/in keeping with/in accordance with/tallying with/in line with/to agree with/to accord with/to conform to/to correspond with/to manage/to handle/
富	/rich/abundant/wealthy/
付款	/to pay a sum of money/payment/
父亲	/father/also pr. [fu4 qin5]/CL:個|个[ge4]/
复印	/to photocopy/to duplicate a document/
复杂	/complicated; complex/
负责	/to be responsible for; to be in charge of; to bear responsibility for/conscientious/
改变	/to change/to alter/to transform/
干杯	/to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup/
赶	/to overtake; to catch up with/to hurry; to rush/to try to catch (the bus etc)/to drive (cattle etc) forward; to drive (sb) away/to avail oneself of (an opportunity)/until; by (a certain time)/
敢	/to dare/daring/(polite) may I venture/
感动	/to move (sb)/to touch (sb emotionally)/moving/
感觉	/feeling; impression; sensation/to feel; to perceive/
感情	/emotion; sentiment/affection; feelings between two persons/CL:個|个[ge4],種|种[zhong3]/
感谢	/(express) thanks/gratitude/grateful/thankful/thanks/
干	/tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/(coll.) pissed off/annoyed/
刚	/hard/firm/strong/just/barely/exactly/
高速公路	/expressway; highway; freeway/
胳膊	/arm/CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]/
各	/each/every/
公里	/kilometer/
工资	/wages; pay/CL:個|个[ge4],份[fen4]/
功夫	/skill/art/kung fu/labor/effort/
共同	/common/joint/jointly/together/collaborative/
够	/enough (sufficient)/enough (too much)/(coll.) (before adj.) really/(coll.) to reach by stretching out/
购物	/shopping/
估计	/to estimate; to assess; to calculate/(coll.) to reckon; to think (that ...)/
鼓励	/to encourage/
顾客	/customer; client/CL:位[wei4]/
故意	/deliberately; on purpose/
挂	/to hang; to suspend (from a hook etc)/to hang up (the phone)/(of a line) to be dead/to be worried; to be concerned/(dialect) to make a phone call/to register (at a hospital); to make an appointment (with a doctor)/(slang) to kill; to die; to be finished; to fail (an exam)/classifier for sets or clusters of objects/
关键	/crucial point/crux/CL:個|个[ge4]/key/crucial/pivotal/
观众	/spectators; audience; visitors (to an exhibition etc)/
管理	/to supervise/to manage/to administer/management/administration/CL:個|个[ge4]/
光	/light; ray (CL:道[dao4])/bright; shiny/only; merely/used up; finished/to leave (a part of the body) uncovered/
广播	/broadcast/CL:個|个[ge4]/broadcasting/to broadcast/(formal) to propagate/to publicize/
广告	/to advertise/a commercial/advertisement/CL:項|项[xiang4]/
逛	/to stroll/to visit/
规定	/to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)/regulations; rules; provisions; stipulations/
国际	/international/
国籍	/nationality/
果汁	/fruit juice/
过程	/course of events/process/CL:個|个[ge4]/
海洋	/ocean/CL:個|个[ge4]/
害羞	/shy/embarrassed/bashful/
寒假	/winter vacation/
汗	/perspiration/sweat/CL:滴[di1],頭|头[tou2],身[shen1]/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)/
航班	/(scheduled) flight; (scheduled) sailing/
好处	/benefit; advantage; merit/gain; profit/also pr. [hao3 chu4]/
好像	/as if/to seem like/
号码	/number/CL:堆[dui1],個|个[ge4]/
合格	/to meet the standard required/qualified/eligible (voter etc)/
合适	/suitable; fitting; appropriate/
盒子	/box/case/
厚	/thick/deep or profound/kind/generous/rich or strong in flavor/to favor/to stress/
后悔	/to regret; to feel remorse/
护士	/nurse/CL:個|个[ge4]/
互联网	/Internet/
互相	/each other/mutually/mutual/
怀疑	/to doubt (sth); to be skeptical of/to have one's doubts; to harbor suspicions; to suspect that/
回忆	/to recall/memories/CL:個|个[ge4]/
活动	/to exercise/to move about/to operate/to use connections (personal influence)/loose/shaky/active/movable/activity/campaign/maneuver/behavior/CL:項|项[xiang4],個|个[ge4]/
活泼	/lively/vivacious/brisk/active/(chemistry) reactive/
火	/fire/urgent/ammunition/fiery or flaming/internal heat (Chinese medicine)/hot (popular)/classifier for military units (old)/Kangxi radical 86/
获得	/to obtain; to receive; to get/
基础	/base; foundation; basis/basic; fundamental/
激动	/to move emotionally/to stir up (emotions)/to excite/
积极	/active/energetic/vigorous/positive (outlook)/proactive/
积累	/to accumulate/accumulation/cumulative/cumulatively/
及时	/timely; at the right time/promptly; without delay/
即使	/even if; even though/
寄	/to send/to mail/to entrust/to depend on/to attach oneself to/to live (in a house)/to lodge/foster (son etc)/
记者	/reporter; journalist/CL:個|个[ge4]/
计划	/plan/project/program/to plan/to map out/CL:個|个[ge4],項|项[xiang4]/
既然	/since; as; this being the case/
技术	/technology; technique; skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]/
继续	/to continue; to proceed with; to go on with/
家具	/furniture/CL:件[jian4],套[tao4]/
加班	/to work overtime/
加油站	/gas station/
假	/variant of 假[jia3]/to borrow/
价格	/price/CL:個|个[ge4]/
坚持	/to persevere with/to persist in/to insist on/
减肥	/to lose weight/
减少	/to lessen; to decrease; to reduce; to lower/
建议	/to propose; to suggest; to recommend/proposal; suggestion; recommendation/CL:個|个[ge4],點|点[dian3]/
将来	/in the future/future/the future/CL:個|个[ge4]/
奖金	/premium/award money/bonus/
降低	/to reduce; to lower; to bring down/
降落	/to descend/to land/
交	/to hand over; to deliver; to pay (money); to turn over/to make friends/(of lines) to intersect/variant of 跤[jiao1]/
交流	/to exchange/exchange/communication/interaction/to have social contact (with sb)/
交通	/to be connected/traffic/transportation/communications/liaison/
郊区	/suburban district; outskirts; suburbs/
骄傲	/pride/arrogance/conceited/proud of sth/
饺子	/dumpling/pot-sticker/CL:個|个[ge4],隻|只[zhi1]/
教授	/professor/to instruct/to lecture on/CL:個|个[ge4],位[wei4]/
教育	/to educate/to teach/education/
接受	/to accept (a suggestion, punishment, bribe etc); to acquiesce/
接着	/to catch and hold on/to continue/to go on to do sth/to follow/to carry on/then/after that/subsequently/to proceed/to ensue/in turn/in one's turn/
结果	/outcome/result/conclusion/in the end/as a result/to kill/to dispatch/
节	/joint; node/(bound form) section; segment/solar term (one of the 24 divisions of the year in the traditional Chinese calendar)/seasonal festival/(bound form) to economize; to save/(bound form) moral integrity; chastity/classifier for segments: lessons, train wagons, biblical verses etc/knot (nautical miles per hour)/
节约	/to economize/to conserve (resources)/economy/frugal/
解释	/explanation/to explain/to interpret/to resolve/CL:個|个[ge4]/
尽管	/despite/although/even though/in spite of/unhesitatingly/do not hesitate (to ask, complain etc)/(go ahead and do it) without hesitating/
紧张	/nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]/
进行	/to advance/to conduct/underway/in progress/to do/to carry out/to carry on/to execute/
禁止	/to prohibit/to forbid/to ban/
精彩	/wonderful/marvelous/brilliant/
经济	/economy/economic/
经历	/experience/CL:個|个[ge4],次[ci4]/to experience/to go through/
经验	/experience/to experience/
京剧	/Beijing opera/CL:場|场[chang3],齣|出[chu1]/
警察	/police; police officer/
景色	/scenery/scene/landscape/view/
竟然	/unexpectedly/to one's surprise/in spite of everything/in that crazy way/actually/to go as far as to/
竞争	/to compete/competition/
镜子	/mirror/CL:面[mian4],個|个[ge4]/
究竟	/to go to the bottom of a matter/after all/when all is said and done/(in an interrogative sentence) finally/outcome/result/
举	/to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect/act/move/deed/
举办	/to conduct/to hold/
举行	/to hold (a meeting, ceremony etc)/
拒绝	/to refuse; to decline; to reject/
距离	/distance/CL:個|个[ge4]/to be apart from/
聚会	/party/gathering/to meet/to get together/
开玩笑	/to play a joke; to make fun of; to joke/
开心	/to feel happy/to rejoice/to have a great time/to make fun of sb/
看法	/way of looking at a thing/view/opinion/CL:個|个[ge4]/
考虑	/to think over/to consider/consideration/
烤鸭	/roast duck/
棵	/classifier for trees, cabbages, plants etc/
科学	/science/scientific knowledge/scientific/rational/CL:門|门[men2],個|个[ge4],種|种[zhong3]/
咳嗽	/to cough/CL:陣|阵[zhen4]/
可怜	/pitiful/pathetic/to have pity on/
可是	/but; however/(used for emphasis) indeed/
可惜	/it is a pity/what a pity/unfortunately/
客厅	/drawing room (room for arriving guests)/living room/CL:間|间[jian1]/
肯定	/to be certain; to be positive/assuredly; definitely/to give recognition; to affirm/affirmative (answer)/
空	/to empty/vacant/unoccupied/space/leisure/free time/
空气	/air/atmosphere/
恐怕	/fear/to dread/I'm afraid that.../perhaps/maybe/
苦	/bitter/hardship/pain/to suffer/to bring suffering to/painstakingly/
矿泉水	/mineral water/CL:瓶[ping2],杯[bei1]/
困	/sleepy/tired/
困难	/difficult/challenging/straitened circumstances/difficult situation/
拉	/to pull/to play (a bowed instrument)/to drag/to draw/to chat/(coll.) to empty one's bowels/
垃圾桶	/rubbish bin/trash can/garbage can/Taiwan pr. [le4 se4 tong3]/
辣	/hot (spicy)/pungent/(of chili pepper, raw onions etc) to sting/to burn/
来自	/to come from (a place)/From: (in email header)/
来不及	/there's not enough time (to do sth)/it's too late (to do sth)/
来得及	/to have enough time; can do it in time; can still make it/
懒	/lazy/
浪费	/to waste/to squander/
浪漫	/romantic/
老虎	/tiger/CL:隻|只[zhi1]/
冷静	/calm; cool-headed; dispassionate/(of a place) deserted; quiet/
理发	/to get a haircut; to have one's hair done/to cut (sb's) hair; to give (sb) a haircut/
理解	/to comprehend; to understand/
理想	/an ideal/a dream/ideal/perfect/
礼貌	/courtesy; politeness; manners/courteous; polite/
礼拜天	/Sunday/
厉害	/(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding/(of a person) stern; strict; harsh; shrewd; tough/(of an animal) fierce/(of a resemblance) striking/(of liquor or chili pepper) strong/(of bacteria) virulent/
力气	/strength/CL:把[ba3]/
例如	/for example; for instance; such as/
俩	/used in 伎倆|伎俩[ji4 liang3]/
连	/to link/to join/to connect/continuously/in succession/including/(used with 也[ye3], 都[dou1] etc) even/company (military)/
联系	/connection/contact/relation/to get in touch with/to integrate/to link/to touch/
凉快	/nice and cold/pleasantly cool/
零钱	/change (of money)/small change/pocket money/
另外	/additional/in addition/besides/separate/other/moreover/furthermore/
留	/old variant of 留[liu2]/
流利	/fluent/
流行	/(of a contagious disease etc) to spread/to propagate/(of a style of clothing, song etc) popular/fashionable/
乱	/in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary/
旅行	/to travel/journey; trip/CL:趟[tang4],次[ci4]/
律师	/lawyer/
麻烦	/trouble; inconvenience/inconvenient; troublesome; annoying/to bother sb; to put sb to trouble/
马虎	/careless/sloppy/negligent/skimpy/
满	/to fill/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented/
毛	/hair/feather/down/wool/mildew/mold/coarse or semifinished/young/raw/careless/unthinking/nervous/scared/(of currency) to devalue or depreciate/classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])/
毛巾	/towel/CL:條|条[tiao2]/
美丽	/beautiful/
梦	/dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream/
迷路	/to lose the way/lost/labyrinth/labyrinthus vestibularis (of the inner ear)/
密码	/cipher; secret code/password; PIN/
免费	/free (of charge)/
秒	/second (unit of time)/arc second (angular measurement unit)/(coll.) instantly/
民族	/nationality; ethnic group/CL:個|个[ge4]/
母亲	/mother/also pr. [mu3 qin5]/CL:個|个[ge4]/
目的	/purpose; aim; goal; target; objective/CL:個|个[ge4]/
耐心	/to be patient/patience/
难道	/don't tell me .../could it be that...?/
难受	/to feel unwell/to suffer pain/to be difficult to bear/
内	/inside/inner/internal/within/interior/
内容	/content/substance/details/CL:個|个[ge4],項|项[xiang4]/
能力	/capability/ability/CL:個|个[ge4]/
年龄	/(a person's) age/CL:把[ba3],個|个[ge4]/
弄	/variant of 弄[long4]/
暖和	/warm/nice and warm/
偶尔	/occasionally/once in a while/sometimes/
排队	/to line up/
排列	/to arrange in order/(math.) permutation/
判断	/to judge/to determine/judgment/
陪	/to accompany/to keep sb company/to assist/old variant of 賠|赔[pei2]/
批评	/to criticize; criticism/CL:次[ci4],番[fan1]/
皮肤	/skin/CL:層|层[ceng2],塊|块[kuai4]/
脾气	/character; temperament; disposition/bad temper/CL:股[gu3]/
篇	/sheet/piece of writing/bound set of bamboo slips used for record keeping (old)/classifier for written items: chapter, article/
骗	/to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over/
乒乓球	/table tennis/ping-pong/table tennis ball/CL:個|个[ge4]/
平时	/ordinarily/in normal times/in peacetime/
破	/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of/
葡萄	/grape/
普遍	/universal/general/widespread/common/
普通话	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech/
其次	/next/secondly/
其中	/among/in/included among these/
气候	/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]/
千万	/ten million/countless/many/one must by all means/
签证	/visa/to issue a visa/
敲	/to hit/to strike/to tap/to rap/to knock/to rip sb off/to overcharge/
桥	/bridge/CL:座[zuo4]/
巧克力	/chocolate (loanword)/CL:塊|块[kuai4]/
亲戚	/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]/
轻	/light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/to disparage/
轻松	/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
情况	/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]/
穷	/poor/destitute/to use up/to exhaust/thoroughly/extremely/(coll.) persistently and pointlessly/
区别	/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]/
取	/to take/to get/to choose/to fetch/
全部	/whole; all/
缺点	/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]/
缺少	/lack/shortage of/shortfall/to be short (of)/to lack/
却	/but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/
确实	/indeed/really/reliable/real/true/
然而	/however; but; yet/
热闹	/bustling with noise and excitement/lively/
任何	/any; whatever; whichever/
任务	/mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]/
扔	/to throw/to throw away/
仍然	/still; as before; yet/
日记	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
入口	/entrance/to import/
散步	/to take a walk; to go for a walk/
森林	/forest/CL:片[pian4]/
沙发	/sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post/
商量	/to consult/to talk over/to discuss/
伤心	/to grieve/to be broken-hearted/to feel deeply hurt/
稍微	/a little bit/
勺子	/scoop/ladle/CL:把[ba3]/
社会	/society/CL:個|个[ge4]/
深	/deep (lit. and fig.)/
申请	/to apply for sth/application form (CL:份[fen4])/
甚至	/even; so much so that/
生活	/to live/life/livelihood/
生命	/life (as the characteristic of living beings)/living being; creature (CL:個|个[ge4],條|条[tiao2])/
生意	/business/CL:筆|笔[bi3]/
省	/(bound form) to scrutinize/(bound form) to reflect (on one's conduct)/(bound form) to come to realize/(bound form) to pay a visit (to one's parents or elders)/
剩	/to remain/to be left/to have as remainder/
失败	/to be defeated/to lose/to fail (e.g. experiments)/failure/defeat/CL:次[ci4]/
失望	/disappointed/to lose hope/to despair/
师傅	/master/qualified worker/respectful form of address for older men/CL:個|个[ge4],位[wei4],名[ming2]/
十分	/very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts/
实际	/reality/practice/practical/realistic/real/actual/
实在	/really/actually/indeed/true/real/honest/dependable/(philosophy) reality/
使	/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
使用	/to use/to employ/to apply/to make use of/
是否	/whether (or not)/if/is or isn't/
适合	/to fit; to suit/
适应	/to adapt/to fit/to suit/
世纪	/century/CL:個|个[ge4]/
收	/to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)/
收入	/to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]/
收拾	/to put in order/to tidy up/to pack/to repair/(coll.) to sort sb out/to fix sb/
首都	/capital (city)/CL:個|个[ge4]/
首先	/first (of all)/in the first place/
受不了	/unbearable/unable to endure/can't stand/
受到	/to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)/
售货员	/salesperson/CL:個|个[ge4]/
输	/to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)/
熟悉	/to be familiar with; to know well/
数量	/amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity/
数字	/numeral/digit/number/figure/amount/digital (electronics etc)/CL:個|个[ge4]/
帅	/(bound form) commander-in-chief/(bound form) to lead; to command/handsome; graceful; dashing; elegant/(coll.) cool!; sweet!/(Chinese chess) general (on the red side, equivalent to a king in Western chess)/
顺便	/conveniently/in passing/without much extra effort/
顺利	/smoothly; without a hitch/
顺序	/sequence/order/
说明	/to explain/to illustrate/to indicate/to show/to prove/explanation/directions/caption/CL:個|个[ge4]/
硕士	/master's degree/person who has a master's degree/learned person/
死	/to die/impassable/uncrossable/inflexible/rigid/extremely/damned/
速度	/speed/rate/velocity/(music) tempo/CL:個|个[ge4]/
塑料袋	/plastic bag/
酸	/sour/tart/sick at heart/grieved/sore/aching/pedantic/impractical/to make sarcastic remarks about sb/an acid/
随便	/as one wishes/as one pleases/at random/negligent/casual/wanton/
随着	/along with/in the wake of/following/
孙子	/grandson/son's son/
所有	/all/to have; to possess; to own/
台	/typhoon/
抬	/to lift/to raise/(of two or more persons) to carry/
态度	/manner/bearing/attitude/approach/CL:個|个[ge4]/
谈	/to speak/to talk/to converse/to chat/to discuss/
弹钢琴	to play the piano
汤	/soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled/
糖	/old variant of 糖[tang2]/
躺	/to recline/to lie down/
趟	/classifier for times, round trips or rows/a time/a trip/
讨论	/to discuss; to talk over/
讨厌	/to dislike/to loathe/disagreeable/troublesome/annoying/
特点	/characteristic (feature)/trait/feature/CL:個|个[ge4]/
提	/to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid/
提供	/to offer/to supply/to provide/to furnish/
提前	/to shift to an earlier date/to do sth ahead of time/in advance/
提醒	/to remind/to call attention to/to warn of/
填空	/to fill a job vacancy/to fill in a blank (e.g. on questionnaire or exam paper)/
条件	/condition; circumstance; term; factor/requirement; prerequisite; qualification/situation; state; condition/CL:個|个[ge4]/
停	/to stop/to halt/to park (a car)/
挺	/straight/erect/to stick out (a part of the body)/to (physically) straighten up/to support/to withstand/outstanding/(coll.) quite/very/classifier for machine guns/
通过	/to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)/by means of; through; via/
通知	/to notify/to inform/notice/notification/CL:個|个[ge4]/
同时	/at the same time; simultaneously/
同情	/to sympathize with/sympathy/
推	/to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect/massage/
推迟	/to postpone/to put off/to defer/
脱	/to shed/to take off/to escape/to get away from/
袜子	/socks/stockings/CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]/
完全	/complete; whole/totally; entirely/
往往	/usually/in many cases/more often than not/
网球	/tennis/tennis ball/CL:個|个[ge4]/
网站	/website/
危险	/danger/dangerous/
味道	/flavor; taste/(fig.) feeling (of ...); sense (of ...); hint (of ...)/(fig.) interest; delight/(dialect) smell; odor/
卫生间	/bathroom/toilet/WC/CL:間|间[jian1]/
温度	/temperature/CL:個|个[ge4]/
文章	/article/essay/literary works/writings/hidden meaning/CL:篇[pian1],段[duan4],頁|页[ye4]/
污染	/to pollute; to contaminate (lit. and fig.)/
无	/not to have/no/none/not/to lack/un-/-less/
无聊	/bored/boring/senseless/
无论	/no matter what or how/regardless of whether.../
误会	/to misunderstand/to mistake/misunderstanding/CL:個|个[ge4]/
西红柿	/tomato/CL:隻|只[zhi1]/
吸引	/to attract; to appeal to; to fascinate/
咸	/salted/salty/stingy/miserly/
现金	/cash/
羡慕	/to envy/to admire/
香	/fragrant/sweet smelling/aromatic/savory or appetizing/(to eat) with relish/(of sleep) sound/perfume or spice/joss or incense stick/CL:根[gen1]/
相反	/opposite/contrary/
相同	/identical/same/
详细	/detailed/in detail/minute/
响	/echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises/
橡皮	/rubber/an eraser/CL:塊|块[kuai4]/
消息	/news/information/CL:條|条[tiao2]/
小吃	/snack/refreshments/CL:家[jia1]/
小伙子	/young man/young guy/lad/youngster/CL:個|个[ge4]/
小说	/novel/fiction/CL:本[ben3],部[bu4]/
笑话	/joke; jest (CL:個|个[ge4])/to laugh at; to mock/ridiculous; absurd/
效果	/result/effect/efficacy/(theater) sound or visual effects/
辛苦	/exhausting/hard/tough/arduous/to work hard/to go to a lot of trouble/hardship(s)/
心情	/mood; frame of mind/CL:個|个[ge4]/
信封	/envelope/CL:個|个[ge4]/
信息	/information/news/message/
信心	/confidence/faith (in sb or sth)/CL:個|个[ge4]/
兴奋	/excited/excitement/(physiology) excitation/
行	/to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do/behavior/conduct/Taiwan pr. [xing4] for the behavior-conduct sense/
醒	/to wake up/to be awake/to become aware/to sober up/to come to/
性别	/gender/sex/
