临	lin2	/to face/to overlook/to arrive/to be (just) about to/just before/
踏	ta4;ta1	/see 踏實|踏实[ta1 shi5]/to tread/to stamp/to step on/to press a pedal/to investigate on the spot/
家	jia1	/used in 傢伙|家伙[jia1 huo5] and 傢俱|家俱[jia1 ju4]/home/family/(polite) my (sister, uncle etc)/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian/CL:個|个[ge4]/
霉	mei2	/mold/mildew/to become moldy/variant of 霉[mei2]/
届	jie4	/to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)/
影	ying3	/picture/image/film/movie/photograph/reflection/shadow/trace/
雕	diao1	/variant of 雕[diao1], to engrave/to carve/to engrave/shrewd/bird of prey/bird of prey/
刀	Dao1;dao1	/surname Dao/knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs/
夹	jia4;jia1;jia2	/to press from either side/to place in between/to sandwich/to carry sth under armpit/wedged between/between/to intersperse/to mix/to mingle/clip/folder/Taiwan pr. [jia2]/double-layered/lined (garment)/Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2]/variant of 夾|夹[jia2]/
欠	qian4	/to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)/
惮	dan4	/dread/fear/dislike/
株	zhu1	/tree trunk/stump (tree root)/a plant/classifier for trees or plants/strain (biology)/to involve others (in shady business)/
算	suan4	/to regard as/to figure/to calculate/to compute/
造	zao4	/to make/to build/to manufacture/to invent/to fabricate/to go to/party (in a lawsuit or legal agreement)/crop/classifier for crops/
暧	ai4	/(of daylight) dim/obscure/clandestine/dubious/
元	yuan2;Yuan2	/surname Yuan/the Yuan or Mongol dynasty (1279-1368)/currency unit (esp. Chinese yuan)/(bound form) first; original; primary/(bound form) basic; fundamental/(bound form) constituent; part/(prefix) meta-/(math.) argument; variable/era (of a reign)/(Tw) (geology) eon/
庭	ting2	/main hall/front courtyard/law court/
饿	e4	/hungry/to starve (sb)/
抄	chao1	/to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms/
浮	fu2	/to float/superficial/floating/unstable/movable/provisional/temporary/transient/impetuous/hollow/inflated/to exceed/superfluous/excessive/surplus/
萨	Sa4	/Bodhisattva/surname Sa/
外	wai4	/outside/in addition/foreign/external/
赔	pei2	/to compensate for loss/to indemnify/to suffer a financial loss/
姻	yin1	/marriage connections/variant of 姻[yin1]/
监	jian1;jian4	/to supervise/to inspect/jail/prison/supervisor/
堂	tang2	/(main) hall/large room for a specific purpose/CL:間|间[jian1]/relationship between cousins etc on the paternal side of a family/of the same clan/classifier for classes, lectures etc/classifier for sets of furniture/grand/magnificent/stately/majestic appearance/
嗑	ke4	/to crack (seeds) between one's teeth/
杠	gang1;gang4	/flagpole/footbridge/variant of 槓|杠[gang4]/coffin-bearing pole (old)/thick pole; bar; rod/thick line/to mark with a thick line/to sharpen (a knife, razor etc)/to get into a dispute with/standard; criterion/hyphen; dash/
课	ke4	/subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination/
棺	guan1	/coffin/
厚	hou4	/thick/deep or profound/kind/generous/rich or strong in flavor/to favor/to stress/
毕	bi4;Bi4	/surname Bi/the whole of/to finish/to complete/complete/full/finished/
程	Cheng2;cheng2	/surname Cheng/rule/order/regulations/formula/journey/procedure/sequence/
渗	shen4	/to seep/to ooze/to horrify/
巷	xiang4	/lane/alley/
勘	kan1	/to investigate/to survey/to collate/
迷	mi2	/to bewilder/crazy about/fan/enthusiast/lost/confused/
国	guo2;Guo2	/surname Guo/country; nation; state (CL:個|个[ge4])/(bound form) national/
霸	ba4	/variant of 霸[ba4]/hegemon/tyrant/lord/feudal chief/to rule by force/to usurp/(in modern advertising) master/
受	shou4	/to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)/
伤	shang1	/to injure/injury/wound/
拓	tuo4;ta4;Tuo4	/surname Tuo/to make a rubbing (e.g. of an inscription)/to expand/to push sth with the hand/to develop/to open up/
子	zi5;zi3	/son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the rat/viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]/ancient Chinese compass point: 0° (north)/subsidiary; subordinate; (prefix) sub-/(noun suffix)/
筐	kuang1	/basket/CL:隻|只[zhi1]/
谷	Gu3;gu3	/grain/corn/surname Gu/valley/
灿	can4	/glorious/bright/brilliant/lustrous/resplendent/
父	fu4	/father/
难	nan4;nan2	/difficult (to...)/problem/difficulty/difficult/not good/disaster/distress/to scold/
九	jiu3	/nine/9/
携	xie2	/old variant of 攜|携[xie2]/old variant of 攜|携[xie2]/old variant of 攜|携[xie2]/to carry/to take along/to bring along/to hold (hands)/also pr. [xi1]/
料	liao4	/material/stuff/grain/feed/to expect/to anticipate/to guess/
凌	Ling2;ling2	/surname Ling/to approach/to rise high/thick ice/to insult or maltreat/
破	po4	/broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of/
峰	feng1	/old variant of 峰[feng1]/(of a mountain) high and tapered peak or summit/mountain-like in appearance/highest level/classifier for camels/
丈	zhang4	/measure of length, ten Chinese feet (3.3 m)/to measure/husband/polite appellation for an older male/
叫	jiao4	/to shout/to call/to order/to ask/to be called/by (indicates agent in the passive mood)/variant of 叫[jiao4]/
狗	gou3	/dog/CL:隻|只[zhi1],條|条[tiao2]/(coll.) dog; doggie/
估	gu4;gu1	/to estimate/used in 估衣[gu4 yi5]/
汗	han4;han2	/see 可汗[ke4 han2], 汗國|汗国[han2 guo2]/perspiration/sweat/CL:滴[di1],頭|头[tou2],身[shen1]/to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)/
双	shuang1;Shuang1	/surname Shuang/two/double/pair/both/even (number)/
砖	zhuan1	/variant of 甎|砖[zhuan1]/variant of 磚|砖[zhuan1]/brick/CL:塊|块[kuai4]/
姑	gu1	/paternal aunt/husband's sister/husband's mother (old)/nun/for the time being (literary)/paternal aunt/CL:個|个[ge4]/
潜	qian2	/hidden/secret/latent/to hide/to conceal/to submerge/to dive/
专	zhuan1	/for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized/variant of 專|专[zhuan1]/
侣	lu:3	/companion/
凝	ning2	/to congeal/to concentrate attention/to stare/
哗	hua2;hua1	/(onom.) bang/clang/sound of gurgling, splashing or flowing water/(interjection expressing surprise) wow/clamor/noise/(bound form) sound used to call cats/sound of gurgling water/variant of 嘩|哗[hua2]/
肚	du3;du4	/tripe/belly/
筷	kuai4	/chopstick/
群	qun2	/variant of 群[qun2]/group/crowd/flock, herd, pack etc/
买	mai3	/to buy/to purchase/
供	gong1;gong4	/to provide; to supply/to be for (the use or convenience of)/to lay (sacrificial offerings)/(bound form) offerings/to confess (Taiwan pr. [gong1])/confession; statement (Taiwan pr. [gong1])/
酒	jiu3	/wine (esp. rice wine)/liquor/spirits/alcoholic beverage/CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]/
黑	Hei1;hei1	/abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]/black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)/
嗯	en1;en5;en4	/(a groaning sound)/(nonverbal grunt as interjection)/OK, yeah/what?/interjection indicating approval, appreciation or agreement/
啰	luo1;luo5	/used in 囉嗦|啰嗦[luo1 suo5]/(final exclamatory particle)/
真	zhen1	/really/truly/indeed/real/true/genuine/really/in fact/genuinely/scrupulously/
之	zhi1	/(possessive particle, literary equivalent of 的[de5])/him/her/it/
逗	dou4	/to tease (playfully); to entice/(coll.) to joke/(coll.) funny; amusing/to stay; to sojourn/brief pause at the end of a phrase (variant of 讀|读[dou4])/
拾	she4;shi2	/to ascend in light steps/to pick up/to collate or arrange/ten (banker's anti-fraud numeral)/
架	jia4	/to support/frame/rack/framework/classifier for planes, large vehicles, radios etc/
左	zuo3;Zuo3	/surname Zuo/left/the Left (politics)/east/unorthodox/queer/wrong/differing/opposite/variant of 佐[zuo3]/
捆	kun3	/a bunch/to tie together/bundle/variant of 捆[kun3]/
君	jun1	/monarch/lord/gentleman/ruler/
弓	gong1;Gong1	/surname Gong/a bow (weapon)/CL:張|张[zhang1]/to bend/to arch (one's back etc)/
揉	rou2	/to knead/to massage/to rub/
茂	mao4	/luxuriant/(chemistry) cyclopentadiene/
盘	pan2	/plate/dish/tray/board/hard drive (computing)/to build/to coil/to check/to examine/to transfer (property)/to make over/classifier for food: dish, helping/to coil/classifier for coils of wire/classifier for games of chess/twisting and turning/
哏	hen3;gen2	/funny/amusing/sth comical/old variant of 狠[hen3]/old variant of 很[hen3]/also used as an exclamation of anger/
猜	cai1	/to guess/
庄	zhuang1;Zhuang1	/variant of 莊|庄[zhuang1]/surname Zhuang/farmstead/village/manor/place of business/banker (in a gambling game)/grave or solemn/holdings of a landlord (in imperial China)/
啡	fei1	/(used in loanwords for its phonetic value)/
笔	bi3	/pen/pencil/writing brush/to write or compose/the strokes of Chinese characters/classifier for sums of money, deals/CL:支[zhi1],枝[zhi1]/
大	dai4;da4	/big; large; great/older (than another person)/eldest (as in 大姐[da4 jie3])/greatly; freely; fully/(dialect) father/(dialect) uncle (father's brother)/see 大夫[dai4 fu5]/greatly/enormously/(dialect) dad/uncle/
遍	bian4	/variant of 遍[bian4]/everywhere/all over/classifier for actions: one time/
序	xu4	/(bound form) order; sequence/(bound form) introductory; initial/preface/
轨	gui3	/(bound form) rail; track; course; path/
叮	ding1	/to sting or bite (of mosquito, bee etc)/to say repeatedly/to urge insistently/to ask repeatedly/to stick to a point/(onom.) tinkling or jingling sound/(onom.) tinkling or jingling sound/
楠	nan2	/variant of 楠[nan2]/variant of 楠[nan2]/Machilus nanmu/Chinese cedar/Chinese giant redwood/
腐	fu3	/decay/rotten/
谅	liang4	/to show understanding/to excuse/to presume/to expect/
泊	po1;bo2	/to anchor/touch at/to moor/lake/Taiwan pr. [bo2]/
怀	huai2;Huai2	/surname Huai/bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child)/
怖	bu4	/terror/terrified/afraid/frightened/
搭	da1	/to put up/to build (scaffolding)/to hang (clothes on a pole)/to connect/to join/to arrange in pairs/to match/to add/to throw in (resources)/to take (boat, train)/variant of 褡[da1]/
松	song1;Song1	/surname Song/pine/CL:棵[ke1]/loose/to loosen/to relax/floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)/
扒	pa2;ba1	/to peel/to skin/to tear/to pull down/to cling to (sth on which one is climbing)/to dig/to rake up/to steal/to braise/to crawl/
圾	ji1	/used in 垃圾[la1 ji1]/Taiwan pr. [se4]/
喉	hou2	/throat/larynx/
在	zai4	/to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)/
枯	ku1	/(of plants) withered/(of wells, rivers, etc) dried up/(bound form) dull; boring/(bound form) residue of pressed oilseeds/
震	zhen4	/to shake/to vibrate/to jolt/to quake/excited/shocked/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing thunder/☳/
龄	ling2	/age/length of experience, membership etc/
低	di1	/low/beneath/to lower (one's head)/to let droop/to hang down/to incline/
返	fan3	/to return (to)/
旧	jiu4	/old/opposite: new 新/former/worn (with age)/
骗	pian4	/to cheat/to swindle/to deceive/to get on (a horse etc) by swinging one leg over/
能	neng2;Neng2	/surname Neng/can/to be able to/might possibly/ability/(physics) energy/
济	ji4;Ji3;ji3	/used in place names associated with the Ji River 濟水|济水[Ji3 Shui3]/surname Ji/used in 濟濟|济济[ji3 ji3]/to cross a river/to aid or relieve/to be of help/large number of people/
蛮	man2	/barbarian/bullying/very/quite/rough/reckless/
徙	xi3	/(literary) to change one's residence/
溪	xi1	/creek/rivulet/variant of 溪[xi1]/
科	ke1	/branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes etc)/to fine sb/CL:個|个[ge4]/
中	zhong1;zhong4;Zhong1	/China/Chinese/surname Zhong/within; among; in/middle; center/while (doing sth); during/(dialect) OK; all right/to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)/middling/average/impartial/(Hong Kong) secondary school that uses Chinese as the medium of instruction ("CMI school")/
营	ying2	/camp/barracks/battalion/to build/to operate/to manage/to strive for/
毒	du2	/poison/to poison/poisonous/malicious/cruel/fierce/narcotics/
吧	ba5;bia1;ba1	/bar (loanword) (serving drinks, or providing Internet access etc)/to puff (on a pipe etc)/(onom.) bang/abbr. for 貼吧|贴吧[tie1 ba1]/(modal particle indicating suggestion or surmise)/...right?/...OK?/...I presume./(onom.) smack!/
春	chun1;Chun1	/old variant of 春[chun1]/surname Chun/spring (season)/gay/joyful/youthful/love/lust/life/
嘲	chao2;zhao1	/to ridicule/to mock/used in 嘲哳[zhao1 zha1]/
必	bi4	/certainly/must/will/necessarily/
啾	jiu1	/(onom.) wailing of child/chirp/kiss (Tw)/
基	ji1	/(bound form) base; foundation/(bound form) radical (chemistry)/(bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)/
占	zhan4;zhan1	/variant of 占[zhan4]/to observe/to divine/to take possession of/to occupy/to take up/
赞	zan4	/variant of 讚|赞[zan4]/variant of 贊|赞[zan4]/to praise/variant of 贊|赞[zan4]/to patronize/to support/to praise/(Internet slang) to like (an online post on Facebook etc)/
腰	yao1	/waist/lower back/pocket/middle/loins/
沿	yan2	/along/to follow (a line, tradition etc)/to carry on/to trim (a border with braid, tape etc)/border/edge/
婪	lan2	/avaricious/old variant of 婪[lan2]/
衫	shan1	/garment/jacket with open slits in place of sleeves/
疙	ge1	/pimple/wart/
翻	fan1	/to turn over/to flip over/to overturn/to rummage through/to translate/to decode/to double/to climb over or into/to cross/variant of 翻[fan1]/
例	li4	/example/precedent/rule/case/instance/
跌	die1	/to fall/to tumble/to trip/(of prices etc) to drop/Taiwan pr. [die2]/
栽	zai1	/to plant; to grow/to insert; to erect (e.g. a bus stop sign)/to impose sth on sb/to stumble; to fall down/
卸	xie4	/to unload/to unhitch/to remove or strip/to get rid of/
柜	ju3;gui4	/variant of 櫃|柜[gui4]/Salix multinervis/cupboard/cabinet/wardrobe/
佬	lao3	/male/man (Cantonese)/
包	Bao1;bao1	/surname Bao/to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]/bag or purse etc/small bump or pimple/hillock/
找	zhao3	/to try to find/to look for/to call on sb/to find/to seek/to return/to give change/
歉	qian4	/to apologize/to regret/deficient/
滑	Hua2;hua2	/surname Hua/to slip; to slide/slippery; smooth/sly; slippery; not to be trusted/
鼠	shu3	/(bound form) rat; mouse/
盆	pen2	/basin/flower pot/unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters/CL:個|个[ge4]/
叠	die2	/variant of 疊|叠[die2]/variant of 疊|叠[die2]/to fold/to fold over in layers/to furl/to layer/to pile up/to repeat/to duplicate/
泌	bi4;mi4	/used in 泌陽|泌阳[Bi4 yang2]/(bound form) to secrete/
搂	lou3;lou1	/to draw towards oneself/to gather/to gather up (one's gown, sleeves etc)/to grab (money)/to extort/to hug/to embrace/to hold in one's arms/
闹	nao4	/variant of 鬧|闹[nao4]/noisy/cacophonous/to make noise/to disturb/to vent (feelings)/to fall ill/to have an attack (of sickness)/to go in (for some activity)/to joke/
炉	lu2	/stove/furnace/variant of 爐|炉[lu2]/
液	ye4	/liquid/fluid/Taiwan pr. [yi4]/
沸	fei4	/to boil/
萝	luo2	/radish/
响	xiang3	/echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises/
飘	piao1	/variant of 飄|飘[piao1]/to float (in the air); to flutter; to waft/complacent; frivolous/weak; shaky; wobbly/to float about/to flutter (in the breeze)/(dialect) gay guy/(Tw) ghost/
仇	qiu2;chou2;Qiu2	/surname Qiu/hatred/animosity/enmity/foe/enemy/to feel animosity toward (the wealthy, foreigners etc)/spouse/companion/variant of 仇[chou2]/variant of 仇[chou2]/
恶	e3;wu4;e4	/used in 惡心|恶心[e3 xin1]/evil/fierce/vicious/ugly/coarse/to harm/to hate/to loathe/ashamed/to fear/to slander/
祖	Zu3;zu3	/surname Zu/ancestor/forefather/grandparents/
洲	zhou1	/continent/island in a river/
阅	yue4	/to inspect/to review/to read/to peruse/to go through/to experience/
激	ji1	/to arouse/to incite/to excite/to stimulate/sharp/fierce/violent/
么	ma2;ma5;me5	/exclamatory final particle/interrogative final particle/suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc/kissing sound (slang onom.)/variant of 麼|么[me5]/
疾	ji2	/(bound form) disease; ailment/(bound form) swift/(literary) to hate; to abhor/
吗	ma2;ma5;ma3	/(coll.) what?/used in 嗎啡|吗啡[ma3 fei1]/(question particle for "yes-no" questions)/
减	jian3	/to lower/to decrease/to reduce/to subtract/to diminish/
形	xing2	/to appear/to look/form/shape/
块	kuai4	/lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units/
额	e2	/variant of 額|额[e2]/forehead/horizontal tablet or inscribed board/specified number or amount/
爸	ba4	/father/dad/pa/papa/(coll.) father; dad/CL:個|个[ge4],位[wei4]/
讯	xun4	/to question/to ask/to interrogate/rapid/speedy/fast/news/information/
甚	shen2;shen4	/variant of 什[shen2]/what/very/extremely/any/
袭	xi2	/(bound form) to raid; to attack/(bound form) to continue the pattern; to perpetuate/(literary) classifier for suits of clothing or sets of bedding/
扩	kuo4	/to enlarge/
娃	wa2	/baby/doll/baby/small child/doll/
夕	xi1	/dusk/evening/Taiwan pr. [xi4]/
宰	zai3	/to slaughter; to butcher; to kill (animals etc)/(coll.) to fleece; to rip off; to overcharge/(bound form) to govern; to rule/(bound form) (a title for certain government officials in ancient China)/
岁	sui4	/variant of 歲|岁[sui4], year/years old/classifier for years (of age)/year/year (of crop harvests)/
纷	fen1	/numerous/confused/disorderly/one after another/in succession/one by one/continuously/diverse/in profusion/numerous and confused/pell-mell/
时	Shi2;shi2	/old variant of 時|时[shi2]/surname Shi/o'clock/time/when/hour/season/period/often/constantly/
像	xiang4	/to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.)/
妻	qi1;qi4	/wife/to marry off (a daughter)/
胳	ge1	/variant of 胳[ge1]/armpit/
晾	liang4	/to dry in the air/(fig.) to cold-shoulder/
所	suo3	/actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]/
菊	ju2	/(bound form) chrysanthemum/
当	dang4;dang1	/(onom.) dong/ding dong (bell)/(onom.) ding dong/to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at/at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)/Dangdang (online retailer)/to pawn/
舌	ji1;she2	/used in 喇舌[la3 ji1] to transcribe the Taiwanese word for "tongue"/tongue/
豫	yu4;Yu4	/abbr. for Henan province 河南 in central China/happy/carefree/at one's ease/variant of 預|预[yu4]/old variant of 與|与[yu4]/
唇	chun2	/lip/variant of 唇[chun2]/
祸	huo4	/old variant of 禍|祸[huo4]/disaster/misfortune/calamity/
快	kuai4	/rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant/
押	ya1	/to mortgage/to pawn/to detain in custody/to escort and protect/(literary) to sign/
颁	ban1	/to promulgate/to send out/to issue/to grant or confer/
膛	tang2	/(bound form) hollow space/
囊	nang2	/sack/purse/pocket (for money)/
解	xie4;jie3;Xie4;jie4	/surname Xie/to divide/to break up/to split/to separate/to dissolve/to solve/to melt/to remove/to untie/to loosen/to open/to emancipate/to explain/to understand/to know/a solution/a dissection/to transport under guard/acrobatic display (esp. on horseback) (old)/variant of 懈[xie4] and 邂[xie4] (old)/
吁	xu1;yu4	/sh/hush/variant of 籲|吁[yu4]/to pant/to gasp for breath/to implore/
苍	cang1;Cang1	/surname Cang/dark blue/deep green/ash-gray/ash gray/vast and hazy/flourishing/
枚	mei2;Mei2	/surname Mei/classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc/tree trunk/whip/wooden peg, used as a gag for marching soldiers (old)/
志	zhi4	/aspiration/ambition/the will/sign/mark/to record/to write a footnote/
替	ti4	/to substitute for/to take the place of/to replace/for/on behalf of/to stand in for/
裤	ku4	/variant of 褲|裤[ku4]/underpants/trousers/pants/
签	qian1	/to sign one's name/to write brief comments on a document/inscribed bamboo stick (variant of 籤|签[qian1])/visa/Japanese variant of 籤|签[qian1]/inscribed bamboo stick (used in divination, gambling, drawing lots etc)/small wood sliver/label/tag/
谊	yi4	/friendship/also pr. [yi2]/
这	zhe4	/(pronoun) this; these/(bound form) this; the (followed by a noun)/(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)/
姬	Ji1;ji1	/surname Ji/family name of the Zhou Dynasty 周代[Zhou1 dai4] (1046-256 BC)/woman/concubine/female entertainer (archaic)/
廷	ting2	/palace courtyard/
炸	zha2;zha4	/to deep fry/(coll.) to blanch (a vegetable)/Taiwan pr. [zha4]/to burst; to explode/to blow up; to bomb/(coll.) to fly into a rage/(coll.) to scamper off; to scatter/
瘫	tan1	/paralyzed/
抚	fu3	/to comfort/to console/to stroke/to caress/an old term for province or provincial governor/
进	jin4	/to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound/
迅	xun4	/rapid/fast/
闻	Wen2;wen2	/surname Wen/to hear/news/well-known/famous/reputation/fame/to smell/to sniff at/
网	wang3	/net/network/
惫	bei4	/exhausted/
丛	cong2	/cluster/collection/collection of books/thicket/
六	liu4	/six/6/
逮	dai3;dai4	/(coll.) to catch/to seize/(literary) to arrest/to seize/to overtake/until/
驾	Jia4;jia4	/surname Jia/to harness/to draw (a cart etc)/to drive/to pilot/to sail/to ride/your good self/prefixed word denoting respect (polite 敬辭|敬辞[jing4 ci2])/
恤	xu4	/variant of 恤[xu4]/anxiety/sympathy/to sympathize/to give relief/to compensate/anxiety/sympathy/to sympathize/to give relief/to compensate/variant of 恤[xu4]/
斗	dou4;dou3;Dou3	/abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1]/dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dou3]/to fight/to struggle/to condemn/to censure/to contend/to put together/coming together/variant of 鬭|斗[dou4]/variant of 鬥|斗[dou4]/variant of 鬥|斗[dou4]/
鸭	ya1	/duck (CL:隻|只[zhi1])/(slang) male prostitute/
又	you4	/(once) again/also/both... and.../and yet/(used for emphasis) anyway/
